merged_spelling,ipa,langid
{arm}աագխ,ɑ ɑ ɡ ə χ ə,0
{arm}աաի,ɑ ɑ i,0
{arm}աած,ɑ ɑ t͡s ə,0
{arm}աակ,ɑ ɑ k ə,0
{arm}աահ,ɑ ɑ h ə,0
{arm}աապ,ɑ ɑ p ə,0
{arm}աապվ,ɑ ɑ p ə v ə,0
{arm}աբա,ɑ b ɑ,0
{arm}աբական,ɑ b ɑ k ɑ n,0
{arm}աբաջյան,ɑ b ɑ d͡ʒ j ɑ n,0
{arm}աբաս,ɑ b ɑ s,0
{arm}աբբա,ɑ bː ɑ,0
{arm}աբբայուհի,ɑ bː ɑ j u h i,0
{arm}աբել,ɑ b ɛ l,0
{arm}աբեղա,ɑ b ɛ ʁ ɑ,0
{arm}աբեղայական,ɑ b ɛ ʁ ɑ j ɑ k ɑ n,0
{arm}աբեղուկ,ɑ b ɛ ʁ u k,0
{arm}աբիսողոմ,ɑ b i s ɔ ʁ ɔ m,0
{arm}աբխազ,ɑ pʰ χ ɑ z,0
{arm}աբխազական,ɑ pʰ χ ɑ z ɑ k ɑ n,0
{arm}աբխազերեն,ɑ pʰ χ ɑ z ɛ ɾ ɛ n,0
{arm}աբխազիա,ɑ pʰ χ ɑ z j ɑ,0
{arm}աբո,ɑ b ɔ,0
{arm}աբոնեմենտ,ɑ b ɔ n ɛ m ɛ n t,0
{arm}աբովյան,ɑ b ɔ v j ɑ n,0
{arm}աբորտ,ɑ b ɔ ɾ t,0
{arm}աբսոլյուտ,ɑ pʰ s ɔ l j u t,0
{arm}աբսուրդ,ɑ pʰ s u ɾ d,0
{arm}աբստրակտ,ɑ pʰ s t ɾ ɑ k t,0
{arm}աբստրակցիա,ɑ pʰ s t ɾ ɑ k t͡sʰ j ɑ,0
{arm}աբստրահվել,ɑ pʰ s t ɾ ɑ h v ɛ l,0
{arm}աբրա,ɑ b ɾ ɑ,0
{arm}աբրահամյան,ɑ b ɾ ɑ h ɑ m j ɑ n,0
{arm}աբրամ,ɑ b ɾ ɑ m,0
{arm}ագա,ɑ ɡ ɑ,0
{arm}ագաթ,ɑ ɡ ɑ tʰ,0
{arm}ագահաբար,ɑ ɡ ɑ h ɑ b ɑ ɾ,0
{arm}ագահորեն,ɑ ɡ ɑ h ɔ ɾ ɛ n,0
{arm}ագահություն,ɑ ɡ ɑ h u tʰ j u n,0
{arm}ագարակ,ɑ ɡ ɑ ɾ ɑ k,0
{arm}ագարակացնել,ɑ ɡ ɑ ɾ ɑ k ɑ t͡sʰ n ɛ l,0
{arm}ագարտալա,ɑ ɡ ɑ ɾ t ɑ l ɑ,0
{arm}ագն,ɑ ɡ ə n ə,0
{arm}ագնոստիկ,ɑ ɡ n ɔ s t i k,0
{arm}ագնոստիցիզմ,ɑ ɡ n ɔ s t i t͡sʰ i z m,0
{arm}ագուցահանել,ɑ ɡ u t͡sʰ ɑ h ɑ n ɛ l,0
{arm}ագուցանել,ɑ ɡ u t͡sʰ ɑ n ɛ l,0
{arm}ագուցել,ɑ ɡ u t͡sʰ ɛ l,0
{arm}ագուցվել,ɑ ɡ u t͡sʰ v ɛ l,0
{arm}ագռավ,ɑ ɡ r ɑ v,0
{arm}ագռավանալ,ɑ ɡ r ɑ v ɑ n ɑ l,0
{arm}ագրեսիա,ɑ ɡ ɾ ɛ s j ɑ,0
{arm}ագրիպպաս,ɑ ɡ ɾ i pː ɑ s,0
{arm}ադամ,ɑ d ɑ m,0
{arm}ադամաթուզ,ɑ d ɑ m ɑ tʰ u z,0
{arm}ադամանդ,ɑ d ɑ m ɑ n d,0
{arm}ադամանդագործ,ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s,0
{arm}ադամանդագործական,ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s ɑ k ɑ n,0
{arm}ադամանդվել,ɑ d ɑ m ɑ n d v ɛ l,0
{arm}ադանա,ɑ d ɑ n ɑ,0
{arm}ադլեր,ɑ d l ɛ ɾ,0
{arm}ադոնց,ɑ d ɔ n t͡sʰ,0
{arm}ադրբեջանական,ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɑ k ɑ n,0
{arm}ադրբեջաներեն,ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɛ ɾ ɛ n,0
{arm}ադրբեջանցի,ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i,0
{arm}ադրիանապոլիս,ɑ d ɾ i j ɑ n ɑ p ɔ l i s,0
{arm}ադրիանոս,ɑ d ɾ i j ɑ n ɔ s,0
{arm}ազազանալ,ɑ z ɑ z ɑ n ɑ l,0
{arm}ազատ,ɑ z ɑ t,0
{arm}ազատագրվել,ɑ z ɑ t ɑ ɡ ə ɾ v ɛ l,0
{arm}ազատազրկել,ɑ z ɑ t ɑ z ə ɾ k ɛ l,0
{arm}ազատականացնել,ɑ z ɑ t ɑ k ɑ n ɑ t͡sʰ n ɛ l,0
{arm}ազատել,ɑ z ɑ t ɛ l,0
{arm}ազատություն,ɑ z ɑ t u tʰ j u n,0
{arm}ազգագրական,ɑ z ɡ ɑ ɡ ə ɾ ɑ k ɑ n,0
{arm}ազգայնականություն,ɑ z ɡ ɑ j n ɑ k ɑ n u tʰ j u n,0
{arm}ազգասեր,ɑ z ɡ ɑ s ɛ ɾ,0
{arm}ազգերի,ɑ z ɡ ɛ ɾ i,0
{arm}ազգություն,ɑ z ɡ u tʰ j u n,0
{arm}ազդակ,ɑ z d ɑ k,0
{arm}ազդանշան,ɑ z d ɑ n ə ʃ ɑ n,0
{arm}ազդարար,ɑ z d ɑ ɾ ɑ ɾ,0
{arm}ազդարարել,ɑ z d ɑ ɾ ɑ ɾ ɛ l,0
{arm}ազդեցություն,ɑ z d ɛ t͡sʰ u tʰ j u n,0
{arm}ազդվել,ɑ z d v ɛ l,0
{arm}ազդր,ɑ z d ə ɾ,0
{arm}ազերի,ɑ z ɛ ɾ i,0
{arm}ազնավուր,ɑ z n ɑ v u ɾ,0
{arm}ազնիվ,ɑ z n i v,0
{arm}ազնվական,ɑ z n ə v ɑ k ɑ n,0
{arm}ազոտ,ɑ z ɔ t,0
{arm}աթեիզմ,ɑ tʰ ɛ j i z m,0
{arm}աթեիստ,ɑ tʰ ɛ i s t,0
{arm}աթենք,ɑ tʰ ɛ ŋ kʰ,0
{arm}աթլաս,ɑ tʰ l ɑ s,0
{arm}աթլետիկա,ɑ tʰ l ɛ t i k ɑ,0
{arm}աթոռ,ɑ tʰ ɔ r,0
{arm}աթոռակ,ɑ tʰ ɔ r ɑ k,0
{arm}աթս,ɑ tʰ ə s ə,0
{arm}աժ,ɑ ʒ ə,0
{arm}աժան,ɑ ʒ ɑ n,0
{arm}աժդահա,ɑ ʒ d ɑ h ɑ,0
{arm}աժդահակ,ɑ ʒ d ɑ h ɑ k,0
{arm}ալ,ɑ l,0
{arm}ալադին,ɑ l ɑ d i n,0
{arm}ալազան,ɑ l ɑ z ɑ n,0
{arm}ալաժահրի,ɑ l ɑ ʒ ɑ h ɾ i,0
{arm}ալան,ɑ l ɑ n,0
{arm}ալանի,ɑ l ɑ n i,0
{arm}ալավերդի,ɑ l ɑ v ɛ ɾ d i,0
{arm}ալբաներեն,ɑ l b ɑ n ɛ ɾ ɛ n,0
{arm}ալբանիա,ɑ l b ɑ n j ɑ,0
{arm}ալբերտ,ɑ l b ɛ ɾ t,0
{arm}ալբոմ,ɑ l b ɔ m,0
{arm}ալեկոծ,ɑ l ɛ k ɔ t͡s,0
{arm}ալեմաներեն,ɑ l ɛ m ɑ n ɛ ɾ ɛ n,0
{arm}ալեւոր,ɑ l ɛ v ɔ ɾ,0
{arm}ալեքսանդրիա,ɑ l ɛ kʰ s ɑ n d ɾ j ɑ,0
{arm}ալի,ɑ l i,0
{arm}ալիբի,ɑ l i b i,0
{arm}ալիգատոր,ɑ l i ɡ ɑ t ɔ ɾ,0
{arm}ալիեւ,ɑ l i j ɛ v,0
{arm}ալինա,ɑ l i n ɑ,0
{arm}ալիք,ɑ l i kʰ,0
{arm}ալկաշ,ɑ l k ɑ ʃ,0
{arm}ալկոհոլ,ɑ l k ɔ h ɔ l,0
{arm}ալմաթի,ɑ l m ɑ tʰ i,0
{arm}ալմանախ,ɑ l m ɑ n ɑ χ,0
{arm}ալմաստ,ɑ l m ɑ s t,0
{arm}ալյանս,ɑ l j ɑ n s,0
{arm}ալյուր,ɑ l j u ɾ,0
{arm}ալոե,ɑ l ɔ ɛ,0
{arm}ալոճ,ɑ l ɔ t͡ʃ,0
{arm}ալուցք,ɑ l u t͡sʰ kʰ,0
{arm}ալպագա,ɑ l p ɑ ɡ ɑ,0
{arm}ալպեր,ɑ l p ɛ ɾ,0
{arm}ալպինիզմ,ɑ l p i n i z m,0
{arm}ալտ,ɑ l t,0
{arm}ալքիմիկոս,ɑ l kʰ i m i k ɔ s,0
{arm}ախալցխա,ɑ χ ɑ l t͡sʰ ə χ ɑ,0
{arm}ախալքալաք,ɑ χ ɑ l kʰ ɑ l ɑ kʰ,0
{arm}ախոռ,ɑ χ ɔ r,0
{arm}ախորժակ,ɑ χ ɔ ɾ ʒ ɑ k,0
{arm}ախուրյան,ɑ χ u ɾ j ɑ n,0
{arm}ախպար,ɑ χ p ɑ ɾ,0
{arm}ախպեր,ɑ χ p ɛ ɾ,0
{arm}ախտ,ɑ χ t,0
{arm}ախտաբան,ɑ χ t ɑ b ɑ n,0
{arm}ախտարար,ɑ χ t ɑ ɾ ɑ ɾ,0
{arm}ախտորոշել,ɑ χ t ɔ ɾ ɔ ʃ ɛ l,0
{arm}ախտորոշում,ɑ χ t ɔ ɾ ɔ ʃ u m,0
{arm}ած,ɑ t͡s,0
{arm}ածանցել,ɑ t͡s ɑ n t͡sʰ ɛ l,0
{arm}ածանցյալ,ɑ t͡s ɑ n t͡sʰ j ɑ l,0
{arm}ածել,ɑ t͡s ɛ l,0
{arm}ածելի,ɑ t͡s ɛ l i,0
{arm}ածեր,ɑ t͡s ɛ ɾ,0
{arm}ածու,ɑ t͡s u,0
{arm}ածուխ,ɑ t͡s u χ,0
{arm}ակ,ɑ k,0
{arm}ակադեմիա,ɑ k ɑ d ɛ m j ɑ,0
{arm}ական,ɑ k ɑ n,0
{arm}ականավոր,ɑ k ɑ n ɑ v ɔ ɾ,0
{arm}ականատես,ɑ k ɑ n ɑ t ɛ s,0
{arm}ականի,ɑ k ɑ n i,0
{arm}ականջ,ɑ k ɑ n d͡ʒ,0
{arm}ականջօղ,ɑ k ɑ n d͡ʒ ɔ ʁ,0
{arm}ակն,ɑ k ə n,0
{arm}ակնախնձոր,ɑ k n ɑ χ ə n d͡z ɔ ɾ,0
{arm}ակնածալից,ɑ k n ɑ t͡s ɑ l i t͡sʰ,0
{arm}ակնածանք,ɑ k n ɑ t͡s ɑ ŋ kʰ,0
{arm}ակնածել,ɑ k n ɑ t͡s ɛ l,0
{arm}ակնաղբյուր,ɑ k n ɑ χ p j u ɾ,0
{arm}ակնային,ɑ k n ɑ j i n,0
{arm}ակնարկ,ɑ k n ɑ ɾ k,0
{arm}ակներեւ,ɑ k n ɛ ɾ ɛ v,0
{arm}ակներեւաբար,ɑ k n ɛ ɾ ɛ v ɑ b ɑ ɾ,0
{arm}ակներեւապես,ɑ k n ɛ ɾ ɛ v ɑ p ɛ s,0
{arm}ակնթարթ,ɑ k ə n tʰ ɑ ɾ tʰ,0
{arm}ակնկալիք,ɑ k ə ŋ k ɑ l i kʰ,0
{arm}ակնհայտ,ɑ k ə n h ɑ j t,0
{arm}ակնոց,ɑ k n ɔ t͡sʰ,0
{arm}ակոս,ɑ k ɔ s,0
{arm}ակորդեոն,ɑ k ɔ ɾ d ɛ ɔ n,0
{arm}ակութ,ɑ k u tʰ,0
