merged_spelling,ipa,langid
{bul}абаджиите,a b ə d͡ʒ i i t̪ ɛ,0
{bul}абонаментно,a b o n ə m ɛ n t̪ n o,0
{bul}абонати,a b o n a t̪ i,0
{bul}абонатите,a b o n a t̪ i t̪ ɛ,0
{bul}аборигените,a b o ɾ i ɡʲ ɛ n i t̪ ɛ,0
{bul}абсурдна,a p s u r d̪ n ə,0
{bul}авангардни,a v ə n ɡ a r d̪ n i,0
{bul}авантюристично,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n o,0
{bul}авантюристка,ɐ v ɐ n t̪ j u r i s t̪ k ɐ,0
{bul}аварийно,a v ə r i j n o,0
{bul}аварийното,a v ə r i j n o t̪ o,0
{bul}австралиец,ə f s t̪ r ə ɫ i ɛ t͡s,0
{bul}австрийка,ə f s t̪ r i j k ə,0
{bul}автономни,a f t̪ o n ɔ m n i,0
{bul}автор,a f t̪ o r,0
{bul}авторка,a f t̪ o r k ə,0
{bul}агрономка,ə ɡ r o n ɔ m k ə,0
{bul}адекватност,ə d̪ ɛ k v a t̪ n o s t̪,0
{bul}адмирал,ə d̪ m i r a ɫ,0
{bul}адресирана,a d̪ r ɛ s i ɾ ə n ə,0
{bul}адресират,a d̪ r ɛ s i ɾ ə t̪,0
{bul}азбест,a z b ɛ s t̪,0
{bul}активист,ə k t̪ i v i s t̪,0
{bul}албанец,ə ɫ b a n ɛ t͡s,0
{bul}алгоритъм,ə ɫ ɡ o r i t̪ ə m,0
{bul}анатемосваната,a n ə t̪ ɛ m ɔ s v ə n ə t̪ ə,0
{bul}анатемосваното,a n ə t̪ ɛ m ɔ s v ə n o t̪ o,0
{bul}анатемосвате,a n ə t̪ ɛ m ɔ s v ə t̪ ɛ,0
{bul}античен,ə n t̪ i t͡ʃ ɛ n,0
{bul}анулирайте,a n u ɫ i ɾ ə j t̪ ɛ,0
{bul}анулирано,a n u ɫ i ɾ ə n o,0
{bul}апетит,ə p ɛ t̪ i t̪,0
{bul}аплодиралата,a p ɫ o d̪ i ɾ ə ɫ ə t̪ ə,0
{bul}аплодираше,a p ɫ o d̪ i ɾ ə ʃ ɛ,0
{bul}арестуваният,a ɾ ɛ s t̪ u v ə n i j ə t̪,0
{bul}артикул,ə r t̪ i k u ɫ,0
{bul}беглец,b ɛ ɡ ɫ ɛ t͡s,0
{bul}безделничило,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i ɫ o,0
{bul}безделничим,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i m,0
{bul}белгиец,b ɛ ɫ ɡʲ i ɛ t͡s,0
{bul}беряла,b ɛ rʲ a ɫ ə,0
{bul}биеха,b i ɛ x ə,0
{bul}благоразумие,b ɫ ə ɡ o r ə z u m i ɛ,0
{bul}благославялата,b ɫ ə ɡ o s ɫ a vʲ ə ɫ ə t̪ ə,0
{bul}благославяната,b ɫ ə ɡ o s ɫ a vʲ ə n ə t̪ ə,0
{bul}ближейки,b ɫ i ʒ ɛ j kʲ i,0
{bul}бодох,b ɔ d̪ o x,0
{bul}бомбардиращи,b o m b ə r d̪ i ɾ ə ʃ t̪ i,0
{bul}боядисаната,b o̝ j ɐ d̪ i s ə n ə t̪ ə,0
{bul}боядисваме,b o̝ j ɐ d̪ i s v ə m ɛ,0
{bul}боядисването,b o̝ j ɐ d̪ i s v ə n ɛ t̪ o̝,0
{bul}будели,b u d̪ ɛ ɫ i,0
{bul}буден,b u d̪ ɛ n,0
{bul}будещи,b u d̪ ɛ ʃ t̪ i,0
{bul}будиш,b u d̪ i ʃ,0
{bul}бушувала,b o ʃ u v ə ɫ ə,0
{bul}бушуващия,b o ʃ u v ə ʃ t̪ i j ə,0
{bul}бърборко,b ə r b ɔ r k o,0
{bul}бягало,bʲ a ɡ ə ɫ o,0
{bul}бягаха,bʲ a ɡ ə x ə,0
{bul}вдишвам,v d̪ i ʃ v ə m,0
{bul}вдишвахте,v d̪ i ʃ v ə x t̪ ɛ,0
{bul}ветропоказател,v ɛ t̪ r o p o k ə z a t̪ ɛ ɫ,0
{bul}вземане,v z ɛ m ə n ɛ,0
{bul}вземаше,v z ɛ m ə ʃ ɛ,0
{bul}вземем,v z ɛ m ɛ m,0
{bul}взета,v z ɛ t̪ ə,0
{bul}взима,v z i m ə,0
{bul}взимания,v z i m ə n i j ə,0
{bul}взимате,v z i m ə t̪ ɛ,0
{bul}видехме,v i d̪ ɛ x m ɛ,0
{bul}видиш,v i d̪ i ʃ,0
{bul}видян,v i dʲ a n,0
{bul}виждай,v i ʒ d̪ ə j,0
{bul}виждайки,v i ʒ d̪ ə j kʲ i,0
{bul}виждайте,v i ʒ d̪ ə j t̪ ɛ,0
{bul}виждането,v i ʒ d̪ ə n ɛ t̪ o,0
{bul}вижданията,v i ʒ d̪ ə n i j ə t̪ ə,0
{bul}виждате,v i ʒ d̪ ə t̪ ɛ,0
{bul}виждащите,v i ʒ d̪ ə ʃ t̪ i t̪ ɛ,0
{bul}винен,v i n ɛ n,0
{bul}винили,v i n i ɫ i,0
{bul}виняща,v i nʲ a ʃ t̪ ə,0
{bul}виц,v i t͡s,0
{bul}влезем,v ɫ ɛ z ɛ m,0
{bul}влезлия,v ɫ ɛ z ɫ i j ə,0
{bul}влизал,v ɫ i z ə ɫ,0
{bul}влизали,v ɫ i z ə ɫ i,0
{bul}влизащата,v ɫ i z ə ʃ t̪ ə t̪ ə,0
{bul}влюбването,v lʲ u b v ə n ɛ t̪ o,0
{bul}влюбват,v lʲ u b v ə t̪,0
{bul}влюбиш,v lʲ u b i ʃ,0
{bul}влязлата,v lʲ a z ɫ ə t̪ ə,0
{bul}влязохме,v lʲ a z o x m ɛ,0
{bul}внасящи,v n a sʲ ə ʃ t̪ i,0
{bul}внесем,v n ɛ s ɛ m,0
{bul}внесени,v n ɛ s ɛ n i,0
{bul}внесения,v n ɛ s ɛ n i j ə,0
{bul}внесеният,v n ɛ s ɛ n i j ə t̪,0
{bul}внесеното,v n ɛ s ɛ n o t̪ o,0
{bul}воля,v ɔ lʲ ə,0
{bul}вплетен,f p ɫ ɛ t̪ ɛ n,0
{bul}вплетени,f p ɫ ɛ t̪ ɛ n i,0
{bul}врене,v r ɛ n ɛ,0
{bul}врялата,v rʲ a ɫ ə t̪ ə,0
{bul}въведени,v ə v ɛ d̪ ɛ n i,0
{bul}въведеше,v ə v ɛ d̪ ɛ ʃ ɛ,0
{bul}въведоха,v ə v ɛ d̪ o x ə,0
{bul}въвежда,v ə v ɛ ʒ d̪ ə,0
{bul}въвеждания,v ə v ɛ ʒ d̪ ə n i j ə,0
{bul}въвел,v ə v ɛ ɫ,0
{bul}въвлечени,v ə v ɫ ɛ t͡ʃ ɛ n i,0
{bul}въвличай,v ə v ɫ i t͡ʃ ə j,0
{bul}въвличането,v ə v ɫ i t͡ʃ ə n ɛ t̪ o,0
{bul}въврялото,v ə v rʲ a ɫ o t̪ o,0
