merged_spelling,ipa,langid
{bul}абаджиите,a b ə d͡ʒ i i t̪ ɛ,0
{bul}абажура,a b ə ʒ u ɾ ə,0
{bul}абажури,a b ə ʒ u ɾ i,0
{bul}абата,ə b a t̪ ə,0
{bul}абатство,ə b a t̪ s t̪ v o,0
{bul}абатството,a b a t̪ s t̪ v o t̪ o,0
{bul}абдала,a b d̪ a ɫ ə,0
{bul}абдикации,a b d̪ i k t͡s s i i,0
{bul}абдикация,a b d̪ i k t͡s i j ə,0
{bul}абдикират,a b d̪ i kʲ i r ə t̪,0
{bul}абисинец,ə b i s i n ɛ t͡s,0
{bul}абисинци,a b i s i n t͡s i,0
{bul}абите,ə b i t̪ ɛ,0
{bul}абитуриенти,a b i t̪ u ɾ i ɛ n t̪ i,0
{bul}абитуриентите,a b i t̪ u ɾ i ɛ n t̪ i t̪ ɛ,0
{bul}абитуриентът,a b i t̪ u ɾ i ɛ n t̪ ə t̪,0
{bul}абонамент,ə b o n ə m ɛ n t̪,0
{bul}абонаментна,a b o n ə m ɛ n t̪ n ə,0
{bul}абонаментни,a b o n ə m ɛ n t̪ n i,0
{bul}абонаментните,a b o n ə m ɛ n t̪ n i t̪ ɛ,0
{bul}абонаментният,a b o n ə m ɛ n t̪ n i j ə t̪,0
{bul}абонаментно,a b o n ə m ɛ n t̪ n o,0
{bul}абонаментното,a b o n ə m ɛ n t̪ n o t̪ o,0
{bul}абоната,a b o n a t̪ ə,0
{bul}абонати,a b o n a t̪ i,0
{bul}абонатите,a b o n a t̪ i t̪ ɛ,0
{bul}абонатът,a b o n a t̪ ə t̪,0
{bul}аборигени,a b o ɾ i ɡʲ ɛ n i,0
{bul}аборигените,a b o ɾ i ɡʲ ɛ n i t̪ ɛ,0
{bul}аборигенска,a b o ɾ i ɡʲ ɛ n s k ə,0
{bul}аборигенските,a b o ɾ i ɡ ɛ n s kʲ i t̪ ɛ,0
{bul}аборигенското,a b o ɾ i ɡʲ ɛ n s k o t̪ o,0
{bul}аборигенчето,a b o ɾ i ɡʲ ɛ n t͡ʃ ɛ t̪ o,0
{bul}абревиатурата,a b r ɛ v i ə t̪ u ɾ ə t̪ ə,0
{bul}абревиатурите,a b r ɛ v i ə t̪ u ɾ i t̪ ɛ,0
{bul}абсолвентите,a p s o ɫ v ɛ n t̪ i t̪ ɛ,0
{bul}абсолвентка,a p s o ɫ v ɛ n t̪ k ə,0
{bul}абсолвентският,a p s o ɫ v ɛ n s kʲ i j ə t̪,0
{bul}абсолвентът,a p s o ɫ v ɛ n t̪ ə t̪,0
{bul}абсолютен,a p s ɔ lʲ u t̪ ɛ n,0
{bul}абсолютна,a p s o lʲ u t̪ n ə,0
{bul}абсолютната,a p s o lʲ u t̪ n ə t̪ ə,0
{bul}абсолютни,a p s o lʲ u t̪ n i,0
{bul}абсолютните,a p s o lʲ u t̪ n i t̪ ɛ,0
{bul}абсолютния,a p s o lʲ u t̪ n i j ə,0
{bul}абсолютният,a p s o lʲ u t̪ n i j ə t̪,0
{bul}абсолютно,a p s ɔ lʲ u t̪ n ɔ,0
{bul}абсолютното,a p s o lʲ u t̪ n o t̪ o,0
{bul}абсорбира,a p s o r b i r ə,0
{bul}абсорбирал,a p s o r b i r ə ɫ,0
