merged_spelling,ipa,langid
{dut}aad,aː t,0
{dut}aandrijfas,aː n d r ɛ i̯ f ɑ s,0
{dut}aaneen,aː n eː n,0
{dut}aangaan,aː ŋ ɣ aː n,0
{dut}aangegrepen,aː ŋ ɣ ə ɣ r eː p ə n,0
{dut}aanleren,aː n l eː r ə n,0
{dut}aanpak,aː m p ɑ k,0
{dut}aansluiten,aː n s l œ y̯ t ə n,0
{dut}aansluiting,aː n s l œ y̯ t ɪ ŋ,0
{dut}aanspreken,aː n s p r eː k ə n,0
{dut}aanstekelijk,aː n s t eː k ə l ə k,0
{dut}aantrekkingskracht,aː n t r ɛ k ɪ ŋ s k r ɑ x t,0
{dut}aanvaarding,aː n v aː r d ɪ ŋ,0
{dut}aanvalsplan,aː n v ɑ l s p l ɑ n,0
{dut}aanvraag,aː n v r aː x,0
{dut}aanwezigheid,aː n ʋ eː z ə x ɦ ɛ i̯ t,0
{dut}aar,aː r,0
{dut}aarden,aː r d ə n,0
{dut}aardig,aː r d ə x,0
{dut}aartshertog,aː r t s ɦ ɛ r t ɔ x,0
{dut}abacus,ɑ b aː k ʏ s,0
{dut}abdis,ɑ b d ɪ s,0
{dut}abraham,aː b r aː ɦ ɑ m,0
{dut}accent,ɑ k s ɛ n t,0
{dut}accentueren,ɑ k s ɛ n t y eː r ə n,0
{dut}achtereen,ɑ x t ə r eː n,0
{dut}achtergrond,ɑ x t ə r ɣ r ɔ n t,0
{dut}achtergrondmuziek,ɑ x t ə r ɣ r ɔ n t m y z i k,0
{dut}achterin,ɑ x t ə r ɪ n,0
{dut}achterlaten,ɑ x t ə r l aː t ə n,0
{dut}achterstevoren,ɑ x t ə r s t ə v oː r ə n,0
{dut}achting,ɑ x t ɪ ŋ,0
{dut}acne,ɑ k n eː,0
{dut}actor,ɑ k t ɔ r,0
{dut}aderlating,aː d ə r l aː t ɪ ŋ,0
{dut}advent,ɑ t f ɛ n t,0
{dut}afbetaling,ɑ v b ə t aː l ɪ ŋ,0
{dut}afdekken,ɑ f d ɛ k ə n,0
{dut}afdeling,ɑ f d eː l ɪ ŋ,0
{dut}afdruk,ɑ v d r ʏ k,0
{dut}afgelegen,ɑ f x ə l eː ɣ ə n,0
{dut}afhankelijk,ɑ f ɦ ɑ ŋ k ə l ə k,0
{dut}afpersing,ɑ f p ɛ r s ɪ ŋ,0
{dut}afschaffen,ɑ f s x ɑ f ə n,0
{dut}afschieten,ɑ f s x i t ə n,0
{dut}afslanken,ɑ f s l ɑ ŋ k ə n,0
{dut}afstammeling,ɑ f s t ɑ m ə l ɪ ŋ,0
{dut}afwijken,ɑ f ʋ ɛ i̯ k ə n,0
{dut}agaten,aː ɣ aː t ə n,0
{dut}ajuin,aː j œ y̯ n,0
{dut}akkerland,ɑ k ə r l ɑ n t,0
{dut}alert,aː l ɛ r t,0
{dut}alertheid,aː l ɛ r t ɦ ɛ i̯ t,0
{dut}algoritme,ɑ l ɣ oː r ɪ t m ə,0
{dut}alibi,aː l i b i,0
{dut}allah,ɑ l aː,0
{dut}alles,ɑ l ə s,0
{dut}alliantie,ɑ l i ɑ n t s i,0
{dut}als,ɑ l s,0
{dut}altaar,ɑ l t aː r,0
{dut}amen,aː m ə n,0
{dut}amnestie,ɑ m n ɛ s t i,0
{dut}amsterdam,ɑ m s t ə r d ɑ m,0
{dut}anderstalig,ɑ n d ə r s t aː l ə x,0
{dut}animo,aː n i m oː,0
{dut}annuleren,ɑ n y l eː r ə n,0
{dut}antarctisch,ɑ n t ɑ r k t i s,0
{dut}apart,aː p ɑ r t,0
{dut}appeltaart,ɑ p ə l t aː r t,0
{dut}april,ɑ p r ɪ l,0
{dut}archeologie,ɑ r x eː j oː l oː ɣ i,0
{dut}arduin,ɑ r d œ y̯ n,0
{dut}argon,ɑ r ɣ ɔ n,0
{dut}armoedegrens,ɑ r m u d ə ɣ r ɛ n s,0
{dut}arnhem,ɑ r n ɦ ɛ m,0
{dut}arnoud,ɑ r n ɑ u̯ t,0
{dut}arrogantie,ɑ r oː ɣ ɑ n t s i,0
{dut}artefact,ɑ r t ə f ɑ k t,0
{dut}arts,ɑ r t s,0
{dut}assen,ɑ s ə n,0
{dut}assortiment,ɑ s ɔ r t i m ɛ n t,0
{dut}atheïst,aː t eː j ɪ ʃ t,0
{dut}attractiepark,ɑ t r ɑ k s i p ɑ r k,0
{dut}audio,ɑ u̯ d i oː,0
