merged_spelling,ipa,langid
{dut}aad,aː t,0
{dut}aalst,aː l s t,0
{dut}aalten,aː l t ə n,0
{dut}aambeeld,aː m b eː l t,0
{dut}aanbestedingsprocedure,aː n b ə s t eː d ɪ ŋ s p r oː s ə d yː r ə,0
{dut}aanbetaling,aː n b ə t aː l ɪ ŋ,0
{dut}aanbevelen,aː m b ə v eː l ə n,0
{dut}aanbieden,aː n b i d ə n,0
{dut}aanblik,aː n b l ɪ k,0
{dut}aanbod,aː n b ɔ t,0
{dut}aanbouw,aː n b ɑ u̯,0
{dut}aanbouwen,aː m b ɑ u̯ ə n,0
{dut}aanbreekt,aː m b r eː k t,0
{dut}aanbrengen,aː m b r ɛ ŋ ə n,0
{dut}aandacht,aː n d ɑ x t,0
{dut}aandachtig,aː n d ɑ x t ə x,0
{dut}aandachtspunt,aː n d ɑ x t s p ʏ n t,0
{dut}aandeel,aː n d eː l,0
{dut}aandeelhouder,aː n d eː l ɦ ɑ u̯ d ə r,0
{dut}aandoening,aː n d u n ɪ ŋ,0
{dut}aandoenlijk,aː n d u n l ə k,0
{dut}aandrijfas,aː n d r ɛ i̯ f ɑ s,0
{dut}aandringen,aː n d r ɪ ŋ ə n,0
{dut}aanduiding,aː n d œ y̯ d ɪ ŋ,0
{dut}aaneen,aː n eː n,0
{dut}aangaan,aː ŋ ɣ aː n,0
{dut}aangaande,aː n ɣ aː n d ə,0
{dut}aangeboren,aː n ɣ ə b oː r ə n,0
{dut}aangegrepen,aː ŋ ɣ ə ɣ r eː p ə n,0
{dut}aangenaam,aː n ɣ ə n aː m,0
{dut}aangepast,aː ŋ ɣ ə p ɑ s t,0
{dut}aangeschoten,aː n ɣ ə s x oː t ə n,0
{dut}aangeslagen,aː n ɣ ə s l aː ɣ ə n,0
{dut}aangetekend,aː n ɣ ə t eː k ə n t,0
{dut}aangeven,aː ŋ ɣ eː v ə n,0
{dut}aangezien,aː ŋ ɣ ə z i n,0
{dut}aangifte,aː n ɣ ɪ f t ə,0
{dut}aangrenzend,aː n ɣ r ɛ n z ə n t,0
{dut}aangroei,aː n ɣ r u i̯,0
{dut}aanhaling,aː n ɦ aː l ɪ ŋ,0
{dut}aanhang,aː n ɦ ɑ ŋ,0
{dut}aanhangen,aː n ɦ ɑ ŋ ə n,0
{dut}aanhangsel,aː n ɦ ɑ ŋ s ə l,0
{dut}aanhef,aː n ɦ ɛ f,0
{dut}aanhoudelijk,aː n ɦ ɑ u̯ d ə l ə k,0
{dut}aanhouding,aː n ɦ ɑ u̯ d ɪ ŋ,0
{dut}aanjagen,aː n j aː ɣ ə n,0
{dut}aankijken,aː ŋ k ɛ i̯ k ə n,0
{dut}aanklacht,aː ŋ k l ɑ x t,0
{dut}aanklagen,aː ŋ k l aː ɣ ə n,0
{dut}aanklager,aː n k l aː ɣ ə r,0
{dut}aankleden,aː ŋ k l eː d ə n,0
{dut}aankomen,aː ŋ k oː m ə n,0
{dut}aankomst,aː ŋ k ɔ m s t,0
{dut}aankondiger,aː n k ɔ n d ə ɣ ə r,0
{dut}aankondiging,aː n k ɔ n d ə ɣ ɪ ŋ,0
{dut}aankoop,aː ŋ k oː p,0
{dut}aankopen,aː ŋ k oː p ə n,0
{dut}aankunnen,aː ŋ k ʏ n ə n,0
{dut}aanleg,aː n l ɛ x,0
{dut}aanleggen,aː n l ɛ ɣ ə n,0
{dut}aanleiding,aː n l ɛ i d ɪ ŋ,0
{dut}aanlengen,aː n l ɛ ŋ ə n,0
{dut}aanleren,aː n l eː r ə n,0
{dut}aanleveren,aː n l eː v ə r ə n,0
{dut}aanliggen,aː n l ɪ ɣ ə n,0
{dut}aanmaken,aː n m aː k ə n,0
{dut}aanmelden,aː m ɛ l d ə n,0
{dut}aanmerkelijk,aː n m ɛ r k ə l ə k,0
{dut}aanmerken,aː n m ɛ r k ə n,0
{dut}aanmerking,aː n m ɛ r k ɪ ŋ,0
{dut}aanname,aː n n aː m ə,0
{dut}aannemelijk,aː n eː m ə l ə k,0
{dut}aannemer,aː n eː m ə r,0
{dut}aanpak,aː m p ɑ k,0
{dut}aanpakken,aː m p ɑ k ə n,0
{dut}aanpasbaar,aː n p ɑ s b aː r,0
{dut}aanpassen,aː m p ɑ s ə n,0
{dut}aanpassing,aː m p ɑ s ɪ ŋ,0
{dut}aanprijzen,aː m p r ɛ i̯ z ə n,0
{dut}aanraden,aː n r aː d ə n,0
{dut}aanrader,aː n r aː d ə r,0
{dut}aanraken,aː n r aː k ə n,0
{dut}aanraking,aː n r aː k ɪ ŋ,0
{dut}aanrijden,aː n r ɛ i̯ d ə n,0
