merged_spelling,ipa,langid
{geo}ააგო,ɑ ɑ ɡ ɔ,0
{geo}აადვილებს,ɑ ɑ d v i l ɛ b s,0
{geo}აალებული,ɑ ɑ l ɛ b u l i,0
{geo}აბა,ɑ b ɑ,0
{geo}აბაზანა,ɑ b ɑ z ɑ n ɑ,0
{geo}აბანო,ɑ b ɑ n ɔ,0
{geo}აბარებს,ɑ b ɑ r ɛ b s,0
{geo}აბედი,ɑ b ɛ d i,0
{geo}აბზინდა,ɑ b z i n d ɑ,0
{geo}აბი,ɑ b i,0
{geo}აბინძურებს,ɑ b i n d͡z u r ɛ b s,0
{geo}აბონენტი,ɑ b ɔ n ɛ n tʼ i,0
{geo}აბრაგი,ɑ b r ɑ ɡ i,0
{geo}აბრალებს,ɑ b r ɑ l ɛ b s,0
{geo}აბრამიშვილი,ɑ b r ɑ m i ʃ v i l i,0
{geo}აბრევი,ɑ b r ɛ v i,0
{geo}აბრევიატურა,ɑ b r ɛ v i ɑ tʼ u r ɑ,0
{geo}აბრეშუმი,ɑ b r ɛ ʃ u m i,0
{geo}აბსოლუტურად,ɑ b s ɔ l u tʼ u r ɑ d,0
{geo}აბსტრაქტული,ɑ b s tʼ r ɑ kʰ tʼ u l i,0
{geo}აბსტრაქცია,ɑ b s tʼ r ɑ kʰ t͡s i ɑ,0
{geo}აბსურდულად,ɑ b s u r d u l ɑ d,0
{geo}აბსურდული,ɑ b s u r d u l i,0
{geo}აგდება,ɑ ɡ d ɛ b ɑ,0
{geo}აგდებს,ɑ ɡ d ɛ b s,0
{geo}აგებინებს,ɑ ɡ ɛ b i n ɛ b s,0
{geo}აგენტად,ɑ ɡ ɛ n tʼ ɑ d,0
{geo}აგენტი,ɑ ɡ ɛ n tʼ i,0
{geo}აგენტის,ɑ ɡ ɛ n tʼ i s,0
{geo}აგენტმა,ɑ ɡ ɛ n tʼ m ɑ,0
{geo}აგენტო,ɑ ɡ ɛ n tʼ ɔ,0
{geo}აგენტს,ɑ ɡ ɛ n tʼ s,0
{geo}აგენტურა,ɑ ɡ ɛ n tʼ u r ɑ,0
{geo}აგვირგვინებს,ɑ ɡ v i r ɡ v i n ɛ b s,0
{geo}აგვისტომ,ɑ ɡ v i s tʼ ɔ m,0
{geo}აგვისტოს,ɑ ɡ v i s tʼ ɔ s,0
{geo}აგიტატორი,ɑ ɡ i tʼ ɑ tʼ ɔ r i,0
{geo}აგნებს,ɑ ɡ n ɛ b s,0
{geo}აგონდება,ɑ ɡ ɔ n d ɛ b ɑ,0
{geo}აგორებს,ɑ ɡ ɔ r ɛ b s,0
{geo}აგრესიულად,ɑ ɡ r ɛ s i u l ɑ d,0
{geo}აგრესიული,ɑ ɡ r ɛ s i u l i,0
{geo}აგრესიულობა,ɑ ɡ r ɛ s i u l ɔ b ɑ,0
{geo}აგრესორი,ɑ ɡ r ɛ s ɔ r i,0
{geo}აგროვებს,ɑ ɡ r ɔ v ɛ b s,0
{geo}აგრძელებ,ɑ ɡ r d͡z ɛ l ɛ b,0
{geo}აგრძელებს,ɑ ɡ r d͡z ɛ l ɛ b s,0
{geo}აგულაშვილი,ɑ ɡ u l ɑ ʃ v i l i,0
{geo}ადამიანები,ɑ d ɑ m i ɑ n ɛ b i,0
{geo}ადამიანი,ɑ d ɑ m i ɑ n i,0
{geo}ადამიანით,ɑ d ɑ m i ɑ n i tʰ,0
{geo}ადამიანმა,ɑ d ɑ m i ɑ n m ɑ,0
{geo}ადამიანს,ɑ d ɑ m i ɑ n s,0
{geo}ადამიანურად,ɑ d ɑ m i ɑ n u r ɑ d,0
{geo}ადამიანური,ɑ d ɑ m i ɑ n u r i,0
{geo}ადაპტაცია,ɑ d ɑ pʼ tʼ ɑ t͡s i ɑ,0
{geo}ადარებს,ɑ d ɑ r ɛ b s,0
{geo}ადგილას,ɑ d ɡ i l ɑ s,0
{geo}ადგილი,ɑ d ɡ i l i,0
{geo}ადგილობრივი,ɑ d ɡ i l ɔ b r i v i,0
{geo}ადევნებს,ɑ d ɛ v n ɛ b s,0
{geo}ადეკვატურად,ɑ d ɛ kʼ v ɑ tʼ u r ɑ d,0
{geo}ადეკვატური,ɑ d ɛ kʼ v ɑ tʼ u r i,0
{geo}ადეკვატურობა,ɑ d ɛ kʼ v ɑ tʼ u r ɔ b ɑ,0
{geo}ადვილად,ɑ d v i l ɑ d,0
{geo}ადვილი,ɑ d v i l i,0
{geo}ადმინისტრაციულად,ɑ d m i n i s tʼ r ɑ t͡s i u l ɑ d,0
{geo}ადმინისტრაციული,ɑ d m i n i s tʼ r ɑ t͡s i u l i,0
{geo}ადრე,ɑ d r ɛ,0
{geo}ადრესატი,ɑ d r ɛ s ɑ tʼ i,0
{geo}ადრეული,ɑ d r ɛ u l i,0
{geo}აეროდრომი,ɑ ɛ r ɔ d r ɔ m i,0
{geo}აეხსნა,ɑ ɛ x s n ɑ,0
{geo}ავად,ɑ v ɑ d,0
{geo}ავადმყოფობა,ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ,0
{geo}ავადმყოფობს,ɑ v ɑ d m qʼ ɔ pʰ ɔ b s,0
{geo}ავადმყოფური,ɑ v ɑ d m qʼ ɔ pʰ u r i,0
{geo}ავალდებულებს,ɑ v ɑ l d ɛ b u l ɛ b s,0
{geo}ავარია,ɑ v ɑ r i ɑ,0
{geo}ავბედითი,ɑ v b ɛ d i tʰ i,0
{geo}ავეჯი,ɑ v ɛ d͡ʒ i,0
{geo}ავზი,ɑ v z i,0
{geo}ავთვისებიანი,ɑ v tʰ v i s ɛ b i ɑ n i,0
{geo}ავი,ɑ v i,0
{geo}ავიაკომპანია,ɑ v i ɑ kʼ ɔ m pʼ ɑ n i ɑ,0
{geo}ავიატორი,ɑ v i ɑ tʼ ɔ r i,0
{geo}ავინიონი,ɑ v i n i ɔ n i,0
{geo}ავიწროვებს,ɑ v i t͡sʼ r ɔ v ɛ b s,0
{geo}ავლებს,ɑ v l ɛ b s,0
{geo}ავრორა,ɑ v r ɔ r ɑ,0
{geo}ავრცელებს,ɑ v r t͡s ɛ l ɛ b s,0
{geo}ავსტრალია,ɑ v s tʼ r ɑ l i ɑ,0
{geo}ავსტრალიური,ɑ v s tʼ r ɑ l i u r i,0
{geo}ავსტრია,ɑ v s tʼ r i ɑ,0
{geo}ავსტრიული,ɑ v s tʼ r i u l i,0
{geo}ავტოგრაფი,ɑ v tʼ ɔ ɡ r ɑ pʰ i,0
{geo}ავტოკალამი,ɑ v tʼ ɔ kʼ ɑ l ɑ m i,0
{geo}ავტოკოლონა,ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ,0
{geo}ავტოკრატია,ɑ v tʼ ɔ kʼ r ɑ tʼ i ɑ,0
{geo}ავტოკრატიული,ɑ v tʼ ɔ kʼ r ɑ tʼ i u l i,0
{geo}ავტომატურად,ɑ v tʼ ɔ m ɑ tʼ u r ɑ d,0
{geo}ავტომატური,ɑ v tʼ ɔ m ɑ tʼ u r i,0
{geo}ავტონომია,ɑ v tʼ ɔ n ɔ m i ɑ,0
{geo}ავტონომიური,ɑ v tʼ ɔ n ɔ m i u r i,0
{geo}ავტორად,ɑ v tʼ ɔ r ɑ d,0
{geo}ავტორები,ɑ v tʼ ɔ r ɛ b i,0
{geo}ავტორი,ɑ v tʼ ɔ r i,0
{geo}ავტორის,ɑ v tʼ ɔ r i s,0
{geo}ავტორიტარული,ɑ v tʼ ɔ r i tʼ ɑ r u l i,0
{geo}ავტორიტეტულად,ɑ v tʼ ɔ r i tʼ ɛ tʼ u l ɑ d,0
{geo}ავტორმა,ɑ v tʼ ɔ r m ɑ,0
{geo}ავტორს,ɑ v tʼ ɔ r s,0
{geo}ავტოსადგომი,ɑ v tʼ ɔ s ɑ d ɡ ɔ m i,0
{geo}ავტოსტოპად,ɑ v tʼ ɔ s tʼ ɔ pʼ ɑ d,0
{geo}ავტოსტოპმა,ɑ v tʼ ɔ s tʼ ɔ pʼ m ɑ,0
{geo}ავღანეთი,ɑ v ɣ ɑ n ɛ tʰ i,0
{geo}ავღანელი,ɑ v ɣ ɑ n ɛ l i,0
{geo}ავღანური,ɑ v ɣ ɑ n u r i,0
{geo}ავხორცი,ɑ v x ɔ r t͡s i,0
{geo}აზარტული,ɑ z ɑ r tʼ u l i,0
{geo}აზერბაიჯანი,ɑ z ɛ r b ɑ i d͡ʒ ɑ n i,0
{geo}აზვირთებული,ɑ z v i r tʰ ɛ b u l i,0
{geo}აზიური,ɑ z i u r i,0
{geo}აზოტი,ɑ z ɔ tʼ i,0
{geo}აზრად,ɑ z r ɑ d,0
{geo}აზრი,ɑ z r i,0
{geo}აზრიანი,ɑ z r i ɑ n i,0
{geo}აზრით,ɑ z r i tʰ,0
{geo}აზრის,ɑ z r i s,0
{geo}აზრმა,ɑ z r m ɑ,0
{geo}აზროვნება,ɑ z r ɔ v n ɛ b ɑ,0
{geo}აზრს,ɑ z r s,0
{geo}აზღუდი,ɑ z ɣ u d i,0
{geo}ათავისუფლებს,ɑ tʰ ɑ v i s u pʰ l ɛ b s,0
{geo}ათარიღებს,ɑ tʰ ɑ r i ɣ ɛ b s,0
{geo}ათასი,ɑ tʰ ɑ s i,0
{geo}ათასწლეული,ɑ tʰ ɑ s t͡sʼ l ɛ u l i,0
{geo}ათბობს,ɑ tʰ b ɔ b s,0
{geo}ათეიზმი,ɑ tʰ ɛ i z m i,0
{geo}ათეისტი,ɑ tʰ ɛ i s tʼ i,0
{geo}ათენი,ɑ tʰ ɛ n i,0
{geo}ათეული,ɑ tʰ ɛ u l i,0
{geo}ათვალიერებს,ɑ tʰ v ɑ l i ɛ r ɛ b s,0
{geo}ათი,ɑ tʰ i,0
{geo}ათლეტი,ɑ tʰ l ɛ tʼ i,0
{geo}ათლეტური,ɑ tʰ l ɛ tʼ u r i,0
{geo}ათრევს,ɑ tʰ r ɛ v s,0
{geo}ათქვეფილი,ɑ tʰ kʰ v ɛ pʰ i l i,0
{geo}აი,ɑ i,0
{geo}აიდა,ɑ i d ɑ,0
{geo}აივანი,ɑ i v ɑ n i,0
{geo}აირი,ɑ i r i,0
{geo}აირღუმელი,ɑ i r ɣ u m ɛ l i,0
