merged_spelling,ipa,langid
{hbs}abdest,ǎ b d e s t,0
{hbs}afera,a f ěː r a,0
{hbs}afrički,ǎ f r i t͡ʃ k iː,0
{hbs}agencija,a ɡ ě n t͡s i j a,0
{hbs}agonija,a ɡ ǒ n i j a,0
{hbs}alarm,ǎ l a r m,0
{hbs}ali,â l i,0
{hbs}ambrozija,ǎ m b r oː z i j a,0
{hbs}amer,â m e r,0
{hbs}amfiteatralan,a m f i t ě a t r aː l a n,0
{hbs}amfora,ǎ m f o r a,0
{hbs}anarhija,a n ǎ r x i j a,0
{hbs}anatom,a n ǎ t oː m,0
{hbs}andora,a n d ôː r a,0
{hbs}animacija,a n i m ǎː t͡s i j a,0
{hbs}anonimno,â n o n iː m n o,0
{hbs}antun,ǎ n t uː n,0
{hbs}apetit,a p ě t iː t,0
{hbs}aplikacija,a p l i k ǎː t͡s i j a,0
{hbs}apsorbirati,a p s o r b ǐː r a t i,0
{hbs}apstraktan,ǎ p s t r a k t a n,0
{hbs}arabija,ǎ r aː b i j a,0
{hbs}argentinac,a r ɡ e n t ǐː n a t͡s,0
{hbs}arheološki,a r x e ǒ l o ʃ k iː,0
{hbs}arhipelag,a r x i p ě l aː ɡ,0
{hbs}artiljerija,a r t i ʎ ě r i j a,0
{hbs}artičoka,a r t i t͡ʃ ǒː k a,0
{hbs}as,â s,0
{hbs}astma,ǎ s t m a,0
{hbs}astronomija,a s t r o n ǒ m i j a,0
{hbs}atlanta,a t l ǎ n t a,0
{hbs}atletičarka,a t l ě t i t͡ʃ aː r k a,0
{hbs}atom,ǎ t oː m,0
{hbs}automat,a u t ǒ m aː t,0
{hbs}azilant,a z ǐ l a n t,0
{hbs}bahrein,b ǎ x r e i n,0
{hbs}bakterija,b ǎ k t eː r i j a,0
{hbs}balerina,b a l e r ǐː n a,0
{hbs}balet,b ǎ l eː t,0
{hbs}balkon,b ǎ l k oː n,0
{hbs}bankar,b ǎ n k aː r,0
{hbs}baršun,b ǎ r ʃ uː n,0
{hbs}bend,b ê n d,0
{hbs}berba,b ě r b a,0
{hbs}berza,b ê r z a,0
{hbs}beskoristan,b ê s k o r iː s t a n,0
{hbs}besplatan,b ě s p l a t a n,0
{hbs}bezgrešan,b ě z ɡ r e ʃ a n,0
{hbs}bezvezno,b ě z ʋ e z n o,0
{hbs}bijedno,b j êː d n o,0
{hbs}bijesan,b j ěː s a n,0
{hbs}birač,b ǐ r aː t͡ʃ,0
{hbs}birački,b ǐ r aː t͡ʃ k iː,0
{hbs}biter,b ǐ t e r,0
{hbs}bitno,b î t n o,0
{hbs}biće,b ǐː t͡ɕ e,0
{hbs}blagdan,b l â ɡ d aː n,0
{hbs}blagoslov,b l â ɡ o s l oː ʋ,0
{hbs}blistav,b l î s t a ʋ,0
{hbs}bog,b ôː ɡ,0
{hbs}bor,b ôː r,0
{hbs}boriti,b ǒ r i t i,0
{hbs}bosna,b ô s n a,0
{hbs}branilac,b r ǎ n i l a t͡s,0
{hbs}brdski,b r̂ d s k iː,0
{hbs}brinuti,b r î n u t i,0
{hbs}britanski,b r ǐ t aː n s k iː,0
{hbs}brojčanik,b r o j t͡ʃ ǎ n iː k,0
{hbs}budalaština,b u d a l ǎː ʃ t i n a,0
{hbs}budnica,b ǔː d n i t͡s a,0
{hbs}buha,b ǔ x a,0
{hbs}buki,b ǔ k i,0
{hbs}bukvar,b ǔ k ʋ aː r,0
{hbs}bure,b û r e,0
{hbs}burmanski,b ǔ r m a n s k iː,0
{hbs}burza,b û r z a,0
{hbs}carica,t͡s â r i t͡s a,0
{hbs}carigradski,t͡s ǎ r i ɡ r a d s k iː,0
{hbs}ceh,t s ê x,0
{hbs}centarfor,t͡s ê n t a r f oː r,0
{hbs}centurion,t͡s e n t u r ǐ oː n,0
{hbs}cijena,t͡s i j ěː n a,0
{hbs}ciljan,t͡s îː ʎ a n,0
{hbs}cimet,t͡s ǐ m e t,0
{hbs}cisterna,t͡s ǐ s t eː r n a,0
{hbs}cjelokupan,t͡s j e l ǒ k u p a n,0
{hbs}crnogorac,t͡s r n ǒ ɡ o r a t͡s,0
{hbs}cunami,t͡s u n ǎː m i,0
{hbs}dalekovidnost,d a l e k ǒ ʋ i d n oː s t,0
{hbs}damask,d ǎ m a s k,0
{hbs}danac,d ǎː n a t͡s,0
{hbs}danska,d âː n s k aː,0
{hbs}darežljiv,d a r ě ʒ ʎ i ʋ,0
{hbs}datoteka,d a t o t ěː k a,0
{hbs}degradirati,d e ɡ r a d ǐː r a t i,0
{hbs}dekorativan,d ê k o r a t iː ʋ a n,0
{hbs}delimično,d ê l i m i t͡ʃ n o,0
{hbs}delovati,d ê l o ʋ a t i,0
{hbs}delta,d ê l t a,0
{hbs}demanti,d ě m a n t i,0
{hbs}desetljeće,d ê s e t ʎ e t͡ɕ e,0
{hbs}desetoro,d ê s e t o r o,0
{hbs}desiti,d ê s i t i,0
{hbs}devetnaest,d e ʋ ě t n a eː s t,0
{hbs}dignuti,d î ɡ n u t i,0
{hbs}diplomacija,d i p l o m ǎ t͡s i j a,0
{hbs}direktorica,d i r e k t ǒ r i t͡s a,0
{hbs}dirigent,d i r ǐ ɡ e n t,0
{hbs}diskretan,d ǐ s k r e t a n,0
{hbs}dizati,d î z a t i,0
{hbs}djelatnost,d j e l ǎː t n oː s t,0
{hbs}djelotvoran,d j ê l o t ʋ oː r a n,0
{hbs}djetinjasto,d j ě t i ɲ a s t o,0
{hbs}dobaciti,d o b ǎː t͡s i t i,0
{hbs}dobrodošli,d o b r o d ǒ ʃ l i,0
{hbs}dobrovoljac,d o b r o ʋ ǒː ʎ a t͡s,0
{hbs}dodati,d ǒ d a t i,0
{hbs}dohvat,d ô x ʋ aː t,0
{hbs}doktorat,d o k t ǒ r aː t,0
{hbs}dominacija,d o m i n ǎː t͡s i j a,0
{hbs}dopasti,d ǒ p a s t i,0
{hbs}dopunski,d ǒ p u n s k iː,0
{hbs}dopustiti,d o p ǔ s t i t i,0
{hbs}dosadan,d ô s aː d a n,0
{hbs}dosta,d ô s t a,0
{hbs}dostaviti,d ǒ s t a ʋ i t i,0
{hbs}dostupnost,d ǒ s t u p n oː s t,0
{hbs}dovoditi,d o ʋ ǒ d i t i,0
{hbs}doček,d ǒ t͡ʃ e k,0
{hbs}doživljaj,d ô ʒ i ʋ ʎ aː j,0
{hbs}drača,d r â t͡ʃ a,0
{hbs}drhtaj,d r̂ x t aː j,0
{hbs}drukčije,d r ǔ k t͡ʃ i j eː,0
{hbs}drukčiji,d r ǔ k t͡ʃ i j iː,0
{hbs}drvored,d r̂ ʋ o r eː d,0
{hbs}dvadeset,d ʋ ǎː d e s e t,0
