merged_spelling,ipa,langid
{hbs}abdest,ǎ b d e s t,0
{hbs}abdikacija,a b d i k ǎː t͡s i j a,0
{hbs}abdomen,a b d ǒː m e n,0
{hbs}abeceda,a b e t͡s ěː d a,0
{hbs}abnormalnost,a b n o r m ǎː l n oː s t,0
{hbs}adaptirati,a d a p t ǐː r a t i,0
{hbs}adekvatan,â d e k ʋ aː t a n,0
{hbs}adekvatno,â d e k ʋ aː t n o,0
{hbs}administracija,a d m i n i s t r ǎː t͡s i j a,0
{hbs}administrator,a d m i n ǐ s t r aː t o r,0
{hbs}admiral,a d m ǐ r aː l,0
{hbs}adrenalin,a d r e n ǎ l iː n,0
{hbs}adrenalinski,a d r e n ǎ l iː n s k iː,0
{hbs}adresa,a d r ě s a,0
{hbs}adresirati,a d r e s ǐː r a t i,0
{hbs}adut,ǎ d uː t,0
{hbs}advokat,a d ʋ ǒ k aː t,0
{hbs}aerobik,a e r ǒ b i k,0
{hbs}aerobika,a e r ǒ b i k a,0
{hbs}aerodinamičan,a e r o d i n ǎ m i t͡ʃ a n,0
{hbs}aerodromski,a e r ǒ d r o m s k iː,0
{hbs}afera,a f ěː r a,0
{hbs}afganistanski,a f ɡ a n ǐ s t aː n s k iː,0
{hbs}afirmiran,a f ǐ r m iː r aː n,0
{hbs}afrički,ǎ f r i t͡ʃ k iː,0
{hbs}agencija,a ɡ ě n t͡s i j a,0
{hbs}agent,ǎ ɡ e n t,0
{hbs}agnostik,a ɡ n ǒ s t i k,0
{hbs}agonija,a ɡ ǒ n i j a,0
{hbs}agresivan,â ɡ r e s iː ʋ a n,0
{hbs}agresivno,â ɡ r e s iː ʋ n o,0
{hbs}agresor,ǎ ɡ r e s o r,0
{hbs}ahiret,ǎː x i r e t,0
{hbs}ajam,ǎː j a m,0
{hbs}ajde,ǎ j d e,0
{hbs}ajkula,â j k u l a,0
{hbs}ajme,ǎ j m e,0
{hbs}ajmo,ǎ j m o,0
{hbs}akademija,a k a d ě m i j a,0
{hbs}akademik,a k a d ě m i k,0
{hbs}akcenat,ǎ k t͡s e n a t,0
{hbs}akcent,ǎ k t͡s e n t,0
{hbs}akcija,ǎ k t͡s i j a,0
{hbs}akord,ǎ k o r d,0
{hbs}akt,â k t,0
{hbs}akter,ǎ k t eː r,0
{hbs}aktiva,a k t ǐː ʋ a,0
{hbs}aktivan,â k t iː ʋ a n,0
{hbs}aktivirati,a k t i ʋ ǐː r a t i,0
{hbs}aktivist,a k t ǐ ʋ i s t,0
{hbs}aktivistkinja,a k t ǐ ʋ i s t k i ɲ a,0
{hbs}aktivizam,a k t i ʋ ǐ z a m,0
{hbs}aktivno,â k t iː ʋ n o,0
{hbs}aktivnost,a k t ǐː ʋ n oː s t,0
{hbs}aktualan,â k t u aː l a n,0
{hbs}aktualizirati,a k t u a l i z ǐː r a t i,0
{hbs}aktuelan,â k t u eː l a n,0
{hbs}akumulacija,a k u m u l ǎː t͡s i j a,0
{hbs}akumulator,a k u m ǔ l aː t o r,0
{hbs}akupunktura,a k u p u n k t ǔː r a,0
{hbs}akustički,a k ǔ s t i t͡ʃ k iː,0
{hbs}akvizicija,a k ʋ i z ǐː t͡s i j a,0
{hbs}alabama,a l a b ǎ m a,0
{hbs}alarm,ǎ l a r m,0
{hbs}alat,ǎ l aː t,0
{hbs}albanac,a l b ǎː n a t͡s,0
{hbs}albin,ǎ l b iː n,0
{hbs}album,ǎ l b uː m,0
{hbs}aleksandar,a l ě k s aː n d a r,0
{hbs}alergičan,a l ě r ɡ i t͡ʃ a n,0
{hbs}aleutski,a l ě u t s k iː,0
{hbs}alfa,â l f a,0
{hbs}alfabetizam,a l f a b e t ǐ z a m,0
{hbs}algoritam,a l ɡ o r ǐ t a m,0
{hbs}ali,â l i,0
{hbs}alkohol,ǎ l k o x o l,0
{hbs}alkoholiziran,a l k o x o l ǐ z iː r a n,0
{hbs}alkoholičar,a l k o x ǒ l i t͡ʃ aː r,0
{hbs}alkoholni,ǎ l k o x o l n iː,0
{hbs}alpe,âː l p e,0
{hbs}alpinist,a l p ǐ n i s t,0
{hbs}alternativan,â l t e r n a t iː ʋ a n,0
{hbs}aluzija,ǎ l uː z i j a,0
{hbs}alžirski,ǎ l ʒ iː r s k iː,0
{hbs}amajlija,a m ǎ j l i j a,0
{hbs}aman,ǎ m aː n,0
{hbs}amandman,a m ǎ n d m aː n,0
{hbs}ambalaža,a m b a l ǎː ʒ a,0
{hbs}ambasador,a m b ǎ s aː d o r,0
{hbs}ambiciozno,â m b i t͡s i oː z n o,0
{hbs}ambijent,a m b ǐ j e n t,0
{hbs}ambis,ǎ m b i s,0
{hbs}ambivalentnost,a m b i ʋ ǎ l e n t n oː s t,0
{hbs}ambrozija,ǎ m b r oː z i j a,0
{hbs}amer,â m e r,0
{hbs}amerika,a m ě r i k a,0
{hbs}amerikanac,a m e r i k ǎː n a t͡s,0
{hbs}amerikanka,a m e r ǐ k aː n k a,0
{hbs}ametist,a m ě t i s t,0
{hbs}amfiteatralan,a m f i t ě a t r aː l a n,0
{hbs}amfora,ǎ m f o r a,0
{hbs}aminokiselina,a m i n o k i s e l ǐ n a,0
{hbs}amplituda,a m p l i t ǔː d a,0
{hbs}amputacija,a m p u t ǎː t͡s i j a,0
{hbs}amputirati,a m p u t ǐː r a t i,0
{hbs}anadolija,a n a d ǒː l i j a,0
{hbs}analfabet,a n a l f ǎ b eː t,0
{hbs}analitičar,a n a l ǐ t i t͡ʃ aː r,0
{hbs}analiza,a n a l ǐː z a,0
{hbs}analizator,a n a l ǐ z aː t o r,0
{hbs}analni,ǎ n aː l n iː,0
{hbs}analogno,â n a l o ɡ n o,0
{hbs}anarhija,a n ǎ r x i j a,0
{hbs}anason,a n ǎ s oː n,0
{hbs}anastrofa,a n a s t r ǒː f a,0
{hbs}anatom,a n ǎ t oː m,0
{hbs}anatomija,a n a t ǒ m i j a,0
{hbs}anda,a n d aː,0
{hbs}andaluski,a n d ǎ l u s k iː,0
{hbs}andaluzijski,a n d ǎ l u z i j s k iː,0
{hbs}andora,a n d ôː r a,0
{hbs}andrija,ǎ n d r i j a,0
{hbs}anegdota,a n e ɡ d ǒ t a,0
{hbs}angažiran,a n ɡ ǎ ʒ iː r a n,0
{hbs}angažirati,a n ɡ a ʒ ǐː r a t i,0
{hbs}anglosaski,a n ɡ l ǒ s a s k iː,0
{hbs}animacija,a n i m ǎː t͡s i j a,0
{hbs}animator,a n ǐ m aː t o r,0
{hbs}animirati,a n i m ǐː r a t i,0
{hbs}animizam,a n i m ǐ z a m,0
{hbs}anka,âː n k a,0
{hbs}anketa,a n k ě t a,0
{hbs}anoda,a n ǒː d a,0
{hbs}anodni,ǎ n oː d n iː,0
{hbs}anomalija,a n o m ǎ l i j a,0
{hbs}anoniman,â n o n iː m a n,0
{hbs}anonimno,â n o n iː m n o,0
{hbs}anorganski,â n o r ɡ aː n s k iː,0
{hbs}antarktik,a n t ǎ r k t i k,0
{hbs}antarktika,a n t ǎ r k t i k a,0
{hbs}ante,ǎː n t e,0
{hbs}antifašizam,a n t i f a ʃ ǐ z a m,0
{hbs}antisemitizam,a n t i s e m i t ǐ z a m,0
{hbs}antički,ǎ n t i t͡ʃ k iː,0
{hbs}antologija,a n t o l ǒ ɡ i j a,0
{hbs}antropologija,a n t r o p o l ǒ ɡ i j a,0
{hbs}antun,ǎ n t uː n,0
{hbs}anđelić,âː n d͡ʑ e l i t͡ɕ,0
{hbs}anđeo,âː n d͡ʑ e o,0
{hbs}aparthejd,â p a r t x e j d,0
{hbs}apel,ǎ p e l,0
{hbs}apetit,a p ě t iː t,0
{hbs}aplicirati,a p l i t͡s ǐː r a t i,0
{hbs}aplikacija,a p l i k ǎː t͡s i j a,0
{hbs}apokalipsa,a p o k a l ǐ p s a,0
{hbs}apostol,ǎ p o s t o l,0
{hbs}april,ǎ p r iː l,0
{hbs}aprilski,ǎ p r iː l s k iː,0
{hbs}aproksimirati,a p r o k s i m ǐː r a t i,0
{hbs}apsolutno,â p s o l uː t n o,0
{hbs}apsorbirati,a p s o r b ǐː r a t i,0
{hbs}apstinencija,a p s t i n ě n t͡s i j a,0
{hbs}apstinirati,a p s t i n ǐː r a t i,0
{hbs}apstrakt,ǎ p s t r a k t,0
{hbs}apstraktan,ǎ p s t r a k t a n,0
{hbs}apsurdno,ǎ p s u r d n o,0
{hbs}arabeska,a r ǎ b e s k a,0
{hbs}arabica,a r ǎ b i t͡s a,0
{hbs}arabija,ǎ r aː b i j a,0
{hbs}arabijski,a r ǎː b iː j s k iː,0
{hbs}aranžman,a r ǎ n ʒ m aː n,0
{hbs}arbitražni,â r b i t r aː ʒ n iː,0
{hbs}arena,a r ěː n a,0
{hbs}argentina,a r ɡ e n t ǐː n a,0
{hbs}argentinac,a r ɡ e n t ǐː n a t͡s,0
{hbs}argentinski,a r ɡ ě n t iː n s k iː,0
{hbs}argument,a r ɡ ǔ m e n t,0
{hbs}argumentacija,a r ɡ u m e n t ǎː t͡s i j a,0
{hbs}arheolog,a r x e ǒ l o ɡ,0
{hbs}arheologija,a r x e o l ǒ ɡ i j a,0
{hbs}arheološki,a r x e ǒ l o ʃ k iː,0
{hbs}arhipelag,a r x i p ě l aː ɡ,0
{hbs}arhitekt,a r x ǐ t e k t,0
{hbs}arhitektica,a r x ǐ t e k t i t͡s a,0
{hbs}arhitektonski,a r x i t ě k t oː n s k iː,0
{hbs}arhitektura,a r x i t e k t ǔː r a,0
{hbs}aristokracija,a r i s t o k r ǎ t͡s i j a,0
{hbs}armatura,a r m a t ǔː r a,0
{hbs}armenac,a r m ěː n a t͡s,0
{hbs}armenija,ǎ r m eː n i j a,0
{hbs}arogancija,a r o ɡ ǎ n t͡s i j a,0
{hbs}arogantan,a r o ɡ ǎ n t a n,0
{hbs}arogantno,a r o ɡ ǎ n t n o,0
{hbs}arsenal,a r s ě n aː l,0
{hbs}artefakt,â r t e f a k t,0
{hbs}arterija,ǎ r t eː r i j a,0
{hbs}artikulirati,a r t i k u l ǐː r a t i,0
{hbs}artiljerija,a r t i ʎ ě r i j a,0
{hbs}artist,ǎ r t i s t,0
{hbs}artičoka,a r t i t͡ʃ ǒː k a,0
{hbs}artritis,a r t r ǐ t i s,0
{hbs}as,â s,0
{hbs}asfalt,ǎ s f a l t,0
{hbs}asirski,ǎ s iː r s k iː,0
{hbs}asistencija,a s i s t ě n t͡s i j a,0
{hbs}asistent,a s ǐ s t e n t,0
{hbs}asortiman,a s o r t ǐ m aː n,0
{hbs}astma,ǎ s t m a,0
{hbs}astrobiologija,a s t r o b i o l ǒ ɡ i j a,0
{hbs}astronomija,a s t r o n ǒ m i j a,0
{hbs}astronomski,a s t r ǒ n o m s k iː,0
{hbs}ateist,a t ě i s t,0
{hbs}ateizam,a t e ǐ z a m,0
{hbs}atena,a t ěː n a,0
{hbs}atentator,a t ě n t aː t o r,0
{hbs}atina,a t ǐː n a,0
{hbs}atlanta,a t l ǎ n t a,0
{hbs}atlantida,a t l a n t ǐː d a,0
{hbs}atlantik,a t l ǎ n t i k,0
{hbs}atlantski,ǎ t l a n t s k iː,0
{hbs}atletika,a t l ě t i k a,0
{hbs}atletičar,a t l ě t i t͡ʃ aː r,0
{hbs}atletičarka,a t l ě t i t͡ʃ aː r k a,0
{hbs}atletski,ǎ t l eː t s k iː,0
{hbs}atmosfera,a t m o s f ěː r a,0
{hbs}atom,ǎ t oː m,0
{hbs}atrakcija,a t r ǎ k t͡s i j a,0
{hbs}atraktivan,â t r a k t iː ʋ a n,0
{hbs}atribut,a t r ǐ b uː t,0
{hbs}aukcija,a ǔ k t͡s i j a,0
{hbs}australijanac,a u s t r a l i j ǎː n a t͡s,0
{hbs}austrija,ǎ u s t r i j a,0
{hbs}austrijanac,a u s t r i j ǎː n a t͡s,0
{hbs}autentičan,a u t ě n t i t͡ʃ a n,0
{hbs}autizam,a u t ǐ z a m,0
{hbs}autobus,a u t ǒː b u s,0
{hbs}autocesta,a u t o t͡s ě s t a,0
{hbs}automat,a u t ǒ m aː t,0
{hbs}automobilist,a u t o m o b ǐ l i s t,0
{hbs}autonomija,a u t o n ǒ m i j a,0
{hbs}autoportret,a u t o p ǒ r t r eː t,0
{hbs}autoput,ǎ u t o p uː t,0
{hbs}autoritativan,â u t o r i t a t iː ʋ a n,0
{hbs}autoritet,a u t o r ǐ t eː t,0
{hbs}avatar,a ʋ ǎ t aː r,0
{hbs}avijacija,a ʋ i j ǎː t͡s i j a,0
{hbs}aviokompanija,a ʋ i o k o m p ǎ n i j a,0
{hbs}avion,a ʋ ǐ oː n,0
{hbs}avioprijevoznik,a ʋ i o p r i j ěː ʋ o z n iː k,0
{hbs}avlija,ǎ ʋ l i j a,0
{hbs}avokado,a ʋ o k ǎː d o,0
