merged_spelling,ipa,langid
{hun}abba,ɒ bː ɒ,0
{hun}abban,ɒ bː ɒ n,0
{hun}abból,ɒ bː oː l,0
{hun}ablak,ɒ b l ɒ k,0
{hun}ablakai,ɒ b l ɒ k ɒ j i,0
{hun}ablakból,ɒ b l ɒ ɡ b oː l,0
{hun}ablakok,ɒ b l ɒ k o k,0
{hun}ablakon,ɒ b l ɒ k o n,0
{hun}ablakot,ɒ b l ɒ k o t,0
{hun}absztrakt,ɒ p s t r ɒ k t,0
{hun}acéllemez,ɒ t͡s eː lː ɛ m ɛ z,0
{hun}ad,ɒ d,0
{hun}adat,ɒ d ɒ t,0
{hun}adatai,ɒ d ɒ t ɒ j i,0
{hun}adatainak,ɒ d ɒ t ɒ j i n ɒ k,0
{hun}adatait,ɒ d ɒ t ɒ j i t,0
{hun}adathoz,ɒ d ɒ t h o z,0
{hun}adatok,ɒ d ɒ t o k,0
{hun}adatokat,ɒ d ɒ t o k ɒ t,0
{hun}adatokból,ɒ d ɒ t o ɡ b oː l,0
{hun}adatokkal,ɒ d ɒ t o kː ɒ l,0
{hun}adatokra,ɒ d ɒ t o k r ɒ,0
{hun}adatokról,ɒ d ɒ t o k r oː l,0
{hun}adatot,ɒ d ɒ t o t,0
{hun}adattal,ɒ d ɒ tː ɒ l,0
{hun}addig,ɒ dː i ɡ,0
{hun}adhat,ɒ t h ɒ t,0
{hun}adjanak,ɒ ɟː ɒ n ɒ k,0
{hun}adják,ɒ ɟː aː k,0
{hun}adminisztratív,ɒ d m i n i s t r ɒ t iː v,0
{hun}adnak,ɒ d n ɒ k,0
{hun}adni,ɒ d n i,0
{hun}adományokat,ɒ d o m aː ɲ o k ɒ t,0
{hun}adott,ɒ d o tː,0
{hun}adottak,ɒ d o tː ɒ k,0
{hun}adta,ɒ tː ɒ,0
{hun}adtak,ɒ tː ɒ k,0
{hun}adtunk,ɒ tː u ŋ k,0
{hun}adtál,ɒ tː aː l,0
{hun}adunk,ɒ d u ŋ k,0
{hun}adva,ɒ d v ɒ,0
{hun}adás,ɒ d aː ʃ,0
{hun}adások,ɒ d aː ʃ o k,0
{hun}adóhatóság,ɒ d oː ɦ ɒ t oː ʃ aː ɡ,0
{hun}adósok,ɒ d oː ʃ o k,0
{hun}adósság,ɒ d oː ʃː aː ɡ,0
{hun}adózik,ɒ d oː z i k,0
{hun}adózás,ɒ d oː z aː ʃ,0
{hun}aeroszol,ɒ ɛ r o s o l,0
{hun}afféle,ɒ fː eː l ɛ,0
{hun}agancsokban,ɒ ɡ ɒ n t͡ʃ o ɡ b ɒ n,0
{hun}aggódó,ɒ ɡː oː d oː,0
{hun}agresszív,ɒ ɡ r ɛ sː iː v,0
{hun}agyag,ɒ ɟ ɒ ɡ,0
{hun}ahelyett,ɒ ɦ ɛ j ɛ tː,0
{hun}ahhoz,ɒ ɦ o z,0
{hun}ahogy,ɒ ɦ o ɟ,0
{hun}ahogyan,ɒ ɦ o ɟ ɒ n,0
{hun}ajak,ɒ j ɒ k,0
{hun}ajka,ɒ j k ɒ,0
{hun}ajándék,ɒ j aː n d eː k,0
{hun}ajándéka,ɒ j aː n d eː k ɒ,0
{hun}ajándékba,ɒ j aː n d eː ɡ b ɒ,0
{hun}ajándékkal,ɒ j aː n d eː kː ɒ l,0
{hun}ajándékokat,ɒ j aː n d eː k o k ɒ t,0
{hun}ajándékot,ɒ j aː n d eː k o t,0
{hun}ajánlani,ɒ j aː n l ɒ n i,0
{hun}ajánlati,ɒ j aː n l ɒ t i,0
{hun}ajánlatkérő,ɒ j aː n l ɒ t k eː r øː,0
{hun}ajánlattevő,ɒ j aː n l ɒ tː ɛ v øː,0
{hun}ajánlható,ɒ j aː n l ɦ ɒ t oː,0
{hun}ajánlom,ɒ j aː n l o m,0
{hun}akad,ɒ k ɒ d,0
{hun}akadály,ɒ k ɒ d aː j,0
{hun}akadálya,ɒ k ɒ d aː j ɒ,0
{hun}akadályokat,ɒ k ɒ d aː j o k ɒ t,0
{hun}akadályozta,ɒ k ɒ d aː j o s t ɒ,0
{hun}akadályt,ɒ k ɒ d aː j t,0
{hun}akadémia,ɒ k ɒ d eː m i j ɒ,0
{hun}akadémikus,ɒ k ɒ d eː m i k u ʃ,0
{hun}akar,ɒ k ɒ r,0
{hun}akarattal,ɒ k ɒ r ɒ tː ɒ l,0
{hun}akard,ɒ k ɒ r d,0
{hun}akarja,ɒ k ɒ r j ɒ,0
{hun}akarnak,ɒ k ɒ r n ɒ k,0
{hun}akarnám,ɒ k ɒ r n aː m,0
{hun}akarom,ɒ k ɒ r o m,0
{hun}akarsz,ɒ k ɒ r s,0
{hun}akart,ɒ k ɒ r t,0
{hun}akarta,ɒ k ɒ r t ɒ,0
{hun}akartak,ɒ k ɒ r t ɒ k,0
{hun}akarták,ɒ k ɒ r t aː k,0
{hun}akarunk,ɒ k ɒ r u ŋ k,0
{hun}akció,ɒ k t͡s i j oː,0
