merged_spelling,ipa,langid
{jpn}あいかわらず,a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ,0
{jpn}あいがん,a̠ i ɡ ã̠ ɴ,0
{jpn}あいくち,a̠ i k ɯ̟ᵝ t͡ɕ i,0
{jpn}あいけん,a̠ i k ẽ̞ ɴ,0
{jpn}あいこくしゅぎ,a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i,0
{jpn}あいご,a̠ i ɡ o̞,0
{jpn}あいさつ,a̠ i s a̠ t͡s ɨᵝ,0
{jpn}あいしゅう,a̠ i ɕ ɨᵝː,0
{jpn}あいしょうか,a̠ i ɕ o̞ː k a̠,0
{jpn}あいしんかくら,a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠,0
{jpn}あいじょう,a̠ i ʑ o̞ː,0
{jpn}あいぞう,a̠ i z o̞ː,0
{jpn}あいぞうばん,a̠ i z o̞ː b ã̠ ɴ,0
{jpn}あいだがら,a̠ i d a̠ ɡ a̠ ɾ a̠,0
{jpn}あいつぐ,a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ,0
{jpn}あいつら,a̠ i t͡s ɨᵝ ɾ a̠,0
{jpn}あいな,a̠ i n a̠,0
{jpn}あいにく,a̠ i ɲ̟ i k ɯ̟ᵝ,0
{jpn}あいふく,a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ,0
{jpn}あいぶ,a̠ i b ɯ̟ᵝ,0
{jpn}あいぼ,a̠ i b o̞,0
{jpn}あいまい,a̠ i m a̠ i,0
{jpn}あいよ,a̠ i j o̞,0
{jpn}あう,a̠ ɯ̟ᵝ,0
{jpn}あえぐ,a̠ e̞ ɡ ɯ̟ᵝ,0
{jpn}あえる,a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}あえん,a̠ ẽ̞ ɴ,0
{jpn}あお,a̠ o̞,0
{jpn}あおい,a̠ o̞ i,0
{jpn}あおうなばら,a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠,0
{jpn}あおき,a̠ o̞ kʲ i,0
{jpn}あおぎり,a̠ o̞ ɡʲ i ɾʲ i,0
{jpn}あおぐ,a̠ o̞ ɡ ɯ̟ᵝ,0
{jpn}あおげいとう,a̠ o̞ ɡ e̞ː t o̞ː,0
{jpn}あおさ,a̠ o̞ s a̠,0
{jpn}あおば,a̠ o̞ b a̠,0
{jpn}あおもの,a̠ o̞ m o̞ n o̞,0
{jpn}あおもり,a̠ o̞ m o̞ ɾʲ i,0
{jpn}あおもりけん,a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ,0
{jpn}あおる,a̠ o̞ ɾ ɯ̟ᵝ,0
{jpn}あか,a̠ k a̠,0
{jpn}あかい,a̠ k a̠ i,0
{jpn}あかがみ,a̠ k a̠ ɡ a̠ mʲ i,0
{jpn}あかぐろい,a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i,0
{jpn}あかげざる,a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ,0
{jpn}あかし,a̠ k a̠ ɕ i,0
{jpn}あかじ,a̠ k a̠ ʑ i,0
{jpn}あかちょうちん,a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ,0
{jpn}あかつき,a̠ k a̠ t͡s ɨ̥ᵝ kʲ i,0
{jpn}あかつめくさ,a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠,0
{jpn}あかてん,a̠ k a̠ t ẽ̞ ɴ,0
{jpn}あかなす,a̠ k a̠ n a̠ s ɨᵝ,0
{jpn}あかね,a̠ k a̠ n e̞,0
{jpn}あかはた,a̠ k a̠ h a̠ t a̠,0
{jpn}あかはな,a̠ k a̠ h a̠ n a̠,0
{jpn}あかべこ,a̠ k a̠ b e̞ k o̞,0
{jpn}あかむつ,a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}あかり,a̠ k a̠ ɾʲ i,0
{jpn}あかるむ,a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ,0
{jpn}あかんべえ,a̠ k ã̠ m b e̞ː,0
{jpn}あがき,a̠ ɡ a̠ kʲ i,0
{jpn}あがく,a̠ ɡ a̠ k ɯ̟ᵝ,0
{jpn}あがめる,a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ,0
{jpn}あがる,a̠ ɡ a̠ ɾ ɯ̟ᵝ,0
{jpn}あき,a̠ kʲ i,0
