merged_spelling,ipa,langid
{kor}ᆯㅈㅣ,ʎ t͡ɕ͈ i,0
{kor}ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,k a̠ː n ɯ ŋ ɦ a̠ d a̠,0
{kor}ㄱㅏㄷㅜㄹㅣ,k a̠ː d u ɾ i,0
{kor}ㄱㅏㄷㅡ,k a̠ d ɯ,0
{kor}ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,k a̠ d ɯ kʰ a̠ d a̠,0
{kor}ㄱㅏㅅㅏ,k a̠ sʰ a̠,0
{kor}ㄱㅏㅅㅣㅎㅘ,k a̠ ɕʰ i β w a̠,0
{kor}ㄱㅏㅈㅣ,k a̠ d͡ʑ i,0
{kor}ㄱㅏㅈㅣㄱㅗ,k a̠ d͡ʑ i ɡ o̞,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱ,k a̠ tʰ o̞ ʎ ʎ i k̚,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱㄱㅛㅎㅚ,k a̠ tʰ o̞ ʎ ʎ i k̚ k͈ j o β w e̞,0
{kor}ㄱㅏㄱㅈㅏ,k a̠ k̚ t͡ɕ͈ a̠,0
{kor}ㄱㅏㄴㄱㅏㄴㅇㅣ,k a̠ n ɡ a̠ n i,0
{kor}ㄱㅏㄴㅅㅏ,k a̠ n sʰ a̠,0
{kor}ㄱㅏㄴㅇㅠ,k a̠ː ɲ j u,0
{kor}ㄱㅏㄴㅊㅓㅂ,k a̠ː ɲ t͡ɕʰ ʌ̹ p̚,0
{kor}ㄱㅏㄹㄷㅡㅇ,k a̠ ɭ t͈ ɯ ŋ,0
{kor}ㄱㅏㄹㅁㅏㅇㅎㅏㄷㅏ,k a̠ ɭ m a̠ ŋ ɦ a̠ d a̠,0
{kor}ㄱㅏㄹㅂㅣㅃㅕ,k a̠ ɭ b i p͈ j ʌ̹,0
