merged_spelling,ipa,langid
{kor}ᆯㅈㅣ,ʎ t͡ɕ͈ i,0
{kor}ㄱㄴㄷㅅㅜㄴ,k a̠ n a̠ d a̠ sʰ u n,0
{kor}ㄴㄴ,n o̞ n o̞,0
{kor}ㅋㅋㅋ,k x ɯ k x ɯ k x ɯ,0
{kor}ㄱㅏㄱㅏㄹㅣㄴ,k a̠ ɡ a̠ ɾ i n,0
{kor}ㄱㅏㄱㅏㅁ,k a̠ ɡ a̠ m,0
{kor}ㄱㅏㄱㅔ,k a̠ː ɡ e̞,0
{kor}ㄱㅏㄱㅕㄱ,k a̠ ɡ j ʌ̹ k̚,0
{kor}ㄱㅏㄱㅖ,k a̠ ɡ j e̞,0
{kor}ㄱㅏㄱㅗㅇㅍㅜㅁ,k a̠ ɡ o̞ ŋ pʰ u m,0
{kor}ㄱㅏㄱㅜ,k a̠ ɡ u,0
{kor}ㄱㅏㄲㅏㅂㄷㅏ,k a̠ k͈ a̠ p̚ t͈ a̠,0
{kor}ㄱㅏㄲㅡㅁ,k a̠ k͈ ɯ m,0
{kor}ㄱㅏㄲㅡㅁㅆㅣㄱ,k a̠ k͈ ɯ m ɕ͈ i k̚,0
{kor}ㄱㅏㄴㅏ,k a̠ n a̠,0
{kor}ㄱㅏㄴㅏㄴㅎㅏㄷㅏ,k a̠ n a̠ n ɦ a̠ d a̠,0
{kor}ㄱㅏㄴㅡㄴㅈㅟ,k a̠ n ɯ ɲ d͡ʑ ɥ i,0
{kor}ㄱㅏㄴㅡㄹㄷㅏ,k a̠ n ɯ ɭ d a̠,0
{kor}ㄱㅏㄴㅡㅁ,k a̠ n ɯ m,0
{kor}ㄱㅏㄴㅡㅁㅎㅏㄷㅏ,k a̠ n ɯ m ɦ a̠ d a̠,0
{kor}ㄱㅏㄴㅡㅇㅅㅓㅇ,k a̠ː n ɯ ŋ s͈ ʌ̹ ŋ,0
{kor}ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,k a̠ː n ɯ ŋ ɦ a̠ d a̠,0
{kor}ㄱㅏㄷㅗㄱㅅㅓㅇ,k a̠ d o̞ k s͈ ʌ̹ ŋ,0
{kor}ㄱㅏㄷㅗㅇ,k a̠ d o̞ ŋ,0
{kor}ㄱㅏㄷㅜㄹㅣ,k a̠ː d u ɾ i,0
{kor}ㄱㅏㄷㅡ,k a̠ d ɯ,0
{kor}ㄱㅏㄷㅡㄱ,k a̠ d ɯ k̚,0
{kor}ㄱㅏㄷㅡㄱㄱㅏㄷㅡㄱ,k a̠ d ɯ k̚ k͈ a̠ d ɯ k̚,0
{kor}ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,k a̠ d ɯ kʰ a̠ d a̠,0
{kor}ㄱㅏㄸㅏㄲㅏㄴㅏ,k a̠ t͈ a̠ k͈ a̠ n a̠,0
{kor}ㄱㅏㄹㅏㄷㅔ,k a̠ ɾ a̠ d e̞,0
{kor}ㄱㅏㄹㅏㅇㅗㅋㅔ,k a̠ ɾ a̠ o̞ kʰ e̞,0
{kor}ㄱㅏㄹㅏㅇㅂㅣ,k a̠ ɾ a̠ ŋ b i,0
{kor}ㄱㅏㄹㅕㅇ,k a̠ː ɾ j ʌ̹ ŋ,0
{kor}ㄱㅏㄹㅗ,k a̠ ɾ o̞,0
{kor}ㄱㅏㄹㅗㄷㅏ,k a̠ ɾ o̞ d a̠,0
{kor}ㄱㅏㄹㅗㄷㅡㅇ,k a̠ ɾ o̞ d ɯ ŋ,0
{kor}ㄱㅏㄹㅜ,k a̠ ɾ u,0
{kor}ㄱㅏㄹㅡㅊㅣㄷㅏ,k a̠ ɾ ɯ t͡ɕʰ i d a̠,0
{kor}ㄱㅏㄹㅡㅊㅣㅁ,k a̠ ɾ ɯ t͡ɕʰ i m,0
{kor}ㄱㅏㄹㅣㄷㅏ,k a̠ ɾ i d a̠,0
{kor}ㄱㅏㄹㅣㅂㅣ,k a̠ ɾ i b i,0
{kor}ㄱㅏㅁㅏㅅㅗㅌ,k a̠ m a̠ sʰ o̞ t̚,0
{kor}ㄱㅏㅁㅏㅇㅜㅈㅣ,k a̠ m a̠ u d͡ʑ i,0
{kor}ㄱㅏㅁㅏㄴ,k a̠ m a̠ n,0
{kor}ㄱㅏㅁㅏㄴㄱㅏㅁㅏㄴ,k a̠ m a̠ n ɡ a̠ m a̠ n,0
{kor}ㄱㅏㅁㅏㄴㄷㅜㄷㅏ,k a̠ m a̠ n d u d a̠,0
{kor}ㄱㅏㅁㅏㄴㅎㅣ,k a̠ m a̠ n ʝ i,0
{kor}ㄱㅏㅁㅏㅎㄷㅏ,k a̠ː m a̠ tʰ a̠,0
{kor}ㄱㅏㅁㅕㄴ,k a̠ː m j ʌ̹ n,0
{kor}ㄱㅏㅁㅕㄴㄱㅡㄱ,k a̠ː m j ʌ̹ n ɡ ɯ k̚,0
{kor}ㄱㅏㅁㅕㅇ,k a̠ː m j ʌ̹ ŋ,0
{kor}ㄱㅏㅁㅜ,k a̠ m u,0
{kor}ㄱㅏㅁㅜㅇㅣㅇㅑㄱㅣ,k a̠ m u i j a̠ ɡ i,0
{kor}ㄱㅏㅁㅜㄴ,k a̠ m u n,0
{kor}ㄱㅏㅁㅜㄹㄱㅏㅁㅜㄹ,k a̠ m u ɭ ɡ a̠ m u ɭ,0
{kor}ㄱㅏㅁㅜㄹㅊㅣ,k a̠ m u ʎ t͡ɕʰ i,0
{kor}ㄱㅏㅁㅜㅁ,k a̠ m u m,0
{kor}ㄱㅏㅂㅏㅇ,k a̠ b a̠ ŋ,0
{kor}ㄱㅏㅂㅗ,k a̠ b o̞,0
{kor}ㄱㅏㅂㅗㅇ,k a̠ b o̞ ŋ,0
{kor}ㄱㅏㅂㅜㅈㅘ,k a̠ b u d͡ʑ w a̠,0
{kor}ㄱㅏㅂㅡㄹㅣㅇㅔㄹ,k a̠ b ɯ ɾ i e̞ ɭ,0
{kor}ㄱㅏㅅㅏ,k a̠ sʰ a̠,0
{kor}ㄱㅏㅅㅏㄴ,k a̠ sʰ a̠ n,0
{kor}ㄱㅏㅅㅔ,k a̠ sʰ e̞,0
{kor}ㄱㅏㅅㅜㅇㅇㅓ,k a̠ː sʰ u ŋ ʌ̹,0
{kor}ㄱㅏㅅㅡ,k͈ a̠ sʰ ɯ,0
{kor}ㄱㅏㅅㅣ,k a̠ ɕʰ i,0
{kor}ㄱㅏㅅㅣㄱㅗㄱㅣ,k a̠ ɕʰ i ɡ o̞ ɡ i,0
{kor}ㄱㅏㅅㅣㄴㅏ,k a̠ ɕʰ i n a̠,0
{kor}ㄱㅏㅅㅣㄴㅏㅁㅜ,k a̠ ɕʰ i n a̠ m u,0
{kor}ㄱㅏㅅㅣㄷㅏ,k a̠ ɕʰ i d a̠,0
{kor}ㄱㅏㅅㅣㅇㅏㅂㅓㅈㅣ,k a̠ ɕʰ i a̠ b ʌ̹ d͡ʑ i,0
{kor}ㄱㅏㅅㅣㅎㅘ,k a̠ ɕʰ i β w a̠,0
{kor}ㄱㅏㅅㅣㄱ,k a̠ː ɕʰ i k̚,0
{kor}ㄱㅏㅇㅑㄱㅡㅁ,k a̠ j a̠ ɡ ɯ m,0
{kor}ㄱㅏㅇㅕㅄㄷㅏ,k a̠ː j ʌ̹ p̚ t͈ a̠,0
{kor}ㄱㅏㅇㅜㄴㄷㅔ,k a̠ u n d e̞,0
{kor}ㄱㅏㅇㅜㄴㄷㅔㅅㅗㄹㅣ,k a̠ u n d e̞ sʰ o̞ ɾ i,0
{kor}ㄱㅏㅇㅟ,k a̠ ɥ i,0
{kor}ㄱㅏㅇㅟㅂㅏㅇㅟㅂㅗ,k a̠ ɥ i b a̠ ɥ i b o̞,0
{kor}ㄱㅏㅇㅡㄹ,k a̠ ɯ ɭ,0
{kor}ㄱㅏㅇㅡㄹㅊㅓㄹ,k a̠ ɯ ʎ t͡ɕʰ ʌ̹ ɭ,0
{kor}ㄱㅏㅇㅣㄷㅡ,k a̠ i d ɯ,0
{kor}ㄱㅏㅈㅏ,k a̠ d͡ʑ a̠,0
{kor}ㄱㅏㅈㅏㅇㅈㅏㄹㅣ,k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i,0
{kor}ㄱㅏㅈㅓㅇㅂㅓㅂ,k a̠ː d͡ʑ ʌ̹ ŋ p͈ ʌ̹ p̚,0
{kor}ㄱㅏㅈㅔ,k a̠ d͡ʑ e̞,0
{kor}ㄱㅏㅈㅔㄸㅏ,k a̠ d͡ʑ e̞ t͈ a̠,0
{kor}ㄱㅏㅈㅔㄹ,k a̠ d͡ʑ e̞ ɭ,0
{kor}ㄱㅏㅈㅕㄱㅏㄷㅏ,k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠,0
{kor}ㄱㅏㅈㅕㅇㅗㄷㅏ,k a̠ d͡ʑ ʌ̹ o̞ d a̠,0
{kor}ㄱㅏㅈㅣ,k a̠ d͡ʑ i,0
{kor}ㄱㅏㅈㅣㄱㅗ,k a̠ d͡ʑ i ɡ o̞,0
{kor}ㄱㅏㅈㅣㄷㅏ,k a̠ d͡ʑ i d a̠,0
{kor}ㄱㅏㅈㅣㅃㅜㄹ,k a̠ d͡ʑ i p͈ u ɭ,0
{kor}ㄱㅏㅊㅏ,k a̠ t͡ɕʰ a̠,0
{kor}ㄱㅏㅊㅜㄱ,k a̠ t͡ɕʰ u k̚,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱ,k a̠ tʰ o̞ ʎ ʎ i k̚,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱㄱㅛㅎㅚ,k a̠ tʰ o̞ ʎ ʎ i k̚ k͈ j o β w e̞,0
{kor}ㄱㅏㅍㅏㄹㅡㄷㅏ,k a̠ pʰ a̠ ɾ ɯ d a̠,0
{kor}ㄱㅏㅎㅣ,k a̠ː ʝ i,0
{kor}ㄱㅏㄱㄱㅜㄱ,k a̠ k̚ k͈ u k̚,0
{kor}ㄱㅏㄱㄱㅣ,k a̠ k̚ k͈ i,0
{kor}ㄱㅏㄱㄷㅏㄱㅟ,k a̠ k̚ t͈ a̠ ɡ ɥ i,0
{kor}ㄱㅏㄱㄷㅗ,k a̠ k̚ t͈ o̞,0
{kor}ㄱㅏㄱㅁㅏㄱ,k a̠ ŋ m a̠ k̚,0
{kor}ㄱㅏㄱㅂㅗㄴ,k a̠ k̚ p͈ o̞ n,0
