merged_spelling,ipa,langid
{vie}a hoàn,ʔ aː ˧˧ h w aː n ˨˩,0
{vie}a lịch sơn,ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧,0
{vie}a tu la,ʔ aː ˧˧ t u ˧˧ l aː ˧˧,0
{vie}ace,ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧,0
{vie}actini,ʔ aː k̚ ˧˦ t i ˧˧ n i ˧˧,0
{vie}agon,ʔ aː ˧˧ ɣ ə w ŋ͡m ˧˧,0
{vie}ai,ʔ aː j ˧˧,0
{vie}ai dè,ʔ aː j ˧˧ z ɛ ˨˩,0
{vie}ai lao,ʔ aː j ˧˧ l aː w ˧˧,0
{vie}ai nấy,ʔ aː j ˧˧ n ə j ˧˦,0
{vie}alexanđê,ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧,0
{vie}am,ʔ aː m ˧˧,0
{vie}am tường,ʔ aː m ˧˧ t ɨ ə ŋ ˨˩,0
{vie}amoni,ʔ aː ˧˧ m o ˧˧ n i ˧˧,0
{vie}an,ʔ aː n ˧˧,0
{vie}an bài,ʔ aː n ˧˧ ʔ ɓ aː j ˨˩,0
{vie}an khang thịnh vượng,ʔ aː n ˧˧ x aː ŋ ˧˧ tʰ ï ŋ ˧˨ ʔ v ɨ ə ŋ ˧˨ ʔ,0
{vie}an lành,ʔ aː n ˧˧ l a j ŋ̟ ˨˩,0
{vie}an lê mân,ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧,0
{vie}an lạc,ʔ aː n ˧˧ l aː k̚ ˧˨ ʔ,0
{vie}an nam,ʔ aː n ˧˧ n aː m ˧˧,0
{vie}an toàn là trên hết,ʔ aː n ˧˧ t w aː n ˨˩ l aː ˨˩ t͡ɕ e n ˧˧ h e t̚ ˧˦,0
{vie}an tâm,ʔ aː n ˧˧ t ə m ˧˧,0
{vie}an tôn,ʔ aː n ˧˧ t o n ˧˧,0
{vie}ancol,ʔ aː n ˧˧ k o n ˧˧,0
{vie}ang,ʔ aː ŋ ˧˧,0
{vie}anh chị em,ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧,0
{vie}anh cát lợi,ʔ a j ŋ̟ ˧˧ k aː t̚ ˧˦ l əː j ˧˨ ʔ,0
{vie}anh hùng,ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩,0
{vie}anh ngữ,ʔ a j ŋ̟ ˧˧ ŋ ɨ ˦ˀ˥,0
{vie}anh quốc,ʔ a j ŋ̟ ˧˧ k u ə k̚ ˧˦,0
{vie}anh trai,ʔ a j ŋ̟ ˧˧ t͡ɕ aː j ˧˧,0
{vie}anh vợ,ʔ a j ŋ̟ ˧˧ v əː ˧˨ ʔ,0
{vie}anh yêu em,ʔ a j ŋ̟ ˧˧ ʔ i ə w ˧˧ ʔ ɛ m ˧˧,0
{vie}anh ấy,ʔ a j ŋ̟ ˧˧ ʔ ə j ˧˦,0
{vie}anphongsô,ʔ aː n ˧˧ f a w ŋ͡m ˧˧ s o ˧˧,0
{vie}antimon,ʔ aː n ˧˧ t i ˧˧ m ɔ n ˧˧,0
{vie}antôn,ʔ aː n ˧˧ t o n ˧˧,0
{vie}anê,ʔ aː n ˧˧ n e ˧˧,0
{vie}ao,ʔ aː w ˧˧,0
{vie}ao ước,ʔ aː w ˧˧ ʔ ɨ ə k̚ ˧˦,0
{vie}asen,ʔ aː ˧˧ s ɛ n ˧˧,0
{vie}atatin,ʔ aː ˧˧ t aː ˧˧ t i n ˧˧,0
{vie}au,ʔ a w ˧˧,0
{vie}axit,ʔ aː ˧˧ s i t̚ ˧˦,0
{vie}axit sunfurơ,ʔ aː ˧˧ s i t̚ ˧˧ s u n ˧˧ f u ˧˧ ɹ əː ˧˧,0
{vie}axít,ʔ aː ˧˧ s i t̚ ˧˦,0
{vie}ba con sói,ʔ ɓ aː ˧˧ k ɔ n ˧˧ s ɔ j ˧˦,0
{vie}ba hồn bảy vía,ʔ ɓ aː ˧˧ h o n ˨˩ ʔ ɓ a j ˧˩ v i ə ˧˦,0
{vie}ba lô,ʔ ɓ aː ˧˧ l o ˧˧,0
{vie}ba lăm,ʔ ɓ aː ˧˧ l a m ˧˧,0
{vie}ba na,ʔ ɓ aː ˧˧ n aː ˧˧,0
{vie}ba phải,ʔ ɓ aː ˧˧ f aː j ˧˩,0
{vie}ba toong,ʔ ɓ aː ˧˧ t ɔ ŋ ˧˧,0
{vie}ba tàu,ʔ ɓ aː ˧˧ t a w ˨˩,0
{vie}ba tây,ʔ ɓ aː ˧˧ t ə j ˧˧,0
{vie}ban,ʔ ɓ aː n ˧˧,0
{vie}ban ngày,ʔ ɓ aː n ˧˧ ŋ a j ˨˩,0
{vie}ban nhạc,ʔ ɓ aː n ˧˧ ɲ aː k̚ ˧˨ ʔ,0
{vie}ban đêm,ʔ ɓ aː n ˧˧ ʔ ɗ e m ˧˧,0
{vie}bang,ʔ ɓ aː ŋ ˧˧,0
{vie}banh,ʔ ɓ a j ŋ̟ ˧˧,0
{vie}bao,ʔ ɓ aː w ˧˧,0
{vie}bao báp,ʔ ɓ aː w ˧˧ ʔ ɓ aː p̚ ˧˦,0
{vie}bao bì,ʔ ɓ aː w ˧˧ ʔ ɓ i ˨˩,0
{vie}bao cấp,ʔ ɓ aː w ˧˧ k ə p̚ ˧˦,0
{vie}bao dung,ʔ ɓ aː w ˧˧ z ʊ w ŋ͡m ˧˧,0
{vie}bao dương vật,ʔ ɓ aː w ˧˧ z ɨ ə ŋ ˧˧ v ə t̚ ˧˨ ʔ,0
{vie}bao kiếm,ʔ ɓ aː w ˧˧ k i ə m ˧˦,0
{vie}bao la,ʔ ɓ aː w ˧˧ l aː ˧˧,0
{vie}bao nhiêu,ʔ ɓ aː w ˧˧ ɲ i ə w ˧˧,0
{vie}bao quát,ʔ ɓ aː w ˧˧ k w aː t̚ ˧˦,0
{vie}bari,ʔ ɓ aː ˧˧ ɹ i ˧˧,0
{vie}batôlômêô,ʔ ɓ aː ˧˧ t o ˧˧ l o ˧˧ m e ˧˧ ʔ o ˧˧,0
{vie}bay,ʔ ɓ a j ˧˧,0
{vie}bazơ,ʔ ɓ aː ˧˧ z əː ˧˧,0
{vie}be,ʔ ɓ ɛ ˧˧,0
{vie}beo,ʔ ɓ ɛ w ˧˧,0
{vie}berili,ʔ ɓ ɛ ˧˧ ɹ i ˧˧ l i ˧˧,0
{vie}bi,ʔ ɓ i ˧˧,0
{vie}bi quan,ʔ ɓ i ˧˧ k w aː n ˧˧,0
{vie}bia,ʔ ɓ i ə ˧˧,0
{vie}bia hơi,ʔ ɓ i ə ˧˧ h əː j ˧˧,0
{vie}bim bim,ʔ ɓ i m ˧˧ ʔ ɓ i m ˧˧,0
{vie}binh,ʔ ɓ ï ŋ ˧˧,0
{vie}binh lính,ʔ ɓ ï ŋ ˧˧ l ï ŋ ˧˦,0
{vie}binh nhì,ʔ ɓ ï ŋ ˧˧ ɲ i ˨˩,0
{vie}binh nhất,ʔ ɓ ï ŋ ˧˧ ɲ ə t̚ ˧˦,0
{vie}binh sĩ,ʔ ɓ ï ŋ ˧˧ s i ˦ˀ˥,0
{vie}bit,ʔ ɓ i t̚ ˧˧,0
{vie}biên,ʔ ɓ i ə n ˧˧,0
{vie}biên kịch,ʔ ɓ i ə n ˧˧ k ï k̟̚ ˧˨ ʔ,0
{vie}biên nhận,ʔ ɓ i ə n ˧˧ ɲ ə n ˧˨ ʔ,0
{vie}biên tập viên,ʔ ɓ i ə n ˧˧ t ə p̚ ˧˨ ʔ v i ə n ˧˧,0
{vie}biên xích,ʔ ɓ i ə n ˧˧ s ï k̟̚ ˧˦,0
{vie}biến,ʔ ɓ i ə n ˧˦,0
{vie}biến chứng,ʔ ɓ i ə n ˧˦ t͡ɕ ɨ ŋ ˧˦,0
{vie}biến cố,ʔ ɓ i ə n ˧˦ k o ˧˦,0
{vie}biến loạn,ʔ ɓ i ə n ˧˦ l w aː n ˧˨ ʔ,0
{vie}biến thành,ʔ ɓ i ə n ˧˦ tʰ a j ŋ̟ ˨˩,0
{vie}biến tấu,ʔ ɓ i ə n ˧˦ t ə w ˧˦,0
{vie}biếng,ʔ ɓ i ə ŋ ˧˦,0
{vie}biết,ʔ ɓ i ə t̚ ˧˦,0
{vie}biết mấy,ʔ ɓ i ə t̚ ˧˦ m ə j ˧˦,0
{vie}biếu,ʔ ɓ i ə w ˧˦,0
{vie}biền,ʔ ɓ i ə n ˨˩,0
{vie}biển,ʔ ɓ i ə n ˧˩,0
{vie}biển cả,ʔ ɓ i ə n ˧˩ k aː ˧˩,0
{vie}biển hoa đông,ʔ ɓ i ə n ˧˩ h w aː ˧˧ ʔ ɗ ə w ŋ͡m ˧˧,0
{vie}biển đen,ʔ ɓ i ə n ˧˩ ʔ ɗ ɛ n ˧˧,0
{vie}biển đức,ʔ ɓ i ə n ˧˩ ʔ ɗ ɨ k̚ ˧˦,0
{vie}biểu dương,ʔ ɓ i ə w ˧˩ z ɨ ə ŋ ˧˧,0
{vie}biểu ngữ,ʔ ɓ i ə w ˧˩ ŋ ɨ ˦ˀ˥,0
{vie}biểu quyết,ʔ ɓ i ə w ˧˩ k w i ə t̚ ˧˦,0
{vie}biểu tượng,ʔ ɓ i ə w ˧˩ t ɨ ə ŋ ˧˨ ʔ,0
{vie}biện,ʔ ɓ i ə n ˧˨ ʔ,0
{vie}biện hàn,ʔ ɓ i ə n ˧˨ ʔ h aː n ˨˩,0
{vie}biệt,ʔ ɓ i ə t̚ ˧˨ ʔ,0
{vie}biệt lập,ʔ ɓ i ə t̚ ˧˨ ʔ l ə p̚ ˧˨ ʔ,0
{vie}biệt thự,ʔ ɓ i ə t̚ ˧˨ ʔ tʰ ɨ ˧˨ ʔ,0
{vie}biệt đội,ʔ ɓ i ə t̚ ˧˨ ʔ ʔ ɗ o j ˧˨ ʔ,0
{vie}blu,ʔ ɓ l u ˧˧,0
{vie}bo,ʔ ɓ ɔ ˧˧,0
{vie}bo bo,ʔ ɓ ɔ ˧˧ ʔ ɓ ɔ ˧˧,0
{vie}boa,ʔ ɓ w aː ˧˧,0
{vie}bom,ʔ ɓ ɔ m ˧˧,0
{vie}bon,ʔ ɓ ɔ n ˧˧,0
{vie}bong,ʔ ɓ a w ŋ͡m ˧˧,0
{vie}bu,ʔ ɓ u ˧˧,0
{vie}bu lông,ʔ ɓ u ˧˧ l ə w ŋ͡m ˧˧,0
{vie}buôn,ʔ ɓ u ə n ˧˧,0
{vie}buôn lậu,ʔ ɓ u ə n ˧˧ l ə w ˧˨ ʔ,0
{vie}buông,ʔ ɓ u ə ŋ ˧˧,0
{vie}buồi,ʔ ɓ u ə j ˨˩,0
{vie}buồm,ʔ ɓ u ə m ˨˩,0
{vie}buồn,ʔ ɓ u ə n ˨˩,0
{vie}buồn bực,ʔ ɓ u ə n ˨˩ ʔ ɓ ɨ k̚ ˧˨ ʔ,0
{vie}buồn ngủ,ʔ ɓ u ə n ˨˩ ŋ u ˧˩,0
{vie}buồn phiền,ʔ ɓ u ə n ˨˩ f i ə n ˨˩,0
{vie}buồn rầu,ʔ ɓ u ə n ˨˩ z ə w ˨˩,0
{vie}buồng,ʔ ɓ u ə ŋ ˨˩,0
{vie}buồng trứng,ʔ ɓ u ə ŋ ˨˩ t͡ɕ ɨ ŋ ˧˦,0
{vie}buổi,ʔ ɓ u ə j ˧˩,0
{vie}buộc,ʔ ɓ u ə k̚ ˧˨ ʔ,0
{vie}buột,ʔ ɓ u ə t̚ ˧˨ ʔ,0
{vie}bà,ʔ ɓ aː ˨˩,0
{vie}bà ba,ʔ ɓ aː ˨˩ ʔ ɓ aː ˧˧,0
{vie}bà con,ʔ ɓ aː ˨˩ k ɔ n ˧˧,0
{vie}bà cô,ʔ ɓ aː ˨˩ k o ˧˧,0
{vie}bà hoàng,ʔ ɓ aː ˨˩ h w aː ŋ ˨˩,0
{vie}bà đỡ,ʔ ɓ aː ˨˩ ʔ ɗ əː ˦ˀ˥,0
{vie}bà ấy,ʔ ɓ aː ˨˩ ʔ ə j ˧˦,0
{vie}bài học,ʔ ɓ aː j ˨˩ h a w k͡p̚ ˧˨ ʔ,0
{vie}bàn bạc,ʔ ɓ aː n ˨˩ ʔ ɓ aː k̚ ˧˨ ʔ,0
{vie}bàn chải,ʔ ɓ aː n ˨˩ t͡ɕ aː j ˧˩,0
{vie}bàn chải đánh răng,ʔ ɓ aː n ˨˩ t͡ɕ aː j ˧˩ ʔ ɗ a j ŋ̟ ˧˦ z a ŋ ˧˧,0
{vie}bàn cổ,ʔ ɓ aː n ˨˩ k o ˧˩,0
{vie}bàn môn điếm,ʔ ɓ aː n ˨˩ m o n ˧˧ ʔ ɗ i ə m ˧˦,0
{vie}bàn mổ,ʔ ɓ aː n ˨˩ m o ˧˩,0
{vie}bàn tay,ʔ ɓ aː n ˨˩ t a j ˧˧,0
{vie}bàn tán,ʔ ɓ aː n ˨˩ t aː n ˧˦,0
{vie}bàn tính,ʔ ɓ aː n ˨˩ t ï ŋ ˧˦,0
{vie}bàng,ʔ ɓ aː ŋ ˨˩,0
{vie}bành,ʔ ɓ a j ŋ̟ ˨˩,0
{vie}bành tô,ʔ ɓ a j ŋ̟ ˨˩ t o ˧˧,0
{vie}bào,ʔ ɓ aː w ˨˩,0
