merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{dut}aad,aː t,0,aad,0
{dut}aandrijfas,aː n d r ɛ i̯ f ɑ s,0,aandrijfas,0
{dut}aaneen,aː n eː n,0,aaneen,0
{dut}aangaan,aː ŋ ɣ aː n,0,aangaan,0
{dut}aangegrepen,aː ŋ ɣ ə ɣ r eː p ə n,0,aangegrepen,0
{dut}aanleren,aː n l eː r ə n,0,aanleren,0
{dut}aanpak,aː m p ɑ k,0,aanpak,0
{dut}aansluiten,aː n s l œ y̯ t ə n,0,aansluiten,0
{dut}aansluiting,aː n s l œ y̯ t ɪ ŋ,0,aansluiting,0
{dut}aanspreken,aː n s p r eː k ə n,0,aanspreken,0
{dut}aanstekelijk,aː n s t eː k ə l ə k,0,aanstekelijk,0
{dut}aantrekkingskracht,aː n t r ɛ k ɪ ŋ s k r ɑ x t,0,aantrekkingskracht,0
{dut}aanvaarding,aː n v aː r d ɪ ŋ,0,aanvaarding,0
{dut}aanvalsplan,aː n v ɑ l s p l ɑ n,0,aanvalsplan,0
{dut}aanvraag,aː n v r aː x,0,aanvraag,0
{dut}aanwezigheid,aː n ʋ eː z ə x ɦ ɛ i̯ t,0,aanwezigheid,0
{dut}aar,aː r,0,aar,0
{dut}aarden,aː r d ə n,0,aarden,0
{dut}aardig,aː r d ə x,0,aardig,0
{dut}aartshertog,aː r t s ɦ ɛ r t ɔ x,0,aartshertog,0
{dut}abacus,ɑ b aː k ʏ s,0,abacus,0
{dut}abdis,ɑ b d ɪ s,0,abdis,0
{dut}abraham,aː b r aː ɦ ɑ m,0,abraham,0
{dut}accent,ɑ k s ɛ n t,0,accent,0
{dut}accentueren,ɑ k s ɛ n t y eː r ə n,0,accentueren,0
{dut}achtereen,ɑ x t ə r eː n,0,achtereen,0
{dut}achtergrond,ɑ x t ə r ɣ r ɔ n t,0,achtergrond,0
{dut}achtergrondmuziek,ɑ x t ə r ɣ r ɔ n t m y z i k,0,achtergrondmuziek,0
{dut}achterin,ɑ x t ə r ɪ n,0,achterin,0
{dut}achterlaten,ɑ x t ə r l aː t ə n,0,achterlaten,0
{dut}achterstevoren,ɑ x t ə r s t ə v oː r ə n,0,achterstevoren,0
{dut}achting,ɑ x t ɪ ŋ,0,achting,0
{dut}acne,ɑ k n eː,0,acne,0
{dut}actor,ɑ k t ɔ r,0,actor,0
{dut}aderlating,aː d ə r l aː t ɪ ŋ,0,aderlating,0
{dut}advent,ɑ t f ɛ n t,0,advent,0
{dut}afbetaling,ɑ v b ə t aː l ɪ ŋ,0,afbetaling,0
{dut}afdekken,ɑ f d ɛ k ə n,0,afdekken,0
{dut}afdeling,ɑ f d eː l ɪ ŋ,0,afdeling,0
{dut}afdruk,ɑ v d r ʏ k,0,afdruk,0
{dut}afgelegen,ɑ f x ə l eː ɣ ə n,0,afgelegen,0
{dut}afhankelijk,ɑ f ɦ ɑ ŋ k ə l ə k,0,afhankelijk,0
{dut}afpersing,ɑ f p ɛ r s ɪ ŋ,0,afpersing,0
{dut}afschaffen,ɑ f s x ɑ f ə n,0,afschaffen,0
{dut}afschieten,ɑ f s x i t ə n,0,afschieten,0
{dut}afslanken,ɑ f s l ɑ ŋ k ə n,0,afslanken,0
