merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{eng}aa,ɑ ɑ,0,aa,0
{eng}aaad,e ɪ e ɪ e ɪ d i,0,aaad,0
{eng}aaaee,e ɪ e ɪ e ɪ i i,0,aaaee,0
{eng}aaarg,e ɪ e ɪ e ɪ ɑ ɹ d͡ʒ i,0,aaarg,0
{eng}aaav,e ɪ e ɪ e ɪ v i,0,aaav,0
{eng}aaawesome,ɔ s ə m,0,aaawesome,0
{eng}aabh,e ɪ e ɪ b i e ɪ t͡ʃ,0,aabh,0
{eng}aacap,e ɪ e ɪ k æ p,0,aacap,0
{eng}aacb,e ɪ e ɪ s i b i,0,aacb,0
{eng}aacbc,e ɪ e ɪ s i b i s i,0,aacbc,0
{eng}aacbp,e ɪ e ɪ s i b i p i,0,aacbp,0
{eng}aacd,e ɪ e ɪ s i d i,0,aacd,0
{eng}aace,e ɪ e ɪ s i i,0,aace,0
{eng}aachs,e ɪ e ɪ s i e ɪ t͡ʃ ɛ s,0,aachs,0
{eng}aacjc,e ɪ e ɪ s i d͡ʒ e ɪ s i,0,aacjc,0
{eng}aacl,e ɪ e ɪ s i ɛ l,0,aacl,0
{eng}aacm,e ɪ e ɪ s i ɛ m,0,aacm,0
{eng}aacpa,e ɪ e ɪ s i p i e ɪ,0,aacpa,0
{eng}aakp,e ɪ e ɪ k e ɪ p i,0,aakp,0
{eng}aalborg,ɔ l b ɔ ɹ ɡ,0,aalborg,0
{eng}aalii,ɑ l i i,0,aalii,0
{eng}aalst,ɑ l s t,0,aalst,0
{eng}aar,ɑ ɹ,0,aar,0
{eng}aarau,aː ɹ a u,0,aarau,0
{eng}aardvark,ɑ ɹ d v ɑ ɹ k,0,aardvark,0
{eng}aardwolves,ɑ ɹ d w ʊ l v z,0,aardwolves,0
{eng}aare,ɑ ɹ ə,0,aare,0
{eng}aarhus,ɔ ɹ h u s,0,aarhus,0
{eng}aarp,e ɪ e ɪ ɑ ɹ p i,0,aarp,0
{eng}aasvoel,ɑ s f o ʊ ə l,0,aasvoel,0
{eng}aasvogel,ɑ s f o ʊ ɡ ə l,0,aasvogel,0
{eng}aatheist,e ɪ e ɪ θ i ɪ s t,0,aatheist,0
{eng}ababda,ə b æ b d ə,0,ababda,0
{eng}ababdeh,ə b æ b d ɛ,0,ababdeh,0
{eng}abaca,æ b ə k ɑ,0,abaca,0
{eng}abacate,æ b ə k ɑ t i,0,abacate,0
{eng}abacavir,ə b æ k ə v ɪ ɹ,0,abacavir,0
{eng}abacaxi,æ b ə k ə ʃ i,0,abacaxi,0
{eng}abaci,æ b ə k a ɪ,0,abaci,0
{eng}aback,ə b æ k,0,aback,0
{eng}abackward,ə b æ k w ə d,0,abackward,0
{eng}abacost,æ b ə k ɑ s t,0,abacost,0
{eng}abacterial,e ɪ b æ k t ɪ ɹ i ə l,0,abacterial,0
{eng}abactinally,æ b æ k t ə n l̩ i,0,abactinally,0
{eng}abactor,æ b æ k t ɚ,0,abactor,0
{eng}abaculus,ə b æ k j ə l ə s,0,abaculus,0
{eng}abaddon,ə b æ d n̩,0,abaddon,0
{eng}abaisance,ə b e ɪ z ə n s,0,abaisance,0
{eng}abaiser,ə b e ɪ s ɚ,0,abaiser,0
{eng}abaisse,ə b e ɪ s,0,abaisse,0
{eng}abakan,ɑ b ə k ɑ n,0,abakan,0
{eng}abalone,æ b ə l o ʊ n i,0,abalone,0
{eng}abamp,æ b æ m p,0,abamp,0
{eng}abampere,æ b æ m p ɪ ɹ,0,abampere,0
{eng}aband,ə b æ n d,0,aband,0
{eng}abandon,ə b æ n d n̩,0,abandon,0
{eng}abandoned,ə b æ n d n̩ d,0,abandoned,0
{eng}abandonedly,ə b æ n d n̩ ə d l i,0,abandonedly,0
{eng}abandonee,ə b æ n d ə n i,0,abandonee,0
{eng}abandoner,ə b æ n d ə n ɚ,0,abandoner,0
{eng}abandonment,ə b æ n d n̩ m n̩ t,0,abandonment,0
{eng}abarthroses,æ b ɑ ɹ θ ɹ o ʊ s i z,0,abarthroses,0
{eng}abarthrosis,æ b ɑ ɹ θ ɹ o ʊ s ɪ s,0,abarthrosis,0
{eng}abas,ə b ɑ s,0,abas,0
{eng}abase,ə b e ɪ s,0,abase,0
{eng}abased,ə b e ɪ s t,0,abased,0
{eng}abasedly,ə b e ɪ s ə d l i,0,abasedly,0
{eng}abasement,ə b e ɪ s m ə n t,0,abasement,0
{eng}abaser,ə b e ɪ s ɚ,0,abaser,0
{eng}abash,ə b æ ʃ,0,abash,0
{eng}abashedly,ə b æ ʃ ɪ d l i,0,abashedly,0
{eng}abashedness,ə b æ ʃ ɪ d n ɪ s,0,abashedness,0
{eng}abashev,ə b ɑ ʃ ə f,0,abashev,0
{eng}abashless,ə b æ ʃ l ə s,0,abashless,0
{eng}abashlessly,ə b æ ʃ l ə s l i,0,abashlessly,0
{eng}abashment,ə b æ ʃ m ə n t,0,abashment,0
{eng}abasic,e ɪ b e ɪ s ɪ k,0,abasic,0
{eng}abassi,ə b ɑ s i,0,abassi,0
{eng}abastardize,e ɪ b æ s t ɚ d a ɪ z,0,abastardize,0
{eng}abatable,ə b e ɪ t ə b ə l,0,abatable,0
{eng}abate,ə b e ɪ t,0,abate,0
{eng}abatement,ə b e ɪ t m ə n t,0,abatement,0
{eng}abater,ə b e ɪ t ɚ,0,abater,0
{eng}abates,ə b e ɪ t s,0,abates,0
{eng}abating,ə b e ɪ t ɪ ŋ,0,abating,0
{eng}abatises,æ b ə t ə s ə z,0,abatises,0
{eng}abattis,ə b æ t ɪ s,0,abattis,0
{eng}abature,æ b ə t j ʊ ɹ,0,abature,0
{eng}abatvoix,ɑ b ɑ v w ɑ,0,abatvoix,0
{eng}abaxial,æ b æ k s i ə l,0,abaxial,0
{eng}abay,ə b e ɪ,0,abay,0
{eng}abaya,ə b e ɪ j ə,0,abaya,0
{eng}abaza,ə b ɑ z ə,0,abaza,0
{eng}abbacy,æ b ə s i,0,abbacy,0
{eng}abbas,ə b ɑ s,0,abbas,0
{eng}abbasi,ə b ɑ s i,0,abbasi,0
{eng}abbe,æ b e ɪ,0,abbe,0
{eng}abbeys,æ b i z,0,abbeys,0
{eng}abbots,æ b ə t s,0,abbots,0
{eng}abbotship,æ b ə t͡ʃ ɪ p,0,abbotship,0
{eng}abbozzo,ə b ɔ t s o ʊ,0,abbozzo,0
{eng}abbreviated,ə b ɹ i v i e ɪ t ɪ d,0,abbreviated,0
{eng}abbreviation,ə b ɹ i v i e ɪ ʃ n̩,0,abbreviation,0
{eng}abbreviator,ə b ɹ i v i e ɪ t ə ɹ,0,abbreviator,0
{eng}abbreviatory,ə b ɹ i v i ə t ɔ ɹ i,0,abbreviatory,0
{eng}abbreviature,ə b ɹ i v i ə t͡ʃ ʊ ɹ,0,abbreviature,0
{eng}abby,æ b i,0,abby,0
{eng}abc,e ɪ b i s i,0,abc,0
{eng}abcde,æ b s ə d i,0,abcde,0
{eng}abchalazal,æ b k ə l e ɪ z ə l,0,abchalazal,0
{eng}abderite,æ b d ə ɹ a ɪ t,0,abderite,0
{eng}abdicant,æ b d ɪ k n̩ t,0,abdicant,0
{eng}abdication,æ b d ə k e ɪ ʃ ə n,0,abdication,0
{eng}abditive,æ b d ɪ t ɪ v,0,abditive,0
{eng}abdominalgia,æ b d ɑ m ɪ n æ l d͡ʒ i ə,0,abdominalgia,0
{eng}abdominalia,æ b d ɑ m ɪ n e ɪ l i ə,0,abdominalia,0
{eng}abdominally,æ b d ɑ m ɪ n ə l i,0,abdominally,0
{eng}abdominocardiac,æ b d ɑ m ɪ n o ʊ k ɑ ɹ d i æ k,0,abdominocardiac,0
{eng}abdominocentesis,æ b d ɑ m ɪ n o ʊ s ɜ n t i s ə s,0,abdominocentesis,0
{eng}abdominocystic,æ b d ɑ m ɪ n o ʊ s ɪ s t ɪ k,0,abdominocystic,0
{eng}abdominogenital,æ b d ɑ m ɪ n o ʊ d͡ʒ ɛ n ɪ t l̩,0,abdominogenital,0
