merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{fre}aa,a a,0,aa,0
{fre}abandon,a b ɑ̃ d ɔ̃,0,abandon,0
{fre}abandonner,a b ɑ̃ d ɔ n e,0,abandonner,0
{fre}abattement,a b a t m ɑ̃,0,abattement,0
{fre}abattre,a b a t ʁ,0,abattre,0
{fre}abc,a b e s e,0,abc,0
{fre}abdomen,a b d ɔ m ɛ n,0,abdomen,0
{fre}abdoul,a b d u l,0,abdoul,0
{fre}abdoulaye,a b d u l a i,0,abdoulaye,0
{fre}abel,a b ɛ l,0,abel,0
{fre}ablatif,a b l a t i f,0,ablatif,0
{fre}abnégation,a b n e ɡ a s j ɔ̃,0,abnégation,0
{fre}abolition,a b ɔ l i s j ɔ̃,0,abolition,0
{fre}abominable,a b ɔ m i n a b l,0,abominable,0
{fre}abominât,a b ɔ m i n ɑ,0,abominât,0
{fre}abominèrent,a b ɔ m i n ɛ ʁ,0,abominèrent,0
{fre}abondamment,a b ɔ̃ d a m ɑ̃,0,abondamment,0
{fre}abondance,a b ɔ̃ d ɑ̃ s,0,abondance,0
{fre}abondant,a b ɔ̃ d ɑ̃,0,abondant,0
{fre}abonnement,a b ɔ n m ɑ̃,0,abonnement,0
{fre}abonnirais,a b ɔ n i ʁ ɛ,0,abonnirais,0
{fre}abord,a b ɔ ʁ,0,abord,0
{fre}abordable,a b ɔ ʁ d a b l,0,abordable,0
{fre}aborder,a b ɔ ʁ d e,0,aborder,0
{fre}aborigène,a b ɔ ʁ i ʒ ɛ n,0,aborigène,0
{fre}abot,a b o,0,abot,0
{fre}abou,a b u,0,abou,0
{fre}aboutir,a b u t i ʁ,0,aboutir,0
{fre}aboutissant,a b u t i s ɑ̃,0,aboutissant,0
{fre}abri,a b ʁ i,0,abri,0
{fre}abris,a b ʁ i,0,abris,0
{fre}abriter,a b ʁ i t e,0,abriter,0
{fre}absent,a p s ɑ̃,0,absent,0
{fre}absents,a p s ɑ̃,0,absents,0
{fre}absolue,a p s ɔ l y,0,absolue,0
{fre}absolument,a p s ɔ l y m ɑ̃,0,absolument,0
{fre}absorber,a p s ɔ ʁ b e,0,absorber,0
{fre}abstention,a p s t ɑ̃ s j ɔ̃,0,abstention,0
{fre}absurde,a p s y ʁ d,0,absurde,0
{fre}abus,a b y,0,abus,0
{fre}abusent,a b y z,0,abusent,0
{fre}abusivement,a b y z i v m ɑ̃,0,abusivement,0
{fre}abîme,a b i m,0,abîme,0
{fre}académicienne,a k a d e m i s j ɛ n,0,académicienne,0
{fre}académie,a k a d e m i,0,académie,0
{fre}académique,a k a d e m i k,0,académique,0
{fre}accent,a k s ɑ̃,0,accent,0
{fre}acceptant,a k s ɛ p t ɑ̃,0,acceptant,0
{fre}accepter,a k s ɛ p t e,0,accepter,0
{fre}acception,a k s ɛ p s j ɔ̃,0,acception,0
{fre}accepté,a k s ɛ p t e,0,accepté,0
{fre}accessibles,a k s ɛ s i b l,0,accessibles,0
{fre}accidentellement,a k s i d ɑ̃ t ɛ l m ɑ̃,0,accidentellement,0
{fre}acclamative,a k l a m a t i v,0,acclamative,0
{fre}accolade,a k ɔ l a d,0,accolade,0
{fre}accommoder,a k ɔ m ɔ d e,0,accommoder,0
{fre}accompagnement,a k ɔ̃ p a ɲ m ɑ̃,0,accompagnement,0
{fre}accomplissement,a k ɔ̃ p l i s m ɑ̃,0,accomplissement,0
{fre}accord,a k ɔ ʁ,0,accord,0
{fre}accorder,a k ɔ ʁ d e,0,accorder,0
{fre}accordé,a k ɔ ʁ d e,0,accordé,0
{fre}accordée,a k ɔ ʁ d e,0,accordée,0
{fre}accordéoniste,a k ɔ ʁ d e ɔ n i s t,0,accordéoniste,0
{fre}accoutumer,a k u t y m e,0,accoutumer,0
{fre}accroc,a k ʁ o,0,accroc,0
{fre}accrocher,a k ʁ ɔ ʃ e,0,accrocher,0
{fre}accroissement,a k ʁ w a s m ɑ̃,0,accroissement,0
{fre}accroître,a k ʁ w a t ʁ,0,accroître,0
{fre}accrue,a k ʁ y,0,accrue,0
{fre}accréditer,a k ʁ e d i t e,0,accréditer,0
{fre}accueil,a k œ j,0,accueil,0
{fre}accueillir,a k œ j i ʁ,0,accueillir,0
{fre}accumulateur,a k y m y l a t œ ʁ,0,accumulateur,0
{fre}accumuler,a k y m y l e,0,accumuler,0
{fre}accusation,a k y z a s j ɔ̃,0,accusation,0
{fre}accuser,a k y z e,0,accuser,0
{fre}accusé,a k y z e,0,accusé,0
{fre}accès,a k s ɛ,0,accès,0
{fre}accéder,a k s e d e,0,accéder,0
{fre}accélère,a k s e l ɛ ʁ,0,accélère,0
{fre}accélérer,a k s e l e ʁ e,0,accélérer,0
{fre}acerbe,a s ɛ ʁ b,0,acerbe,0
{fre}acheter,a ʃ t e,0,acheter,0
{fre}acheteur,a ʃ t œ ʁ,0,acheteur,0
{fre}achever,a ʃ v e,0,achever,0
{fre}achevé,a ʃ v e,0,achevé,0
{fre}achille,a ʃ i l,0,achille,0
{fre}acide,a s i d,0,acide,0
{fre}acier,a s j e,0,acier,0
{fre}acineuse,a s i n ø z,0,acineuse,0
{fre}acné,a k n e,0,acné,0
{fre}acoustique,a k u s t i k,0,acoustique,0
