merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{hbs}abdest,ǎ b d e s t,0,abdest,0
{hbs}afera,a f ěː r a,0,afera,0
{hbs}afrički,ǎ f r i t͡ʃ k iː,0,afrički,0
{hbs}agencija,a ɡ ě n t͡s i j a,0,agencija,0
{hbs}agonija,a ɡ ǒ n i j a,0,agonija,0
{hbs}alarm,ǎ l a r m,0,alarm,0
{hbs}ali,â l i,0,ali,0
{hbs}ambrozija,ǎ m b r oː z i j a,0,ambrozija,0
{hbs}amer,â m e r,0,amer,0
{hbs}amfiteatralan,a m f i t ě a t r aː l a n,0,amfiteatralan,0
{hbs}amfora,ǎ m f o r a,0,amfora,0
{hbs}anarhija,a n ǎ r x i j a,0,anarhija,0
{hbs}anatom,a n ǎ t oː m,0,anatom,0
{hbs}andora,a n d ôː r a,0,andora,0
{hbs}animacija,a n i m ǎː t͡s i j a,0,animacija,0
{hbs}anonimno,â n o n iː m n o,0,anonimno,0
{hbs}antun,ǎ n t uː n,0,antun,0
{hbs}apetit,a p ě t iː t,0,apetit,0
{hbs}aplikacija,a p l i k ǎː t͡s i j a,0,aplikacija,0
{hbs}apsorbirati,a p s o r b ǐː r a t i,0,apsorbirati,0
{hbs}apstraktan,ǎ p s t r a k t a n,0,apstraktan,0
{hbs}arabija,ǎ r aː b i j a,0,arabija,0
{hbs}argentinac,a r ɡ e n t ǐː n a t͡s,0,argentinac,0
{hbs}arheološki,a r x e ǒ l o ʃ k iː,0,arheološki,0
{hbs}arhipelag,a r x i p ě l aː ɡ,0,arhipelag,0
{hbs}artiljerija,a r t i ʎ ě r i j a,0,artiljerija,0
{hbs}artičoka,a r t i t͡ʃ ǒː k a,0,artičoka,0
{hbs}as,â s,0,as,0
{hbs}astma,ǎ s t m a,0,astma,0
{hbs}astronomija,a s t r o n ǒ m i j a,0,astronomija,0
{hbs}atlanta,a t l ǎ n t a,0,atlanta,0
{hbs}atletičarka,a t l ě t i t͡ʃ aː r k a,0,atletičarka,0
{hbs}atom,ǎ t oː m,0,atom,0
{hbs}automat,a u t ǒ m aː t,0,automat,0
{hbs}azilant,a z ǐ l a n t,0,azilant,0
{hbs}bahrein,b ǎ x r e i n,0,bahrein,0
{hbs}bakterija,b ǎ k t eː r i j a,0,bakterija,0
{hbs}balerina,b a l e r ǐː n a,0,balerina,0
{hbs}balet,b ǎ l eː t,0,balet,0
{hbs}balkon,b ǎ l k oː n,0,balkon,0
{hbs}bankar,b ǎ n k aː r,0,bankar,0
{hbs}baršun,b ǎ r ʃ uː n,0,baršun,0
{hbs}bend,b ê n d,0,bend,0
{hbs}berba,b ě r b a,0,berba,0
{hbs}berza,b ê r z a,0,berza,0
{hbs}beskoristan,b ê s k o r iː s t a n,0,beskoristan,0
{hbs}besplatan,b ě s p l a t a n,0,besplatan,0
{hbs}bezgrešan,b ě z ɡ r e ʃ a n,0,bezgrešan,0
