merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{hbs}abdest,ǎ b d e s t,0,abdest,0
{hbs}abdikacija,a b d i k ǎː t͡s i j a,0,abdikacija,0
{hbs}abdomen,a b d ǒː m e n,0,abdomen,0
{hbs}abeceda,a b e t͡s ěː d a,0,abeceda,0
{hbs}abnormalnost,a b n o r m ǎː l n oː s t,0,abnormalnost,0
{hbs}adaptirati,a d a p t ǐː r a t i,0,adaptirati,0
{hbs}adekvatan,â d e k ʋ aː t a n,0,adekvatan,0
{hbs}adekvatno,â d e k ʋ aː t n o,0,adekvatno,0
{hbs}administracija,a d m i n i s t r ǎː t͡s i j a,0,administracija,0
{hbs}administrator,a d m i n ǐ s t r aː t o r,0,administrator,0
{hbs}admiral,a d m ǐ r aː l,0,admiral,0
{hbs}adrenalin,a d r e n ǎ l iː n,0,adrenalin,0
{hbs}adrenalinski,a d r e n ǎ l iː n s k iː,0,adrenalinski,0
{hbs}adresa,a d r ě s a,0,adresa,0
{hbs}adresirati,a d r e s ǐː r a t i,0,adresirati,0
{hbs}adut,ǎ d uː t,0,adut,0
{hbs}advokat,a d ʋ ǒ k aː t,0,advokat,0
{hbs}aerobik,a e r ǒ b i k,0,aerobik,0
{hbs}aerobika,a e r ǒ b i k a,0,aerobika,0
{hbs}aerodinamičan,a e r o d i n ǎ m i t͡ʃ a n,0,aerodinamičan,0
{hbs}aerodromski,a e r ǒ d r o m s k iː,0,aerodromski,0
{hbs}afera,a f ěː r a,0,afera,0
{hbs}afganistanski,a f ɡ a n ǐ s t aː n s k iː,0,afganistanski,0
{hbs}afirmiran,a f ǐ r m iː r aː n,0,afirmiran,0
{hbs}afrički,ǎ f r i t͡ʃ k iː,0,afrički,0
{hbs}agencija,a ɡ ě n t͡s i j a,0,agencija,0
{hbs}agent,ǎ ɡ e n t,0,agent,0
{hbs}agnostik,a ɡ n ǒ s t i k,0,agnostik,0
{hbs}agonija,a ɡ ǒ n i j a,0,agonija,0
{hbs}agresivan,â ɡ r e s iː ʋ a n,0,agresivan,0
{hbs}agresivno,â ɡ r e s iː ʋ n o,0,agresivno,0
{hbs}agresor,ǎ ɡ r e s o r,0,agresor,0
{hbs}ahiret,ǎː x i r e t,0,ahiret,0
{hbs}ajam,ǎː j a m,0,ajam,0
{hbs}ajde,ǎ j d e,0,ajde,0
{hbs}ajkula,â j k u l a,0,ajkula,0
{hbs}ajme,ǎ j m e,0,ajme,0
{hbs}ajmo,ǎ j m o,0,ajmo,0
{hbs}akademija,a k a d ě m i j a,0,akademija,0
{hbs}akademik,a k a d ě m i k,0,akademik,0
{hbs}akcenat,ǎ k t͡s e n a t,0,akcenat,0
{hbs}akcent,ǎ k t͡s e n t,0,akcent,0
{hbs}akcija,ǎ k t͡s i j a,0,akcija,0
{hbs}akord,ǎ k o r d,0,akord,0
{hbs}akt,â k t,0,akt,0
{hbs}akter,ǎ k t eː r,0,akter,0
{hbs}aktiva,a k t ǐː ʋ a,0,aktiva,0
{hbs}aktivan,â k t iː ʋ a n,0,aktivan,0
{hbs}aktivirati,a k t i ʋ ǐː r a t i,0,aktivirati,0
{hbs}aktivist,a k t ǐ ʋ i s t,0,aktivist,0
{hbs}aktivistkinja,a k t ǐ ʋ i s t k i ɲ a,0,aktivistkinja,0
{hbs}aktivizam,a k t i ʋ ǐ z a m,0,aktivizam,0
{hbs}aktivno,â k t iː ʋ n o,0,aktivno,0
{hbs}aktivnost,a k t ǐː ʋ n oː s t,0,aktivnost,0
{hbs}aktualan,â k t u aː l a n,0,aktualan,0
{hbs}aktualizirati,a k t u a l i z ǐː r a t i,0,aktualizirati,0
{hbs}aktuelan,â k t u eː l a n,0,aktuelan,0
{hbs}akumulacija,a k u m u l ǎː t͡s i j a,0,akumulacija,0
{hbs}akumulator,a k u m ǔ l aː t o r,0,akumulator,0
{hbs}akupunktura,a k u p u n k t ǔː r a,0,akupunktura,0
{hbs}akustički,a k ǔ s t i t͡ʃ k iː,0,akustički,0
{hbs}akvizicija,a k ʋ i z ǐː t͡s i j a,0,akvizicija,0
{hbs}alabama,a l a b ǎ m a,0,alabama,0
