merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{hun}abba,ɒ bː ɒ,0,abba,0
{hun}abban,ɒ bː ɒ n,0,abban,0
{hun}abból,ɒ bː oː l,0,abból,0
{hun}ablak,ɒ b l ɒ k,0,ablak,0
{hun}ablakai,ɒ b l ɒ k ɒ j i,0,ablakai,0
{hun}ablakból,ɒ b l ɒ ɡ b oː l,0,ablakból,0
{hun}ablakok,ɒ b l ɒ k o k,0,ablakok,0
{hun}ablakon,ɒ b l ɒ k o n,0,ablakon,0
{hun}ablakot,ɒ b l ɒ k o t,0,ablakot,0
{hun}absztrakt,ɒ p s t r ɒ k t,0,absztrakt,0
{hun}acéllemez,ɒ t͡s eː lː ɛ m ɛ z,0,acéllemez,0
{hun}ad,ɒ d,0,ad,0
{hun}adat,ɒ d ɒ t,0,adat,0
{hun}adatai,ɒ d ɒ t ɒ j i,0,adatai,0
{hun}adatainak,ɒ d ɒ t ɒ j i n ɒ k,0,adatainak,0
{hun}adatait,ɒ d ɒ t ɒ j i t,0,adatait,0
{hun}adathoz,ɒ d ɒ t h o z,0,adathoz,0
{hun}adatok,ɒ d ɒ t o k,0,adatok,0
{hun}adatokat,ɒ d ɒ t o k ɒ t,0,adatokat,0
{hun}adatokból,ɒ d ɒ t o ɡ b oː l,0,adatokból,0
{hun}adatokkal,ɒ d ɒ t o kː ɒ l,0,adatokkal,0
{hun}adatokra,ɒ d ɒ t o k r ɒ,0,adatokra,0
{hun}adatokról,ɒ d ɒ t o k r oː l,0,adatokról,0
{hun}adatot,ɒ d ɒ t o t,0,adatot,0
{hun}adattal,ɒ d ɒ tː ɒ l,0,adattal,0
{hun}addig,ɒ dː i ɡ,0,addig,0
{hun}adhat,ɒ t h ɒ t,0,adhat,0
{hun}adjanak,ɒ ɟː ɒ n ɒ k,0,adjanak,0
{hun}adják,ɒ ɟː aː k,0,adják,0
{hun}adminisztratív,ɒ d m i n i s t r ɒ t iː v,0,adminisztratív,0
{hun}adnak,ɒ d n ɒ k,0,adnak,0
{hun}adni,ɒ d n i,0,adni,0
{hun}adományokat,ɒ d o m aː ɲ o k ɒ t,0,adományokat,0
{hun}adott,ɒ d o tː,0,adott,0
{hun}adottak,ɒ d o tː ɒ k,0,adottak,0
{hun}adta,ɒ tː ɒ,0,adta,0
{hun}adtak,ɒ tː ɒ k,0,adtak,0
{hun}adtunk,ɒ tː u ŋ k,0,adtunk,0
{hun}adtál,ɒ tː aː l,0,adtál,0
{hun}adunk,ɒ d u ŋ k,0,adunk,0
{hun}adva,ɒ d v ɒ,0,adva,0
{hun}adás,ɒ d aː ʃ,0,adás,0
{hun}adások,ɒ d aː ʃ o k,0,adások,0
{hun}adóhatóság,ɒ d oː ɦ ɒ t oː ʃ aː ɡ,0,adóhatóság,0
{hun}adósok,ɒ d oː ʃ o k,0,adósok,0
{hun}adósság,ɒ d oː ʃː aː ɡ,0,adósság,0
{hun}adózik,ɒ d oː z i k,0,adózik,0
{hun}adózás,ɒ d oː z aː ʃ,0,adózás,0
{hun}aeroszol,ɒ ɛ r o s o l,0,aeroszol,0
{hun}afféle,ɒ fː eː l ɛ,0,afféle,0
{hun}agancsokban,ɒ ɡ ɒ n t͡ʃ o ɡ b ɒ n,0,agancsokban,0
{hun}aggódó,ɒ ɡː oː d oː,0,aggódó,0
{hun}agresszív,ɒ ɡ r ɛ sː iː v,0,agresszív,0
{hun}agyag,ɒ ɟ ɒ ɡ,0,agyag,0
{hun}ahelyett,ɒ ɦ ɛ j ɛ tː,0,ahelyett,0
{hun}ahhoz,ɒ ɦ o z,0,ahhoz,0
{hun}ahogy,ɒ ɦ o ɟ,0,ahogy,0
{hun}ahogyan,ɒ ɦ o ɟ ɒ n,0,ahogyan,0
{hun}ajak,ɒ j ɒ k,0,ajak,0
{hun}ajka,ɒ j k ɒ,0,ajka,0
{hun}ajándék,ɒ j aː n d eː k,0,ajándék,0
{hun}ajándéka,ɒ j aː n d eː k ɒ,0,ajándéka,0
{hun}ajándékba,ɒ j aː n d eː ɡ b ɒ,0,ajándékba,0
{hun}ajándékkal,ɒ j aː n d eː kː ɒ l,0,ajándékkal,0
{hun}ajándékokat,ɒ j aː n d eː k o k ɒ t,0,ajándékokat,0
{hun}ajándékot,ɒ j aː n d eː k o t,0,ajándékot,0
{hun}ajánlani,ɒ j aː n l ɒ n i,0,ajánlani,0
{hun}ajánlati,ɒ j aː n l ɒ t i,0,ajánlati,0
{hun}ajánlatkérő,ɒ j aː n l ɒ t k eː r øː,0,ajánlatkérő,0
{hun}ajánlattevő,ɒ j aː n l ɒ tː ɛ v øː,0,ajánlattevő,0
{hun}ajánlható,ɒ j aː n l ɦ ɒ t oː,0,ajánlható,0
{hun}ajánlom,ɒ j aː n l o m,0,ajánlom,0
{hun}akad,ɒ k ɒ d,0,akad,0
{hun}akadály,ɒ k ɒ d aː j,0,akadály,0
{hun}akadálya,ɒ k ɒ d aː j ɒ,0,akadálya,0
{hun}akadályokat,ɒ k ɒ d aː j o k ɒ t,0,akadályokat,0
{hun}akadályozta,ɒ k ɒ d aː j o s t ɒ,0,akadályozta,0
{hun}akadályt,ɒ k ɒ d aː j t,0,akadályt,0
{hun}akadémia,ɒ k ɒ d eː m i j ɒ,0,akadémia,0
{hun}akadémikus,ɒ k ɒ d eː m i k u ʃ,0,akadémikus,0
{hun}akar,ɒ k ɒ r,0,akar,0
{hun}akarattal,ɒ k ɒ r ɒ tː ɒ l,0,akarattal,0
{hun}akard,ɒ k ɒ r d,0,akard,0
{hun}akarja,ɒ k ɒ r j ɒ,0,akarja,0
{hun}akarnak,ɒ k ɒ r n ɒ k,0,akarnak,0
{hun}akarnám,ɒ k ɒ r n aː m,0,akarnám,0
{hun}akarom,ɒ k ɒ r o m,0,akarom,0
{hun}akarsz,ɒ k ɒ r s,0,akarsz,0
{hun}akart,ɒ k ɒ r t,0,akart,0
{hun}akarta,ɒ k ɒ r t ɒ,0,akarta,0
{hun}akartak,ɒ k ɒ r t ɒ k,0,akartak,0
{hun}akarták,ɒ k ɒ r t aː k,0,akarták,0
{hun}akarunk,ɒ k ɒ r u ŋ k,0,akarunk,0
{hun}akció,ɒ k t͡s i j oː,0,akció,0
{hun}akciók,ɒ k t͡s i j oː k,0,akciók,0
{hun}akciós,ɒ k t͡s i j oː ʃ,0,akciós,0
{hun}akiben,ɒ k i b ɛ n,0,akiben,0
{hun}akihez,ɒ k i ɦ ɛ z,0,akihez,0
{hun}akik,ɒ k i k,0,akik,0
{hun}akiket,ɒ k i k ɛ t,0,akiket,0
{hun}akikkel,ɒ k i kː ɛ l,0,akikkel,0
{hun}akiknek,ɒ k i k n ɛ k,0,akiknek,0
{hun}akiknél,ɒ k i k n eː l,0,akiknél,0
{hun}akikre,ɒ k i k r ɛ,0,akikre,0
{hun}akikről,ɒ k i k r øː l,0,akikről,0
{hun}akinek,ɒ k i n ɛ k,0,akinek,0
{hun}akiről,ɒ k i r øː l,0,akiről,0
{hun}akitől,ɒ k i t øː l,0,akitől,0
{hun}akivel,ɒ k i v ɛ l,0,akivel,0
{hun}akkordokat,ɒ kː o r d o k ɒ t,0,akkordokat,0
{hun}akkori,ɒ kː o r i,0,akkori,0
{hun}aktuális,ɒ k t u aː l i ʃ,0,aktuális,0
{hun}akár,ɒ k aː r,0,akár,0
{hun}akárcsak,ɒ k aː r t͡ʃ ɒ k,0,akárcsak,0
{hun}akármilyen,ɒ k aː r m i j ɛ n,0,akármilyen,0
{hun}alacsonyabb,ɒ l ɒ t͡ʃ o ɲ ɒ bː,0,alacsonyabb,0
{hun}alak,ɒ l ɒ k,0,alak,0
{hun}alakja,ɒ l ɒ k j ɒ,0,alakja,0
{hun}alakját,ɒ l ɒ k j aː t,0,alakját,0
{hun}alakra,ɒ l ɒ k r ɒ,0,alakra,0
{hun}alakul,ɒ l ɒ k u l,0,alakul,0
{hun}alakult,ɒ l ɒ k u l t,0,alakult,0
{hun}alakulása,ɒ l ɒ k u l aː ʃ ɒ,0,alakulása,0
{hun}alakulását,ɒ l ɒ k u l aː ʃ aː t,0,alakulását,0
{hun}alakítható,ɒ l ɒ k iː t h ɒ t oː,0,alakítható,0
{hun}alakú,ɒ l ɒ k uː,0,alakú,0
{hun}alany,ɒ l ɒ ɲ,0,alany,0
{hun}alanya,ɒ l ɒ ɲ ɒ,0,alanya,0
{hun}alap,ɒ l ɒ p,0,alap,0
{hun}alapfokú,ɒ l ɒ p f o k uː,0,alapfokú,0
{hun}alapjául,ɒ l ɒ p j aː u l,0,alapjául,0
{hun}alapkamat,ɒ l ɒ p k ɒ m ɒ t,0,alapkamat,0
{hun}alaplap,ɒ l ɒ p l ɒ p,0,alaplap,0
{hun}alapok,ɒ l ɒ p o k,0,alapok,0
{hun}alapon,ɒ l ɒ p o n,0,alapon,0
{hun}alapos,ɒ l ɒ p o ʃ,0,alapos,0
{hun}alaposabban,ɒ l ɒ p o ʃ ɒ bː ɒ n,0,alaposabban,0
{hun}alapozva,ɒ l ɒ p o z v ɒ,0,alapozva,0
{hun}alapterület,ɒ l ɒ p t ɛ r y l ɛ t,0,alapterület,0
{hun}alapul,ɒ l ɒ p u l,0,alapul,0
{hun}alapvető,ɒ l ɒ p v ɛ t øː,0,alapvető,0
