merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{jpn}あいかわらず,a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ,0,あいかわらず,0
{jpn}あいがん,a̠ i ɡ ã̠ ɴ,0,あいがん,0
{jpn}あいくち,a̠ i k ɯ̟ᵝ t͡ɕ i,0,あいくち,0
{jpn}あいけん,a̠ i k ẽ̞ ɴ,0,あいけん,0
{jpn}あいこくしゅぎ,a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i,0,あいこくしゅぎ,0
{jpn}あいご,a̠ i ɡ o̞,0,あいご,0
{jpn}あいさつ,a̠ i s a̠ t͡s ɨᵝ,0,あいさつ,0
{jpn}あいしゅう,a̠ i ɕ ɨᵝː,0,あいしゅう,0
{jpn}あいしょうか,a̠ i ɕ o̞ː k a̠,0,あいしょうか,0
{jpn}あいしんかくら,a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠,0,あいしんかくら,0
{jpn}あいじょう,a̠ i ʑ o̞ː,0,あいじょう,0
{jpn}あいぞう,a̠ i z o̞ː,0,あいぞう,0
{jpn}あいぞうばん,a̠ i z o̞ː b ã̠ ɴ,0,あいぞうばん,0
{jpn}あいだがら,a̠ i d a̠ ɡ a̠ ɾ a̠,0,あいだがら,0
{jpn}あいつぐ,a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ,0,あいつぐ,0
{jpn}あいつら,a̠ i t͡s ɨᵝ ɾ a̠,0,あいつら,0
{jpn}あいな,a̠ i n a̠,0,あいな,0
{jpn}あいにく,a̠ i ɲ̟ i k ɯ̟ᵝ,0,あいにく,0
{jpn}あいふく,a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ,0,あいふく,0
{jpn}あいぶ,a̠ i b ɯ̟ᵝ,0,あいぶ,0
{jpn}あいぼ,a̠ i b o̞,0,あいぼ,0
{jpn}あいまい,a̠ i m a̠ i,0,あいまい,0
{jpn}あいよ,a̠ i j o̞,0,あいよ,0
{jpn}あう,a̠ ɯ̟ᵝ,0,あう,0
{jpn}あえぐ,a̠ e̞ ɡ ɯ̟ᵝ,0,あえぐ,0
{jpn}あえる,a̠ e̞ ɾ ɯ̟ᵝ,0,あえる,0
{jpn}あえん,a̠ ẽ̞ ɴ,0,あえん,0
{jpn}あお,a̠ o̞,0,あお,0
{jpn}あおい,a̠ o̞ i,0,あおい,0
{jpn}あおうなばら,a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠,0,あおうなばら,0
{jpn}あおき,a̠ o̞ kʲ i,0,あおき,0
{jpn}あおぎり,a̠ o̞ ɡʲ i ɾʲ i,0,あおぎり,0
{jpn}あおぐ,a̠ o̞ ɡ ɯ̟ᵝ,0,あおぐ,0
{jpn}あおげいとう,a̠ o̞ ɡ e̞ː t o̞ː,0,あおげいとう,0
{jpn}あおさ,a̠ o̞ s a̠,0,あおさ,0
{jpn}あおば,a̠ o̞ b a̠,0,あおば,0
{jpn}あおもの,a̠ o̞ m o̞ n o̞,0,あおもの,0
{jpn}あおもり,a̠ o̞ m o̞ ɾʲ i,0,あおもり,0
{jpn}あおもりけん,a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ,0,あおもりけん,0
{jpn}あおる,a̠ o̞ ɾ ɯ̟ᵝ,0,あおる,0
{jpn}あか,a̠ k a̠,0,あか,0
{jpn}あかい,a̠ k a̠ i,0,あかい,0
{jpn}あかがみ,a̠ k a̠ ɡ a̠ mʲ i,0,あかがみ,0
{jpn}あかぐろい,a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i,0,あかぐろい,0
{jpn}あかげざる,a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ,0,あかげざる,0
{jpn}あかし,a̠ k a̠ ɕ i,0,あかし,0
{jpn}あかじ,a̠ k a̠ ʑ i,0,あかじ,0
{jpn}あかちょうちん,a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ,0,あかちょうちん,0
{jpn}あかつき,a̠ k a̠ t͡s ɨ̥ᵝ kʲ i,0,あかつき,0
{jpn}あかつめくさ,a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠,0,あかつめくさ,0
{jpn}あかてん,a̠ k a̠ t ẽ̞ ɴ,0,あかてん,0
{jpn}あかなす,a̠ k a̠ n a̠ s ɨᵝ,0,あかなす,0
{jpn}あかね,a̠ k a̠ n e̞,0,あかね,0
{jpn}あかはた,a̠ k a̠ h a̠ t a̠,0,あかはた,0
{jpn}あかはな,a̠ k a̠ h a̠ n a̠,0,あかはな,0
{jpn}あかべこ,a̠ k a̠ b e̞ k o̞,0,あかべこ,0
{jpn}あかむつ,a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ,0,あかむつ,0
{jpn}あかり,a̠ k a̠ ɾʲ i,0,あかり,0
{jpn}あかるむ,a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ,0,あかるむ,0
{jpn}あかんべえ,a̠ k ã̠ m b e̞ː,0,あかんべえ,0
{jpn}あがき,a̠ ɡ a̠ kʲ i,0,あがき,0
{jpn}あがく,a̠ ɡ a̠ k ɯ̟ᵝ,0,あがく,0
{jpn}あがめる,a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ,0,あがめる,0
{jpn}あがる,a̠ ɡ a̠ ɾ ɯ̟ᵝ,0,あがる,0
{jpn}あき,a̠ kʲ i,0,あき,0
{jpn}あきかぜ,a̠ kʲ i k a̠ z e̞,0,あきかぜ,0
{jpn}あきぞら,a̠ kʲ i z o̞ ɾ a̠,0,あきぞら,0
{jpn}あきびん,a̠ kʲ i bʲ ĩ ɴ,0,あきびん,0
{jpn}あきや,a̠ kʲ i j a̠,0,あきや,0
{jpn}あく,a̠ k ɯ̟ᵝ,0,あく,0
{jpn}あくいあくしょく,a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ,0,あくいあくしょく,0
{jpn}あくいんあっか,a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠,0,あくいんあっか,0
{jpn}あくぎゃくひどう,a̠ k ɯ̟ᵝ ɡʲ a̠ k ɯ̟ᵝ ç i d o̞ː,0,あくぎゃくひどう,0
{jpn}あくしゅかい,a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i,0,あくしゅかい,0
{jpn}あくしゅけん,a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ,0,あくしゅけん,0
{jpn}あくしゅみ,a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i,0,あくしゅみ,0
{jpn}あくせく,a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ,0,あくせく,0
{jpn}あくとう,a̠ k ɯ̟ᵝ t o̞ː,0,あくとう,0
{jpn}あくとく,a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ,0,あくとく,0
{jpn}あくにち,a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i,0,あくにち,0
{jpn}あくば,a̠ k ɯ̟ᵝ b a̠,0,あくば,0
{jpn}あくび,a̠ k ɯ̟ᵝ bʲ i,0,あくび,0
{jpn}あくむ,a̠ k ɯ̟ᵝ m ɯ̟ᵝ,0,あくむ,0
{jpn}あぐり,a̠ ɡ ɯ̟ᵝ ɾʲ i,0,あぐり,0
{jpn}あけ,a̠ k e̞,0,あけ,0
{jpn}あけがた,a̠ k e̞ ɡ a̠ t a̠,0,あけがた,0
{jpn}あけくれる,a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ,0,あけくれる,0
{jpn}あけち,m e̞ː t͡ɕ i,0,あけち,0
{jpn}あけっぱなし,a̠ k e̞ p̚ p a̠ n a̠ ɕ i,0,あけっぱなし,0
{jpn}あけはなす,a̠ k e̞ h a̠ n a̠ s ɨᵝ,0,あけはなす,0
{jpn}あけび,a̠ k e̞ bʲ i,0,あけび,0
{jpn}あけぼの,a̠ k e̞ b o̞ n o̞,0,あけぼの,0
{jpn}あける,a̠ k e̞ ɾ ɯ̟ᵝ,0,あける,0
{jpn}あげあげ,a̠ ɡ e̞ a̠ ɡ e̞,0,あげあげ,0
{jpn}あげは,a̠ ɡ e̞ h a̠,0,あげは,0
{jpn}あげはちょう,a̠ ɡ e̞ h a̠ t͡ɕ o̞ː,0,あげはちょう,0
{jpn}あこがれ,a̠ k o̞ ɡ a̠ ɾ e̞,0,あこがれ,0
{jpn}あこがれる,a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ,0,あこがれる,0
{jpn}あご,a̠ ɡ o̞,0,あご,0
{jpn}あごひげ,a̠ ɡ o̞ ç i ɡ e̞,0,あごひげ,0
{jpn}あさ,a̠ s a̠,0,あさ,0
{jpn}あさいろ,a̠ s a̠ i ɾ o̞,0,あさいろ,0
{jpn}あさおき,a̠ s a̠ o̞ kʲ i,0,あさおき,0
{jpn}あさくら,a̠ s a̠ k ɯ̟ᵝ ɾ a̠,0,あさくら,0
{jpn}あさって,a̠ s a̠ t̚ t e̞,0,あさって,0
{jpn}あさね,a̠ s a̠ n e̞,0,あさね,0
{jpn}あさのかい,a̠ s a̠ n o̞ k a̠ i,0,あさのかい,0
{jpn}あさひ,a̠ s a̠ ç i̥,0,あさひ,0
{jpn}あさひる,a̠ s a̠ ç i ɾ ɯ̟ᵝ,0,あさひる,0
{jpn}あざ,a̠ z a̠,0,あざ,0
{jpn}あざとい,a̠ z a̠ t o̞ i,0,あざとい,0
{jpn}あざみ,a̠ z a̠ mʲ i,0,あざみ,0
{jpn}あざむく,a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ,0,あざむく,0
{jpn}あざやか,a̠ z a̠ j a̠ k a̠,0,あざやか,0
{jpn}あざらし,a̠ z a̠ ɾ a̠ ɕ i,0,あざらし,0
{jpn}あざわらう,a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ,0,あざわらう,0
{jpn}あしたれぼし,a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i,0,あしたれぼし,0
{jpn}あしばや,a̠ ɕ i b a̠ j a̠,0,あしばや,0
{jpn}あしもと,a̠ ɕ i m o̞ t o̞,0,あしもと,0
{jpn}あしゅら,a̠ ɕ ɨᵝ ɾ a̠,0,あしゅら,0
{jpn}あしゆ,a̠ ɕ i j ɯ̟ᵝ,0,あしゆ,0
{jpn}あじ,a̠ ʑ i,0,あじ,0
{jpn}あじさい,a̠ ʑ i s a̠ i,0,あじさい,0
{jpn}あじむ,a̠ ʑ i m ɯ̟ᵝ,0,あじむ,0
{jpn}あじわい,a̠ ʑ i ɰᵝ a̠ i,0,あじわい,0
{jpn}あすなろ,a̠ s ɨᵝ n a̠ ɾ o̞,0,あすなろ,0
{jpn}あずき,a̠ z ɨᵝ kʲ i,0,あずき,0
{jpn}あずさ,a̠ z ɨᵝ s a̠,0,あずさ,0
{jpn}あずまくだり,a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i,0,あずまくだり,0
{jpn}あずまごと,a̠ z ɨᵝ m a̠ ɡ o̞ t o̞,0,あずまごと,0
{jpn}あずまや,a̠ z ɨᵝ m a̠ j a̠,0,あずまや,0
{jpn}あせ,a̠ s e̞,0,あせ,0
{jpn}あそびば,a̠ s o̞ bʲ i b a̠,0,あそびば,0
{jpn}あそん,a̠ s õ̞ ɴ,0,あそん,0
{jpn}あたえる,a̠ t a̠ e̞ ɾ ɯ̟ᵝ,0,あたえる,0
{jpn}あたくし,a̠ t a̠ k ɯ̟̊ᵝ ɕ i,0,あたくし,0
{jpn}あたご,a̠ t a̠ ɡ o̞,0,あたご,0
{jpn}あたし,a̠ t a̠ ɕ i,0,あたし,0
{jpn}あたたかい,a̠ t a̠ t a̠ k a̠ i,0,あたたかい,0
{jpn}あたためる,a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ,0,あたためる,0
