merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{kor}ᆯㅈㅣ,ʎ t͡ɕ͈ i,0,ᆯㅈㅣ,0
{kor}ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,k a̠ː n ɯ ŋ ɦ a̠ d a̠,0,ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,0
{kor}ㄱㅏㄷㅜㄹㅣ,k a̠ː d u ɾ i,0,ㄱㅏㄷㅜㄹㅣ,0
{kor}ㄱㅏㄷㅡ,k a̠ d ɯ,0,ㄱㅏㄷㅡ,0
{kor}ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,k a̠ d ɯ kʰ a̠ d a̠,0,ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,0
{kor}ㄱㅏㅅㅏ,k a̠ sʰ a̠,0,ㄱㅏㅅㅏ,0
{kor}ㄱㅏㅅㅣㅎㅘ,k a̠ ɕʰ i β w a̠,0,ㄱㅏㅅㅣㅎㅘ,0
{kor}ㄱㅏㅈㅣ,k a̠ d͡ʑ i,0,ㄱㅏㅈㅣ,0
{kor}ㄱㅏㅈㅣㄱㅗ,k a̠ d͡ʑ i ɡ o̞,0,ㄱㅏㅈㅣㄱㅗ,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱ,k a̠ tʰ o̞ ʎ ʎ i k̚,0,ㄱㅏㅌㅗㄹㄹㅣㄱ,0
{kor}ㄱㅏㅌㅗㄹㄹㅣㄱㄱㅛㅎㅚ,k a̠ tʰ o̞ ʎ ʎ i k̚ k͈ j o β w e̞,0,ㄱㅏㅌㅗㄹㄹㅣㄱㄱㅛㅎㅚ,0
{kor}ㄱㅏㄱㅈㅏ,k a̠ k̚ t͡ɕ͈ a̠,0,ㄱㅏㄱㅈㅏ,0
{kor}ㄱㅏㄴㄱㅏㄴㅇㅣ,k a̠ n ɡ a̠ n i,0,ㄱㅏㄴㄱㅏㄴㅇㅣ,0
{kor}ㄱㅏㄴㅅㅏ,k a̠ n sʰ a̠,0,ㄱㅏㄴㅅㅏ,0
{kor}ㄱㅏㄴㅇㅠ,k a̠ː ɲ j u,0,ㄱㅏㄴㅇㅠ,0
{kor}ㄱㅏㄴㅊㅓㅂ,k a̠ː ɲ t͡ɕʰ ʌ̹ p̚,0,ㄱㅏㄴㅊㅓㅂ,0
{kor}ㄱㅏㄹㄷㅡㅇ,k a̠ ɭ t͈ ɯ ŋ,0,ㄱㅏㄹㄷㅡㅇ,0
{kor}ㄱㅏㄹㅁㅏㅇㅎㅏㄷㅏ,k a̠ ɭ m a̠ ŋ ɦ a̠ d a̠,0,ㄱㅏㄹㅁㅏㅇㅎㅏㄷㅏ,0
{kor}ㄱㅏㄹㅂㅣㅃㅕ,k a̠ ɭ b i p͈ j ʌ̹,0,ㄱㅏㄹㅂㅣㅃㅕ,0
{kor}ㄱㅏㅁㄱㅏㄱㅈㅓㄱ,k a̠ m ɡ a̠ k̚ t͡ɕ͈ ʌ̹ k̚,0,ㄱㅏㅁㄱㅏㄱㅈㅓㄱ,0
{kor}ㄱㅏㅁㄷㅏㅇㅎㅏㄷㅏ,k a̠ m d a̠ ŋ ɦ a̠ d a̠,0,ㄱㅏㅁㄷㅏㅇㅎㅏㄷㅏ,0
{kor}ㄱㅏㅁㅁㅕㅇ,k a̠ m m j ʌ̹ ŋ,0,ㄱㅏㅁㅁㅕㅇ,0
{kor}ㄱㅏㅁㅅㅜㅎㅏㄷㅏ,k a̠ː m sʰ u ɦ a̠ d a̠,0,ㄱㅏㅁㅅㅜㅎㅏㄷㅏ,0
{kor}ㄱㅏㅁㅈㅏㅌㅟㄱㅣㅁ,k a̠ m d͡ʑ a̠ tʰ ɥ i ɡ i m,0,ㄱㅏㅁㅈㅏㅌㅟㄱㅣㅁ,0
{kor}ㄱㅏㅁㅈㅓㄴ,k a̠ː m d͡ʑ ʌ̹ n,0,ㄱㅏㅁㅈㅓㄴ,0
{kor}ㄱㅏㅇㄹㅕㄱㅎㅏㄷㅏ,k a̠ ŋ ɲ j ʌ̹ kʰ a̠ d a̠,0,ㄱㅏㅇㄹㅕㄱㅎㅏㄷㅏ,0
{kor}ㄱㅏㅇㄹㅣㅁ,k a̠ː ŋ n i m,0,ㄱㅏㅇㄹㅣㅁ,0
{kor}ㄱㅏㅇㅂㅕㄴ,k a̠ ŋ b j ʌ̹ n,0,ㄱㅏㅇㅂㅕㄴ,0
{kor}ㄱㅏㅇㅇㅛ,k a̠ː ŋ j o,0,ㄱㅏㅇㅇㅛ,0
{kor}ㄱㅏㅇㅇㅝㄴㄷㅗ,k a̠ ŋ w ʌ̹ n d o̞,0,ㄱㅏㅇㅇㅝㄴㄷㅗ,0
{kor}ㄱㅏㅇㅊㅓㄹ,k a̠ ŋ t͡ɕʰ ʌ̹ ɭ,0,ㄱㅏㅇㅊㅓㄹ,0
{kor}ㄱㅏㅈㄷㅏ,k a̠ t̚ t͈ a̠,0,ㄱㅏㅈㄷㅏ,0
{kor}ㄱㅏㅌㅇㅣ,k a̠ t͡ɕʰ i,0,ㄱㅏㅌㅇㅣ,0
{kor}ㄱㅐㅇㅣㄴㅈㅓㄱ,k ɛː i ɲ d͡ʑ ʌ̹ k̚,0,ㄱㅐㅇㅣㄴㅈㅓㄱ,0
{kor}ㄱㅓㅁㅣ,k ʌ̹ m i,0,ㄱㅓㅁㅣ,0
{kor}ㄱㅓㅅㅡㄹㄹㅣㄷㅏ,k ʌ̹ sʰ ɯ ʎ ʎ i d a̠,0,ㄱㅓㅅㅡㄹㄹㅣㄷㅏ,0
{kor}ㄱㅓㅈㅓㄹ,k ɘː d͡ʑ ʌ̹ ɭ,0,ㄱㅓㅈㅓㄹ,0
{kor}ㄱㅓㅈㅣㅅ,k ɘː d͡ʑ i t̚,0,ㄱㅓㅈㅣㅅ,0
{kor}ㄱㅓㅈㅣㅅㅁㅏㄹ,k ɘː d͡ʑ i n m a̠ ɭ,0,ㄱㅓㅈㅣㅅㅁㅏㄹ,0
{kor}ㄱㅓㅍㅜㅁ,k ʌ̹ pʰ u m,0,ㄱㅓㅍㅜㅁ,0
{kor}ㄱㅓㄴㄴㅓㄴㅍㅕㄴ,k ɘː n n ʌ̹ n pʰ j ʌ̹ n,0,ㄱㅓㄴㄴㅓㄴㅍㅕㄴ,0
{kor}ㄱㅓㄴㅊㅜㄱㄱㅏ,k ɘː ɲ t͡ɕʰ u k̚ k͈ a̠,0,ㄱㅓㄴㅊㅜㄱㄱㅏ,0
{kor}ㄱㅓㅁㅅㅜㄹ,k ɘː m sʰ u ɭ,0,ㄱㅓㅁㅅㅜㄹ,0
{kor}ㄱㅓㅁㅇㅡㄴㅁㅓㄹㅣㅎㅢㄴㅈㅜㄱㅈㅣ,k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i ɲ d͡ʑ u k̚ t͡ɕ͈ i,0,ㄱㅓㅁㅇㅡㄴㅁㅓㄹㅣㅎㅢㄴㅈㅜㄱㅈㅣ,0
{kor}ㄱㅓㅁㅌㅗ,k ɘː m tʰ o̞,0,ㄱㅓㅁㅌㅗ,0
{kor}ㄱㅔㅅㅡㅌㅡㅎㅏㅇㅜㅅㅡ,k e̞ sʰ ɯ tʰ ɯ ɦ a̠ u sʰ ɯ,0,ㄱㅔㅅㅡㅌㅡㅎㅏㅇㅜㅅㅡ,0
{kor}ㄱㅔㅇㅣㅌㅡ,k e̞ i tʰ ɯ,0,ㄱㅔㅇㅣㅌㅡ,0
{kor}ㄱㅕㄹㅈㅓㅇㄷㅚㄷㅏ,k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠,0,ㄱㅕㄹㅈㅓㅇㄷㅚㄷㅏ,0
{kor}ㄱㅕㅂㄷㅏ,k j ɘː p̚ t͈ a̠,0,ㄱㅕㅂㄷㅏ,0
{kor}ㄱㅕㅇㅂㅣㅇㅝㄴ,k j ɘː ŋ b i w ʌ̹ n,0,ㄱㅕㅇㅂㅣㅇㅝㄴ,0
{kor}ㄱㅕㅇㅅㅣ,k j ʌ̹ ŋ ɕʰ i,0,ㄱㅕㅇㅅㅣ,0
{kor}ㄱㅕㅇㅎㅓㅁㅎㅏㄷㅏ,k j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠,0,ㄱㅕㅇㅎㅓㅁㅎㅏㄷㅏ,0
{kor}ㄱㅖㄱㅏㄴ,k j e̞ ɡ a̠ n,0,ㄱㅖㄱㅏㄴ,0
{kor}ㄱㅖㄹㅑㅇㄱㅕㅇㅈㅔㅎㅏㄱ,k j e̞ː ɾ j a̠ ŋ ɡ j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚,0,ㄱㅖㄹㅑㅇㄱㅕㅇㅈㅔㅎㅏㄱ,0
{kor}ㄱㅖㅅㅏㄴ,k j e̞ː sʰ a̠ n,0,ㄱㅖㅅㅏㄴ,0
{kor}ㄱㅖㅅㅗㄱ,k j e̞ː sʰ o̞ k̚,0,ㄱㅖㅅㅗㄱ,0
{kor}ㄱㅖㅈㅓㅇ,k j e̞ː d͡ʑ ʌ̹ ŋ,0,ㄱㅖㅈㅓㅇ,0
{kor}ㄱㅖㅊㅡㅇ,k j e̞ t͡ɕʰ ɯ ŋ,0,ㄱㅖㅊㅡㅇ,0
{kor}ㄱㅗㄴㅣ,k o̞ n i,0,ㄱㅗㄴㅣ,0
{kor}ㄱㅗㄹㅕㅁㅏㄹ,k o̞ ɾ j ʌ̹ m a̠ ɭ,0,ㄱㅗㄹㅕㅁㅏㄹ,0
{kor}ㄱㅗㅇㅏ,k o̞ a̠,0,ㄱㅗㅇㅏ,0
{kor}ㄱㅗㅇㅡㄹ,k o̞ ɯ ɭ,0,ㄱㅗㅇㅡㄹ,0
{kor}ㄱㅗㅈㅓㅇ,k o̞ d͡ʑ ʌ̹ ŋ,0,ㄱㅗㅈㅓㅇ,0
{kor}ㄱㅗㅎㅕㄹㅇㅏㅂ,k o̞ ʝ j ʌ̹ ɾ a̠ p̚,0,ㄱㅗㅎㅕㄹㅇㅏㅂ,0
{kor}ㄱㅗㄷㅇㅡㄴㅊㅏㅇㅈㅏ,k o̞ d ɯ ɲ t͡ɕʰ a̠ ŋ d͡ʑ a̠,0,ㄱㅗㄷㅇㅡㄴㅊㅏㅇㅈㅏ,0
{kor}ㄱㅗㄹㅅㅜ,k o̞ ɭ s͈ u,0,ㄱㅗㄹㅅㅜ,0
{kor}ㄱㅗㅁㅂㅣㅇㅣㅁㅂㅣ,k o̞ m b i i m b i,0,ㄱㅗㅁㅂㅣㅇㅣㅁㅂㅣ,0
{kor}ㄱㅗㅇㄱㅕㅇ,k o̞ ŋ ɡ j ʌ̹ ŋ,0,ㄱㅗㅇㄱㅕㅇ,0
{kor}ㄱㅗㅇㅂㅏㅇ,k o̞ ŋ b a̠ ŋ,0,ㄱㅗㅇㅂㅏㅇ,0
{kor}ㄱㅗㅇㅅㅏㄴㄷㅏㅇ,k o̞ː ŋ sʰ a̠ n d a̠ ŋ,0,ㄱㅗㅇㅅㅏㄴㄷㅏㅇ,0
{kor}ㄱㅗㅇㅅㅣㄱㅇㅓ,k o̞ ŋ ɕʰ i ɡ ʌ̹,0,ㄱㅗㅇㅅㅣㄱㅇㅓ,0
{kor}ㄱㅗㅇㅇㅓㅂㅎㅘ,k o̞ː ŋ ʌ̹ pʰ w a̠,0,ㄱㅗㅇㅇㅓㅂㅎㅘ,0
{kor}ㄱㅗㅇㅇㅣㄴ,k o̞ ŋ i n,0,ㄱㅗㅇㅇㅣㄴ,0
{kor}ㄱㅗㅇㅌㅗㅇㅈㅓㅁ,k o̞ː ŋ tʰ o̞ ŋ t͡ɕ͈ ʌ̹ m,0,ㄱㅗㅇㅌㅗㅇㅈㅓㅁ,0
{kor}ㄱㅗㅇㅍㅗ,k o̞ː ŋ pʰ o̞,0,ㄱㅗㅇㅍㅗ,0
{kor}ㄱㅗㅇㅎㅏㄱ,k o̞ ŋ ɦ a̠ k̚,0,ㄱㅗㅇㅎㅏㄱ,0
{kor}ㄱㅘㄷㅜ,k w a̠ː d u,0,ㄱㅘㄷㅜ,0
{kor}ㄱㅘㄷㅡㄹㄹㅜㅍㅡ,k w a̠ d ɯ ɭ ɭ u pʰ ɯ,0,ㄱㅘㄷㅡㄹㄹㅜㅍㅡ,0
{kor}ㄱㅘㄹㅗㅅㅏ,k w a̠ː ɾ o̞ sʰ a̠,0,ㄱㅘㄹㅗㅅㅏ,0
{kor}ㄱㅘㅇㅚ,k w a̠ w e̞,0,ㄱㅘㅇㅚ,0
{kor}ㄱㅘㅇㅣㄹㅁㅜㄹ,k w a̠ː i ɭ m u ɭ,0,ㄱㅘㅇㅣㄹㅁㅜㄹ,0
{kor}ㄱㅘㅎㅏㄱㅈㅓㄱ,k w a̠ ɦ a̠ k̚ t͡ɕ͈ ʌ̹ k̚,0,ㄱㅘㅎㅏㄱㅈㅓㄱ,0
{kor}ㄱㅘㄴㄹㅏㅁㅊㅏ,k w a̠ ɭ ɭ a̠ m t͡ɕʰ a̠,0,ㄱㅘㄴㄹㅏㅁㅊㅏ,0
{kor}ㄱㅘㄴㄹㅣ,k w a̠ ʎ ʎ i,0,ㄱㅘㄴㄹㅣ,0
{kor}ㄱㅘㄴㅅㅣㅁ,k w a̠ n ɕʰ i m,0,ㄱㅘㄴㅅㅣㅁ,0
{kor}ㄱㅘㄴㅈㅓㄹㅇㅕㅁ,k w a̠ ɲ d͡ʑ ʌ̹ ɾ j ʌ̹ m,0,ㄱㅘㄴㅈㅓㄹㅇㅕㅁ,0
{kor}ㄱㅘㄴㅎㅕㅇㅅㅏ,k w a̠ n ʝ j ʌ̹ ŋ sʰ a̠,0,ㄱㅘㄴㅎㅕㅇㅅㅏ,0
{kor}ㄱㅘㄹㅎㅗ,k w a̠ ɾ β o̞,0,ㄱㅘㄹㅎㅗ,0
{kor}ㄱㅘㅇㅇㅜㅂㅕㅇ,k w a̠ ŋ u p͈ j ʌ̹ ŋ,0,ㄱㅘㅇㅇㅜㅂㅕㅇ,0
{kor}ㄱㅘㅇㅎㅘㅁㅜㄴ,k w a̠ ŋ β w a̠ m u n,0,ㄱㅘㅇㅎㅘㅁㅜㄴ,0
{kor}ㄱㅚㄷㅏ,k w e̞ː d a̠,0,ㄱㅚㄷㅏ,0
{kor}ㄱㅚㅅㅜ,k w e̞ː sʰ u,0,ㄱㅚㅅㅜ,0
{kor}ㄱㅛㄱㅏ,k j oː ɡ a̠,0,ㄱㅛㄱㅏ,0
{kor}ㄱㅛㄹㅏㄴ,k j o ɾ a̠ n,0,ㄱㅛㄹㅏㄴ,0
{kor}ㄱㅛㅈㅓㄴ,k j o d͡ʑ ʌ̹ n,0,ㄱㅛㅈㅓㄴ,0
{kor}ㄱㅛㅈㅗ,k j oː d͡ʑ o̞,0,ㄱㅛㅈㅗ,0
{kor}ㄱㅛㅌㅏㄱ,k j oː tʰ a̠ k̚,0,ㄱㅛㅌㅏㄱ,0
{kor}ㄱㅛㅌㅗㅇ,k j o tʰ o̞ ŋ,0,ㄱㅛㅌㅗㅇ,0
{kor}ㄱㅛㅌㅗㅇㅅㅏㄱㅗ,k j o tʰ o̞ ŋ sʰ a̠ ɡ o̞,0,ㄱㅛㅌㅗㅇㅅㅏㄱㅗ,0
{kor}ㄱㅛㅍㅗ,k j o pʰ o̞,0,ㄱㅛㅍㅗ,0
{kor}ㄱㅜㄱㅡㅂㅊㅏ,k uː ɡ ɯ p̚ t͡ɕʰ a̠,0,ㄱㅜㄱㅡㅂㅊㅏ,0
{kor}ㄱㅜㄴㅏㄴ,k uː n a̠ n,0,ㄱㅜㄴㅏㄴ,0
{kor}ㄱㅜㄴㅕㅇ,k u ɲ j ʌ̹ ŋ,0,ㄱㅜㄴㅕㅇ,0
{kor}ㄱㅜㅂㅜㄴㅈㅏ,k uː b u ɲ d͡ʑ a̠,0,ㄱㅜㅂㅜㄴㅈㅏ,0
{kor}ㄱㅜㅅㅣㅂ,k u ɕʰ i p̚,0,ㄱㅜㅅㅣㅂ,0
{kor}ㄱㅜㄱㄱㅏ,k u k̚ k͈ a̠,0,ㄱㅜㄱㄱㅏ,0
{kor}ㄱㅜㄱㅁㅣㄴ,k u ŋ m i n,0,ㄱㅜㄱㅁㅣㄴ,0
{kor}ㄱㅜㄱㅅㅜㅈㅜㅇㅢ,k u k s͈ u d͡ʑ u ɰ i,0,ㄱㅜㄱㅅㅜㅈㅜㅇㅢ,0
{kor}ㄱㅜㄱㅇㅕㅇ,k u ɡ j ʌ̹ ŋ,0,ㄱㅜㄱㅇㅕㅇ,0
{kor}ㄱㅜㄱㅎㅚ,k u kʰ w e̞,0,ㄱㅜㄱㅎㅚ,0
{kor}ㄱㅜㄴㄷㅔㄱㅜㄴㄷㅔ,k u n d e̞ ɡ u n d e̞,0,ㄱㅜㄴㄷㅔㄱㅜㄴㄷㅔ,0
{kor}ㄱㅜㄴㅈㅜㅈㅔ,k u ɲ d͡ʑ u d͡ʑ e̞,0,ㄱㅜㄴㅈㅜㅈㅔ,0
{kor}ㄱㅜㄹㄷㅏ,k u ɭ d a̠,0,ㄱㅜㄹㄷㅏ,0
{kor}ㄱㅜㅁㅂㅔㅇㅇㅣ,k uː m b e̞ ŋ i,0,ㄱㅜㅁㅂㅔㅇㅇㅣ,0
{kor}ㄱㅜㅇㅈㅓㄴ,k u ŋ d͡ʑ ʌ̹ n,0,ㄱㅜㅇㅈㅓㄴ,0
{kor}ㄱㅜㅇㅍㅣㅂ,k u ŋ pʰ i p̚,0,ㄱㅜㅇㅍㅣㅂ,0
{kor}ㄱㅝㄴㄹㅕㄱ,k w ɘː ʎ ʎ j ʌ̹ k̚,0,ㄱㅝㄴㄹㅕㄱ,0
{kor}ㄱㅟㄱㅜㄱㅎㅏㄷㅏ,k ɥ iː ɡ u kʰ a̠ d a̠,0,ㄱㅟㄱㅜㄱㅎㅏㄷㅏ,0
{kor}ㄱㅟㅊㅏㄶㄷㅏ,k ɥ i t͡ɕʰ a̠ n tʰ a̠,0,ㄱㅟㅊㅏㄶㄷㅏ,0
{kor}ㄱㅡㄴㅏㄹ,k ɯ n a̠ ɭ,0,ㄱㅡㄴㅏㄹ,0
{kor}ㄱㅡㄷㅗㅇㅇㅏㄴ,k ɯ d o̞ ŋ a̠ n,0,ㄱㅡㄷㅗㅇㅇㅏㄴ,0
{kor}ㄱㅡㄹㅓㅎㅏㄷㅏ,k ɯ ɾ ʌ̹ ɦ a̠ d a̠,0,ㄱㅡㄹㅓㅎㅏㄷㅏ,0
{kor}ㄱㅡㄹㅓㄴ,k ɯ ɾ ʌ̹ n,0,ㄱㅡㄹㅓㄴ,0
{kor}ㄱㅡㄹㅓㅎㅈㅣㅁㅏㄴ,k ɯ ɾ ʌ̹ t͡ɕʰ i m a̠ n,0,ㄱㅡㄹㅓㅎㅈㅣㅁㅏㄴ,0
{kor}ㄱㅡㄹㅣㅅㅡㄷㅗ,k ɯ ɾ i sʰ ɯ d o̞,0,ㄱㅡㄹㅣㅅㅡㄷㅗ,0
{kor}ㄱㅡㄹㅣㅅㅡㅇㅓ,k ɯ ɾ i sʰ ɯ ʌ̹,0,ㄱㅡㄹㅣㅅㅡㅇㅓ,0
{kor}ㄱㅡㄹㅣㅂㄷㅏ,k ɯ ɾ i p̚ t͈ a̠,0,ㄱㅡㄹㅣㅂㄷㅏ,0
{kor}ㄱㅡㅁㅏㄴㅎㅏㄷㅏ,k ɯ m a̠ n ɦ a̠ d a̠,0,ㄱㅡㅁㅏㄴㅎㅏㄷㅏ,0
{kor}ㄱㅡㅊㅣㄷㅏ,k ɯ t͡ɕʰ i d a̠,0,ㄱㅡㅊㅣㄷㅏ,0
{kor}ㄱㅡㄱㄷㅗㅇ,k ɯ k̚ t͈ o̞ ŋ,0,ㄱㅡㄱㄷㅗㅇ,0
{kor}ㄱㅡㄴㅁㅜㅎㅏㄷㅏ,k ɯː n m u ɦ a̠ d a̠,0,ㄱㅡㄴㅁㅜㅎㅏㄷㅏ,0
{kor}ㄱㅡㄴㅅㅣ,k ɯː n ɕʰ i,0,ㄱㅡㄴㅅㅣ,0
{kor}ㄱㅡㄹㄹㅣㅅㅔㄹㅗㄹ,k ɯ ʎ ʎ i sʰ e̞ ɾ o̞ ɭ,0,ㄱㅡㄹㄹㅣㅅㅔㄹㅗㄹ,0
{kor}ㄱㅡㄹㄹㅣㅅㅔㄹㅣㄴ,k ɯ ʎ ʎ i sʰ e̞ ɾ i n,0,ㄱㅡㄹㄹㅣㅅㅔㄹㅣㄴ,0
{kor}ㄱㅡㄹㅍㅣ,k ɯ ɭ pʰ i,0,ㄱㅡㄹㅍㅣ,0
{kor}ㄱㅣㄱㅘㄴㅊㅗㅇ,k i ɡ w a̠ ɲ t͡ɕʰ o̞ ŋ,0,ㄱㅣㄱㅘㄴㅊㅗㅇ,0
{kor}ㄱㅣㄹㅓㄱㅣ,k i ɾ ʌ̹ ɡ i,0,ㄱㅣㄹㅓㄱㅣ,0
{kor}ㄱㅣㅁㅏㄴㅎㅏㄷㅏ,k i m a̠ n ɦ a̠ d a̠,0,ㄱㅣㅁㅏㄴㅎㅏㄷㅏ,0
{kor}ㄱㅣㅂㅗㄴ,k i b o̞ n,0,ㄱㅣㅂㅗㄴ,0
{kor}ㄱㅣㅅㅜㄱㅅㅏ,k i sʰ u k s͈ a̠,0,ㄱㅣㅅㅜㄱㅅㅏ,0
{kor}ㄱㅣㅇㅕ,k i j ʌ̹,0,ㄱㅣㅇㅕ,0
{kor}ㄱㅣㅊㅏ,k i t͡ɕʰ a̠,0,ㄱㅣㅊㅏ,0
{kor}ㄱㅣㅊㅔ,k i t͡ɕʰ e̞,0,ㄱㅣㅊㅔ,0
{kor}ㄱㅣㅁㅇㅣㄹㅅㅓㅇㅎㅘ,k i m i ɭ sʰ ʌ̹ ŋ β w a̠,0,ㄱㅣㅁㅇㅣㄹㅅㅓㅇㅎㅘ,0
{kor}ㄱㅣㅁㅈㅓㅇㅇㅣㄹㅎㅘ,k i m d͡ʑ ʌ̹ ŋ i ɾ β w a̠,0,ㄱㅣㅁㅈㅓㅇㅇㅣㄹㅎㅘ,0
{kor}ㄲㅏㄲㄷㅏ,k͈ a̠ k̚ t͈ a̠,0,ㄲㅏㄲㄷㅏ,0
{kor}ㄲㅔㅅㅓ,k͈ e̞ sʰ ʌ̹,0,ㄲㅔㅅㅓ,0
{kor}ㄲㅗㄹㅣ,k͈ o̞ ɾ i,0,ㄲㅗㄹㅣ,0
{kor}ㄲㅗㅈㄷㅏ,k͈ o̞ t̚ t͈ a̠,0,ㄲㅗㅈㄷㅏ,0
{kor}ㄲㅗㅊㅈㅣㅂ,k͈ o̞ t̚ t͡ɕ͈ i p̚,0,ㄲㅗㅊㅈㅣㅂ,0
{kor}ㄲㅚㄲㅗㄹㅣ,k͈ w e̞ k͈ o̞ ɾ i,0,ㄲㅚㄲㅗㄹㅣ,0
{kor}ㄲㅜㅁㅜㄹㄲㅜㅁㅜㄹ,k͈ u m u ɭ k͈ u m u ɭ,0,ㄲㅜㅁㅜㄹㄲㅜㅁㅜㄹ,0
