merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{kor}ᆯㅈㅣ,ʎ t͡ɕ͈ i,0,ᆯㅈㅣ,0
{kor}ㄱㄴㄷㅅㅜㄴ,k a̠ n a̠ d a̠ sʰ u n,0,ㄱㄴㄷㅅㅜㄴ,0
{kor}ㄴㄴ,n o̞ n o̞,0,ㄴㄴ,0
{kor}ㅋㅋㅋ,k x ɯ k x ɯ k x ɯ,0,ㅋㅋㅋ,0
{kor}ㄱㅏㄱㅏㄹㅣㄴ,k a̠ ɡ a̠ ɾ i n,0,ㄱㅏㄱㅏㄹㅣㄴ,0
{kor}ㄱㅏㄱㅏㅁ,k a̠ ɡ a̠ m,0,ㄱㅏㄱㅏㅁ,0
{kor}ㄱㅏㄱㅔ,k a̠ː ɡ e̞,0,ㄱㅏㄱㅔ,0
{kor}ㄱㅏㄱㅕㄱ,k a̠ ɡ j ʌ̹ k̚,0,ㄱㅏㄱㅕㄱ,0
{kor}ㄱㅏㄱㅖ,k a̠ ɡ j e̞,0,ㄱㅏㄱㅖ,0
{kor}ㄱㅏㄱㅗㅇㅍㅜㅁ,k a̠ ɡ o̞ ŋ pʰ u m,0,ㄱㅏㄱㅗㅇㅍㅜㅁ,0
{kor}ㄱㅏㄱㅜ,k a̠ ɡ u,0,ㄱㅏㄱㅜ,0
{kor}ㄱㅏㄲㅏㅂㄷㅏ,k a̠ k͈ a̠ p̚ t͈ a̠,0,ㄱㅏㄲㅏㅂㄷㅏ,0
{kor}ㄱㅏㄲㅡㅁ,k a̠ k͈ ɯ m,0,ㄱㅏㄲㅡㅁ,0
{kor}ㄱㅏㄲㅡㅁㅆㅣㄱ,k a̠ k͈ ɯ m ɕ͈ i k̚,0,ㄱㅏㄲㅡㅁㅆㅣㄱ,0
{kor}ㄱㅏㄴㅏ,k a̠ n a̠,0,ㄱㅏㄴㅏ,0
{kor}ㄱㅏㄴㅏㄴㅎㅏㄷㅏ,k a̠ n a̠ n ɦ a̠ d a̠,0,ㄱㅏㄴㅏㄴㅎㅏㄷㅏ,0
{kor}ㄱㅏㄴㅡㄴㅈㅟ,k a̠ n ɯ ɲ d͡ʑ ɥ i,0,ㄱㅏㄴㅡㄴㅈㅟ,0
{kor}ㄱㅏㄴㅡㄹㄷㅏ,k a̠ n ɯ ɭ d a̠,0,ㄱㅏㄴㅡㄹㄷㅏ,0
{kor}ㄱㅏㄴㅡㅁ,k a̠ n ɯ m,0,ㄱㅏㄴㅡㅁ,0
{kor}ㄱㅏㄴㅡㅁㅎㅏㄷㅏ,k a̠ n ɯ m ɦ a̠ d a̠,0,ㄱㅏㄴㅡㅁㅎㅏㄷㅏ,0
{kor}ㄱㅏㄴㅡㅇㅅㅓㅇ,k a̠ː n ɯ ŋ s͈ ʌ̹ ŋ,0,ㄱㅏㄴㅡㅇㅅㅓㅇ,0
{kor}ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,k a̠ː n ɯ ŋ ɦ a̠ d a̠,0,ㄱㅏㄴㅡㅇㅎㅏㄷㅏ,0
{kor}ㄱㅏㄷㅗㄱㅅㅓㅇ,k a̠ d o̞ k s͈ ʌ̹ ŋ,0,ㄱㅏㄷㅗㄱㅅㅓㅇ,0
{kor}ㄱㅏㄷㅗㅇ,k a̠ d o̞ ŋ,0,ㄱㅏㄷㅗㅇ,0
{kor}ㄱㅏㄷㅜㄹㅣ,k a̠ː d u ɾ i,0,ㄱㅏㄷㅜㄹㅣ,0
{kor}ㄱㅏㄷㅡ,k a̠ d ɯ,0,ㄱㅏㄷㅡ,0
{kor}ㄱㅏㄷㅡㄱ,k a̠ d ɯ k̚,0,ㄱㅏㄷㅡㄱ,0
{kor}ㄱㅏㄷㅡㄱㄱㅏㄷㅡㄱ,k a̠ d ɯ k̚ k͈ a̠ d ɯ k̚,0,ㄱㅏㄷㅡㄱㄱㅏㄷㅡㄱ,0
{kor}ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,k a̠ d ɯ kʰ a̠ d a̠,0,ㄱㅏㄷㅡㄱㅎㅏㄷㅏ,0
{kor}ㄱㅏㄸㅏㄲㅏㄴㅏ,k a̠ t͈ a̠ k͈ a̠ n a̠,0,ㄱㅏㄸㅏㄲㅏㄴㅏ,0
{kor}ㄱㅏㄹㅏㄷㅔ,k a̠ ɾ a̠ d e̞,0,ㄱㅏㄹㅏㄷㅔ,0
{kor}ㄱㅏㄹㅏㅇㅗㅋㅔ,k a̠ ɾ a̠ o̞ kʰ e̞,0,ㄱㅏㄹㅏㅇㅗㅋㅔ,0
{kor}ㄱㅏㄹㅏㅇㅂㅣ,k a̠ ɾ a̠ ŋ b i,0,ㄱㅏㄹㅏㅇㅂㅣ,0
{kor}ㄱㅏㄹㅕㅇ,k a̠ː ɾ j ʌ̹ ŋ,0,ㄱㅏㄹㅕㅇ,0
{kor}ㄱㅏㄹㅗ,k a̠ ɾ o̞,0,ㄱㅏㄹㅗ,0
{kor}ㄱㅏㄹㅗㄷㅏ,k a̠ ɾ o̞ d a̠,0,ㄱㅏㄹㅗㄷㅏ,0
{kor}ㄱㅏㄹㅗㄷㅡㅇ,k a̠ ɾ o̞ d ɯ ŋ,0,ㄱㅏㄹㅗㄷㅡㅇ,0
{kor}ㄱㅏㄹㅜ,k a̠ ɾ u,0,ㄱㅏㄹㅜ,0
{kor}ㄱㅏㄹㅡㅊㅣㄷㅏ,k a̠ ɾ ɯ t͡ɕʰ i d a̠,0,ㄱㅏㄹㅡㅊㅣㄷㅏ,0
{kor}ㄱㅏㄹㅡㅊㅣㅁ,k a̠ ɾ ɯ t͡ɕʰ i m,0,ㄱㅏㄹㅡㅊㅣㅁ,0
{kor}ㄱㅏㄹㅣㄷㅏ,k a̠ ɾ i d a̠,0,ㄱㅏㄹㅣㄷㅏ,0
{kor}ㄱㅏㄹㅣㅂㅣ,k a̠ ɾ i b i,0,ㄱㅏㄹㅣㅂㅣ,0
{kor}ㄱㅏㅁㅏㅅㅗㅌ,k a̠ m a̠ sʰ o̞ t̚,0,ㄱㅏㅁㅏㅅㅗㅌ,0
{kor}ㄱㅏㅁㅏㅇㅜㅈㅣ,k a̠ m a̠ u d͡ʑ i,0,ㄱㅏㅁㅏㅇㅜㅈㅣ,0
{kor}ㄱㅏㅁㅏㄴ,k a̠ m a̠ n,0,ㄱㅏㅁㅏㄴ,0
{kor}ㄱㅏㅁㅏㄴㄱㅏㅁㅏㄴ,k a̠ m a̠ n ɡ a̠ m a̠ n,0,ㄱㅏㅁㅏㄴㄱㅏㅁㅏㄴ,0
{kor}ㄱㅏㅁㅏㄴㄷㅜㄷㅏ,k a̠ m a̠ n d u d a̠,0,ㄱㅏㅁㅏㄴㄷㅜㄷㅏ,0
{kor}ㄱㅏㅁㅏㄴㅎㅣ,k a̠ m a̠ n ʝ i,0,ㄱㅏㅁㅏㄴㅎㅣ,0
{kor}ㄱㅏㅁㅏㅎㄷㅏ,k a̠ː m a̠ tʰ a̠,0,ㄱㅏㅁㅏㅎㄷㅏ,0
{kor}ㄱㅏㅁㅕㄴ,k a̠ː m j ʌ̹ n,0,ㄱㅏㅁㅕㄴ,0
{kor}ㄱㅏㅁㅕㄴㄱㅡㄱ,k a̠ː m j ʌ̹ n ɡ ɯ k̚,0,ㄱㅏㅁㅕㄴㄱㅡㄱ,0
{kor}ㄱㅏㅁㅕㅇ,k a̠ː m j ʌ̹ ŋ,0,ㄱㅏㅁㅕㅇ,0
{kor}ㄱㅏㅁㅜ,k a̠ m u,0,ㄱㅏㅁㅜ,0
{kor}ㄱㅏㅁㅜㅇㅣㅇㅑㄱㅣ,k a̠ m u i j a̠ ɡ i,0,ㄱㅏㅁㅜㅇㅣㅇㅑㄱㅣ,0
{kor}ㄱㅏㅁㅜㄴ,k a̠ m u n,0,ㄱㅏㅁㅜㄴ,0
{kor}ㄱㅏㅁㅜㄹㄱㅏㅁㅜㄹ,k a̠ m u ɭ ɡ a̠ m u ɭ,0,ㄱㅏㅁㅜㄹㄱㅏㅁㅜㄹ,0
{kor}ㄱㅏㅁㅜㄹㅊㅣ,k a̠ m u ʎ t͡ɕʰ i,0,ㄱㅏㅁㅜㄹㅊㅣ,0
{kor}ㄱㅏㅁㅜㅁ,k a̠ m u m,0,ㄱㅏㅁㅜㅁ,0
{kor}ㄱㅏㅂㅏㅇ,k a̠ b a̠ ŋ,0,ㄱㅏㅂㅏㅇ,0
{kor}ㄱㅏㅂㅗ,k a̠ b o̞,0,ㄱㅏㅂㅗ,0
{kor}ㄱㅏㅂㅗㅇ,k a̠ b o̞ ŋ,0,ㄱㅏㅂㅗㅇ,0
{kor}ㄱㅏㅂㅜㅈㅘ,k a̠ b u d͡ʑ w a̠,0,ㄱㅏㅂㅜㅈㅘ,0
