merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{vie}a hoàn,ʔ aː ˧˧ h w aː n ˨˩,0,a hoàn,0
{vie}a lịch sơn,ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧,0,a lịch sơn,0
{vie}a tu la,ʔ aː ˧˧ t u ˧˧ l aː ˧˧,0,a tu la,0
{vie}ace,ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧,0,ace,0
{vie}actini,ʔ aː k̚ ˧˦ t i ˧˧ n i ˧˧,0,actini,0
{vie}agon,ʔ aː ˧˧ ɣ ə w ŋ͡m ˧˧,0,agon,0
{vie}ai,ʔ aː j ˧˧,0,ai,0
{vie}ai dè,ʔ aː j ˧˧ z ɛ ˨˩,0,ai dè,0
{vie}ai lao,ʔ aː j ˧˧ l aː w ˧˧,0,ai lao,0
{vie}ai nấy,ʔ aː j ˧˧ n ə j ˧˦,0,ai nấy,0
{vie}alexanđê,ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧,0,alexanđê,0
{vie}am,ʔ aː m ˧˧,0,am,0
{vie}am tường,ʔ aː m ˧˧ t ɨ ə ŋ ˨˩,0,am tường,0
{vie}amoni,ʔ aː ˧˧ m o ˧˧ n i ˧˧,0,amoni,0
{vie}an,ʔ aː n ˧˧,0,an,0
{vie}an bài,ʔ aː n ˧˧ ʔ ɓ aː j ˨˩,0,an bài,0
{vie}an khang thịnh vượng,ʔ aː n ˧˧ x aː ŋ ˧˧ tʰ ï ŋ ˧˨ ʔ v ɨ ə ŋ ˧˨ ʔ,0,an khang thịnh vượng,0
{vie}an lành,ʔ aː n ˧˧ l a j ŋ̟ ˨˩,0,an lành,0
{vie}an lê mân,ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧,0,an lê mân,0
{vie}an lạc,ʔ aː n ˧˧ l aː k̚ ˧˨ ʔ,0,an lạc,0
{vie}an nam,ʔ aː n ˧˧ n aː m ˧˧,0,an nam,0
{vie}an toàn là trên hết,ʔ aː n ˧˧ t w aː n ˨˩ l aː ˨˩ t͡ɕ e n ˧˧ h e t̚ ˧˦,0,an toàn là trên hết,0
{vie}an tâm,ʔ aː n ˧˧ t ə m ˧˧,0,an tâm,0
{vie}an tôn,ʔ aː n ˧˧ t o n ˧˧,0,an tôn,0
{vie}ancol,ʔ aː n ˧˧ k o n ˧˧,0,ancol,0
{vie}ang,ʔ aː ŋ ˧˧,0,ang,0
{vie}anh chị em,ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧,0,anh chị em,0
{vie}anh cát lợi,ʔ a j ŋ̟ ˧˧ k aː t̚ ˧˦ l əː j ˧˨ ʔ,0,anh cát lợi,0
{vie}anh hùng,ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩,0,anh hùng,0
{vie}anh ngữ,ʔ a j ŋ̟ ˧˧ ŋ ɨ ˦ˀ˥,0,anh ngữ,0
{vie}anh quốc,ʔ a j ŋ̟ ˧˧ k u ə k̚ ˧˦,0,anh quốc,0
{vie}anh trai,ʔ a j ŋ̟ ˧˧ t͡ɕ aː j ˧˧,0,anh trai,0
{vie}anh vợ,ʔ a j ŋ̟ ˧˧ v əː ˧˨ ʔ,0,anh vợ,0
{vie}anh yêu em,ʔ a j ŋ̟ ˧˧ ʔ i ə w ˧˧ ʔ ɛ m ˧˧,0,anh yêu em,0
{vie}anh ấy,ʔ a j ŋ̟ ˧˧ ʔ ə j ˧˦,0,anh ấy,0
